STE_NAME16	Age	IncomeTotPersonal.max	Sex	adults
New South Wales	15-19		F	14008
New South Wales	15-19		M	15832
New South Wales	15-19	0	F	92195
New South Wales	15-19	0	M	107393
New South Wales	15-19	7875	F	45645
New South Wales	15-19	7875	M	37447
New South Wales	15-19	15750	F	27802
New South Wales	15-19	15750	M	22547
New South Wales	15-19	21000	F	12434
New South Wales	15-19	21000	M	9779
New South Wales	15-19	26250	F	9296
New South Wales	15-19	26250	M	10530
New South Wales	15-19	34125	F	8959
New South Wales	15-19	34125	M	14383
New South Wales	15-19	42000	F	5797
New South Wales	15-19	42000	M	8941
New South Wales	15-19	52500	F	3210
New South Wales	15-19	52500	M	5181
New South Wales	15-19	65625	F	1464
New South Wales	15-19	65625	M	2507
New South Wales	15-19	78750	F	444
New South Wales	15-19	78750	M	790
New South Wales	15-19	91875	F	183
New South Wales	15-19	91875	M	363
New South Wales	15-19	105000	F	86
New South Wales	15-19	105000	M	166
New South Wales	15-19	157500	F	69
New South Wales	15-19	157500	M	128
New South Wales	15-19	183750	F	37
New South Wales	15-19	183750	M	51
New South Wales	15-19	Inf	F	118
New South Wales	15-19	Inf	M	122
New South Wales	20-24		F	15863
New South Wales	20-24		M	19645
New South Wales	20-24	0	F	19676
New South Wales	20-24	0	M	23819
New South Wales	20-24	7875	F	8506
New South Wales	20-24	7875	M	8095
New South Wales	20-24	15750	F	19697
New South Wales	20-24	15750	M	18112
New South Wales	20-24	21000	F	19590
New South Wales	20-24	21000	M	16803
New South Wales	20-24	26250	F	19628
New South Wales	20-24	26250	M	16381
New South Wales	20-24	34125	F	28354
New South Wales	20-24	34125	M	25041
New South Wales	20-24	42000	F	29541
New South Wales	20-24	42000	M	30201
New South Wales	20-24	52500	F	29609
New South Wales	20-24	52500	M	33577
New South Wales	20-24	65625	F	25076
New South Wales	20-24	65625	M	28761
New South Wales	20-24	78750	F	15062
New South Wales	20-24	78750	M	16541
New South Wales	20-24	91875	F	6226
New South Wales	20-24	91875	M	8665
New South Wales	20-24	105000	F	2322
New South Wales	20-24	105000	M	4041
New South Wales	20-24	157500	F	1607
New South Wales	20-24	157500	M	3919
New South Wales	20-24	183750	F	238
New South Wales	20-24	183750	M	555
New South Wales	20-24	Inf	F	377
New South Wales	20-24	Inf	M	651
New South Wales	25-34		F	38377
New South Wales	25-34		M	45744
New South Wales	25-34	0	F	41580
New South Wales	25-34	0	M	20911
New South Wales	25-34	7875	F	8122
New South Wales	25-34	7875	M	3426
New South Wales	25-34	15750	F	17507
New South Wales	25-34	15750	M	11180
New South Wales	25-34	21000	F	23235
New South Wales	25-34	21000	M	17247
New South Wales	25-34	26250	F	26664
New South Wales	25-34	26250	M	16856
New South Wales	25-34	34125	F	43177
New South Wales	25-34	34125	M	24571
New South Wales	25-34	42000	F	50554
New South Wales	25-34	42000	M	33626
New South Wales	25-34	52500	F	60024
New South Wales	25-34	52500	M	56741
New South Wales	25-34	65625	F	69701
New South Wales	25-34	65625	M	77088
New South Wales	25-34	78750	F	58043
New South Wales	25-34	78750	M	63650
