STE_NAME21	CoupleFamily	HasChild	HasChildUnder15	MortgageRepayment.min	families_in_occupied_private_dwellings_being_purchased
New South Wales		1	1	0	394
New South Wales		1	1	1800	50
New South Wales		1	1	3600	131
New South Wales		1	1	5400	105
New South Wales		1	1	7200	207
New South Wales		1	1	9600	254
New South Wales		1	1	12000	326
New South Wales		1	1	14400	383
New South Wales		1	1	16800	342
New South Wales		1	1	19200	431
New South Wales		1	1	21600	268
New South Wales		1	1	24000	524
New South Wales		1	1	26400	197
New South Wales		1	1	28800	204
New South Wales		1	1	31200	398
New South Wales		1	1	36000	536
New South Wales		1	1	48000	219
New South Wales		1	1	60000	230
New South Wales	0	1	0	0	2408
New South Wales	0	1	0	1800	566
New South Wales	0	1	0	3600	1282
New South Wales	0	1	0	5400	1132
New South Wales	0	1	0	7200	2070
New South Wales	0	1	0	9600	2820
New South Wales	0	1	0	12000	3392
New South Wales	0	1	0	14400	4013
New South Wales	0	1	0	16800	3414
New South Wales	0	1	0	19200	3768
New South Wales	0	1	0	21600	2353
New South Wales	0	1	0	24000	4383
New South Wales	0	1	0	26400	1639
New South Wales	0	1	0	28800	1226
New South Wales	0	1	0	31200	2821
New South Wales	0	1	0	36000	3995
New South Wales	0	1	0	48000	1700
New South Wales	0	1	0	60000	1632
New South Wales	0	1	1	0	1312
New South Wales	0	1	1	1800	299
New South Wales	0	1	1	3600	621
New South Wales	0	1	1	5400	683
New South Wales	0	1	1	7200	1340
New South Wales	0	1	1	9600	2036
New South Wales	0	1	1	12000	2730
New South Wales	0	1	1	14400	3447
New South Wales	0	1	1	16800	3289
New South Wales	0	1	1	19200	3712
New South Wales	0	1	1	21600	2608
New South Wales	0	1	1	24000	4310
New South Wales	0	1	1	26400	1935
New South Wales	0	1	1	28800	1467
New South Wales	0	1	1	31200	3144
New South Wales	0	1	1	36000	4432
New South Wales	0	1	1	48000	1895
New South Wales	0	1	1	60000	2031
New South Wales	1	0	0	0	10793
New South Wales	1	0	0	1800	2378
New South Wales	1	0	0	3600	4321
New South Wales	1	0	0	5400	3705
New South Wales	1	0	0	7200	6317
New South Wales	1	0	0	9600	8314
New South Wales	1	0	0	12000	10133
New South Wales	1	0	0	14400	12087
New South Wales	1	0	0	16800	11258
New South Wales	1	0	0	19200	13665
New South Wales	1	0	0	21600	10486
New South Wales	1	0	0	24000	20185
New South Wales	1	0	0	26400	10042
New South Wales	1	0	0	28800	9201
New South Wales	1	0	0	31200	18468
New South Wales	1	0	0	36000	27377
New South Wales	1	0	0	48000	12512
New South Wales	1	0	0	60000	13197
New South Wales	1	1	0	0	6795
New South Wales	1	1	0	1800	1410
New South Wales	1	1	0	3600	2517
New South Wales	1	1	0	5400	2226
New South Wales	1	1	0	7200	3756
New South Wales	1	1	0	9600	5413
New South Wales	1	1	0	12000	7028
New South Wales	1	1	0	14400	8542
New South Wales	1	1	0	16800	7891
New South Wales	1	1	0	19200	9037
New South Wales	1	1	0	21600	6271
New South Wales	1	1	0	24000	14439
New South Wales	1	1	0	26400	5436
New South Wales	1	1	0	28800	4950
New South Wales	1	1	0	31200	11118
New South Wales	1	1	0	36000	18606
New South Wales	1	1	0	48000	9451
New South Wales	1	1	0	60000	10346
New South Wales	1	1	1	0	8233
New South Wales	1	1	1	1800	1114
New South Wales	1	1	1	3600	2220
New South Wales	1	1	1	5400	2300
New South Wales	1	1	1	7200	4502
New South Wales	1	1	1	9600	7438
New South Wales	1	1	1	12000	11392
New South Wales	1	1	1	14400	15848
New South Wales	1	1	1	16800	17408
New South Wales	1	1	1	19200	21871
New South Wales	1	1	1	21600	19312
New South Wales	1	1	1	24000	36857
New South Wales	1	1	1	26400	20159
New South Wales	1	1	1	28800	18868
New South Wales	1	1	1	31200	39115
New South Wales	1	1	1	36000	63544
New South Wales	1	1	1	48000	30872
New South Wales	1	1	1	60000	37023
Victoria		1	1	0	391
Victoria		1	1	1800	55
Victoria		1	1	3600	119
Victoria		1	1	5400	128
Victoria		1	1	7200	206
Victoria		1	1	9600	319
Victoria		1	1	12000	384
Victoria		1	1	14400	469
Victoria		1	1	16800	493
Victoria		1	1	19200	522
Victoria		1	1	21600	383
Victoria		1	1	24000	566
Victoria		1	1	26400	224
Victoria		1	1	28800	200
Victoria		1	1	31200	286
Victoria		1	1	36000	378
Victoria		1	1	48000	150
Victoria		1	1	60000	157
Victoria	0	1	0	0	2254
Victoria	0	1	0	1800	668
Victoria	0	1	0	3600	1492
Victoria	0	1	0	5400	1310
Victoria	0	1	0	7200	2586
Victoria	0	1	0	9600	3162
Victoria	0	1	0	12000	3860
Victoria	0	1	0	14400	4123
Victoria	0	1	0	16800	3570
Victoria	0	1	0	19200	3488
Victoria	0	1	0	21600	2059
Victoria	0	1	0	24000	3432
Victoria	0	1	0	26400	1184
