LGA_NAME16	Age	UsualResidence	persons
Albury	0-14	Home	10379
Albury	0-14	Visitor from NSW	159
Albury	0-14	Visitor from QLD	3
Albury	0-14	Visitor from VIC	62
Albury	0-14	Visitor same SA2	11
Albury	15-24	Home	6508
Albury	15-24	Visitor from ACT	11
Albury	15-24	Visitor from NSW	225
Albury	15-24	Visitor from QLD	8
Albury	15-24	Visitor from TAS	3
Albury	15-24	Visitor from VIC	120
Albury	15-24	Visitor same SA2	8
Albury	25-34	Home	7042
Albury	25-34	Visitor from NSW	176
Albury	25-34	Visitor from NT	4
Albury	25-34	Visitor from QLD	15
Albury	25-34	Visitor from SA	4
Albury	25-34	Visitor from VIC	117
Albury	25-34	Visitor from WA	4
Albury	25-34	Visitor same SA2	14
Albury	35-44	Home	6654
Albury	35-44	Visitor from NSW	144
Albury	35-44	Visitor from QLD	4
Albury	35-44	Visitor from VIC	68
Albury	35-44	Visitor from WA	6
Albury	35-44	Visitor same SA2	14
Albury	45-54	Home	6479
Albury	45-54	Visitor from NSW	113
Albury	45-54	Visitor from QLD	10
Albury	45-54	Visitor from VIC	77
Albury	45-54	Visitor same SA2	9
Albury	55-64	Home	6481
Albury	55-64	Visitor from NSW	146
Albury	55-64	Visitor from QLD	19
Albury	55-64	Visitor from SA	6
Albury	55-64	Visitor from TAS	3
Albury	55-64	Visitor from VIC	71
Albury	55-64	Visitor same SA2	19
Albury	65-74	Home	5568
Albury	65-74	Visitor from NSW	134
Albury	65-74	Visitor from QLD	8
Albury	65-74	Visitor from SA	5
Albury	65-74	Visitor from VIC	61
Albury	65-74	Visitor same SA2	23
Albury	75-84	Home	3341
Albury	75-84	Visitor from NSW	62
Albury	75-84	Visitor from VIC	31
Albury	75-84	Visitor same SA2	22
Albury	85+	Home	1318
Albury	85+	Visitor from NSW	45
Albury	85+	Visitor from VIC	7
Albury	85+	Visitor same SA2	9
Armidale Regional	0-14	Home	5084
Armidale Regional	0-14	Visitor from NSW	105
Armidale Regional	0-14	Visitor same SA2	5
Armidale Regional	15-24	Home	4181
Armidale Regional	15-24	Visitor from ACT	6
Armidale Regional	15-24	Visitor from NSW	395
Armidale Regional	15-24	Visitor from QLD	43
Armidale Regional	15-24	Visitor from SA	4
Armidale Regional	15-24	Visitor from VIC	10
Armidale Regional	15-24	Visitor same SA2	10
Armidale Regional	25-34	Home	3566
Armidale Regional	25-34	Visitor from NSW	156
Armidale Regional	25-34	Visitor from NT	5
Armidale Regional	25-34	Visitor from QLD	19
Armidale Regional	25-34	Visitor from VIC	9
Armidale Regional	25-34	Visitor same SA2	7
Armidale Regional	35-44	Home	3081
Armidale Regional	35-44	Visitor from NSW	113
Armidale Regional	35-44	Visitor from VIC	4
Armidale Regional	35-44	Visitor same SA2	8
Armidale Regional	45-54	Home	3075
Armidale Regional	45-54	Visitor from NSW	110
Armidale Regional	45-54	Visitor from QLD	9
Armidale Regional	45-54	Visitor from TAS	5
Armidale Regional	45-54	Visitor from VIC	7
Armidale Regional	45-54	Visitor same SA2	4
Armidale Regional	55-64	Home	3398
Armidale Regional	55-64	Visitor from ACT	4
Armidale Regional	55-64	Visitor from NSW	91
Armidale Regional	55-64	Visitor from QLD	22
Armidale Regional	55-64	Visitor from TAS	3
Armidale Regional	55-64	Visitor same SA2	13
Armidale Regional	65-74	Home	2688
Armidale Regional	65-74	Visitor from NSW	69
Armidale Regional	65-74	Visitor from QLD	13
Armidale Regional	65-74	Visitor from SA	3
Armidale Regional	65-74	Visitor from VIC	4
Armidale Regional	65-74	Visitor same SA2	13
Armidale Regional	75-84	Home	1828
Armidale Regional	75-84	Visitor from NSW	45
Armidale Regional	75-84	Visitor from QLD	7
Armidale Regional	75-84	Visitor from SA	5
Armidale Regional	75-84	Visitor same SA2	9
Armidale Regional	85+	Home	678
Armidale Regional	85+	Visitor from NSW	26
Armidale Regional	85+	Visitor same SA2	5
Ballina	0-14	Home	7367
Ballina	0-14	Visitor from NSW	131
Ballina	0-14	Visitor from QLD	8
Ballina	0-14	Visitor from SA	4
Ballina	0-14	Visitor same SA2	14
Ballina	15-24	Home	4109
Ballina	15-24	Visitor from NSW	193
Ballina	15-24	Visitor from QLD	26
Ballina	15-24	Visitor from SA	3
Ballina	15-24	Visitor from VIC	12
Ballina	15-24	Visitor same SA2	5
Ballina	25-34	Home	4085
Ballina	25-34	Visitor from ACT	3
Ballina	25-34	Visitor from NSW	174
Ballina	25-34	Visitor from QLD	36
Ballina	25-34	Visitor from VIC	7
Ballina	25-34	Visitor same SA2	11
Ballina	35-44	Home	5080
Ballina	35-44	Visitor from NSW	121
Ballina	35-44	Visitor from QLD	29
Ballina	35-44	Visitor from VIC	5
Ballina	35-44	Visitor same SA2	7
Ballina	45-54	Home	5686
Ballina	45-54	Visitor from NSW	148
Ballina	45-54	Visitor from QLD	28
Ballina	45-54	Visitor from SA	3
Ballina	45-54	Visitor from VIC	4
Ballina	45-54	Visitor from WA	3
Ballina	45-54	Visitor same SA2	9
Ballina	55-64	Home	6168
Ballina	55-64	Visitor from ACT	6
Ballina	55-64	Visitor from NSW	219
Ballina	55-64	Visitor from QLD	33
Ballina	55-64	Visitor from SA	3
Ballina	55-64	Visitor from TAS	4
Ballina	55-64	Visitor from VIC	22
Ballina	55-64	Visitor same SA2	9
Ballina	65-74	Home	6358
Ballina	65-74	Visitor from NSW	188
Ballina	65-74	Visitor from QLD	27
Ballina	65-74	Visitor from SA	8
Ballina	65-74	Visitor from TAS	9
Ballina	65-74	Visitor from VIC	79
Ballina	65-74	Visitor same SA2	16
Ballina	75-84	Home	3837
Ballina	75-84	Visitor from NSW	87
Ballina	75-84	Visitor from QLD	7
Ballina	75-84	Visitor from TAS	6
Ballina	75-84	Visitor from VIC	22
Ballina	75-84	Visitor from WA	3
Ballina	75-84	Visitor same SA2	14
Ballina	85+	Home	1756
Ballina	85+	Visitor from NSW	45
Ballina	85+	Visitor from VIC	10
Ballina	85+	Visitor same SA2	10
Balranald	0-14	Home	425
Balranald	0-14	Visitor from NSW	8
Balranald	0-14	Visitor from VIC	3
Balranald	15-24	Home	190
Balranald	15-24	Visitor from NSW	11
Balranald	15-24	Visitor from VIC	5
Balranald	25-34	Home	254
Balranald	25-34	Visitor from NSW	13
Balranald	25-34	Visitor from VIC	14
Balranald	25-34	Visitor same SA2	3
Balranald	35-44	Home	199
Balranald	35-44	Visitor from NSW	10
Balranald	35-44	Visitor from QLD	3
Balranald	35-44	Visitor from SA	3
Balranald	35-44	Visitor from VIC	18
Balranald	45-54	Home	275
Balranald	45-54	Visitor from NSW	19
Balranald	45-54	Visitor from VIC	9
Balranald	55-64	Home	312
Balranald	55-64	Visitor from ACT	3
Balranald	55-64	Visitor from NSW	23
Balranald	55-64	Visitor from TAS	6
Balranald	55-64	Visitor from VIC	6
Balranald	55-64	Visitor same SA2	6
Balranald	65-74	Home	274
Balranald	65-74	Visitor from NSW	18
Balranald	65-74	Visitor from TAS	4
Balranald	65-74	Visitor from VIC	12
Balranald	75-84	Home	107
Balranald	75-84	Visitor from NSW	8
Balranald	85+	Home	47
Bathurst Regional	0-14	Home	8042
Bathurst Regional	0-14	Visitor from NSW	176
Bathurst Regional	0-14	Visitor from QLD	4
Bathurst Regional	15-24	Home	5485
Bathurst Regional	15-24	Visitor from ACT	7
Bathurst Regional	15-24	Visitor from NSW	444
Bathurst Regional	15-24	Visitor from SA	5
Bathurst Regional	15-24	Visitor from VIC	12
Bathurst Regional	15-24	Visitor same SA2	16
Bathurst Regional	25-34	Home	5451
Bathurst Regional	25-34	Visitor from NSW	257
Bathurst Regional	25-34	Visitor from QLD	8
Bathurst Regional	25-34	Visitor from VIC	7
Bathurst Regional	25-34	Visitor same SA2	5
Bathurst Regional	35-44	Home	4968
Bathurst Regional	35-44	Visitor from ACT	3
Bathurst Regional	35-44	Visitor from NSW	192
Bathurst Regional	35-44	Visitor same SA2	5
Bathurst Regional	45-54	Home	5178
Bathurst Regional	45-54	Visitor from NSW	208
Bathurst Regional	45-54	Visitor from SA	3
Bathurst Regional	45-54	Visitor from VIC	4
Bathurst Regional	45-54	Visitor same SA2	10
Bathurst Regional	55-64	Home	5047
Bathurst Regional	55-64	Visitor from NSW	165
Bathurst Regional	55-64	Visitor from QLD	4
Bathurst Regional	55-64	Visitor same SA2	12
Bathurst Regional	65-74	Home	4224
