LGA_NAME16	Age	MaritalStatus	Sex	responses
Albury	85+	Widowed	M	160
Armidale Regional	15-19	Married	F	3
Armidale Regional	15-19	Separated	F	3
Armidale Regional	15-19	Widowed	F	4
Armidale Regional	15-19	Widowed	M	3
Armidale Regional	20-24	Married	F	46
Armidale Regional	20-24	Married	M	36
Armidale Regional	20-24	Separated	F	5
Armidale Regional	20-24	Widowed	F	3
Armidale Regional	25-34	Divorced	F	36
Armidale Regional	25-34	Divorced	M	20
Armidale Regional	25-34	Married	F	703
Armidale Regional	25-34	Married	M	544
Armidale Regional	25-34	Separated	F	55
Armidale Regional	25-34	Separated	M	27
Armidale Regional	25-34	Widowed	F	7
Armidale Regional	35-44	Divorced	F	112
Armidale Regional	35-44	Divorced	M	88
Armidale Regional	35-44	Married	F	901
Armidale Regional	35-44	Married	M	876
Armidale Regional	35-44	Separated	F	78
Armidale Regional	35-44	Separated	M	66
Armidale Regional	35-44	Widowed	F	20
Armidale Regional	35-44	Widowed	M	3
Armidale Regional	45-54	Divorced	F	243
Armidale Regional	45-54	Divorced	M	158
Armidale Regional	45-54	Married	F	946
Armidale Regional	45-54	Married	M	894
Armidale Regional	45-54	Separated	F	89
Armidale Regional	45-54	Separated	M	81
Armidale Regional	45-54	Widowed	F	34
Armidale Regional	45-54	Widowed	M	5
Armidale Regional	55-64	Divorced	F	316
Armidale Regional	55-64	Divorced	M	264
Armidale Regional	55-64	Married	F	1032
Armidale Regional	55-64	Married	M	1003
Armidale Regional	55-64	Separated	F	100
Armidale Regional	55-64	Separated	M	93
Armidale Regional	55-64	Widowed	F	89
Armidale Regional	55-64	Widowed	M	27
Armidale Regional	65-74	Divorced	F	278
Armidale Regional	65-74	Divorced	M	207
Armidale Regional	65-74	Married	F	833
Armidale Regional	65-74	Married	M	940
Armidale Regional	65-74	Separated	F	65
Armidale Regional	65-74	Separated	M	52
Armidale Regional	65-74	Widowed	F	200
Armidale Regional	65-74	Widowed	M	63
Armidale Regional	75-84	Divorced	F	119
Armidale Regional	75-84	Divorced	M	76
Armidale Regional	75-84	Married	F	498
Armidale Regional	75-84	Married	M	581
Armidale Regional	75-84	Separated	F	21
Armidale Regional	75-84	Separated	M	29
Armidale Regional	75-84	Widowed	F	360
Armidale Regional	75-84	Widowed	M	114
Armidale Regional	85+	Divorced	F	27
Armidale Regional	85+	Divorced	M	10
Armidale Regional	85+	Married	F	80
Armidale Regional	85+	Married	M	168
Armidale Regional	85+	Separated	M	5
Armidale Regional	85+	Widowed	F	335
Armidale Regional	85+	Widowed	M	78
Ballina	20-24	Married	F	33
Ballina	20-24	Married	M	11
Ballina	25-34	Divorced	F	44
Ballina	25-34	Divorced	M	22
Ballina	25-34	Married	F	709
Ballina	25-34	Married	M	507
Ballina	25-34	Separated	F	41
Ballina	25-34	Separated	M	34
Ballina	25-34	Widowed	F	3
Ballina	35-44	Divorced	F	206
Ballina	35-44	Divorced	M	131
Ballina	35-44	Married	F	1438
Ballina	35-44	Married	M	1309
Ballina	35-44	Separated	F	126
Ballina	35-44	Separated	M	88
Ballina	35-44	Widowed	F	13
Ballina	35-44	Widowed	M	10
Ballina	45-54	Divorced	F	496
Ballina	45-54	Divorced	M	348
Ballina	45-54	Married	F	1666
Ballina	45-54	Married	M	1513
Ballina	45-54	Separated	F	194
Ballina	45-54	Separated	M	137
Ballina	45-54	Widowed	F	58
Ballina	45-54	Widowed	M	14
Ballina	55-64	Divorced	F	734
Ballina	55-64	Divorced	M	483
