LGA_NAME21	medianTotalPersonalIncome
Albury	40508
Armidale Regional	37388
Ballina	38324
Balranald	38168
Bathurst Regional	41392
Bayside (NSW)	45344
Bega Valley	33540
Bellingen	31876
Berrigan	32136
Blacktown	43212
Bland	37960
Blayney	39780
Blue Mountains	42484
Bogan	40248
Bourke	44824
Brewarrina	28756
Broken Hill	33644
Burwood	38428
Byron	39728
Cabonne	39936
Camden	51168
Campbelltown (NSW)	38376
Canada Bay	57564
Canterbury-Bankstown	32500
Carrathool	43524
Central Coast (NSW)	37804
Central Darling	27248
Cessnock	36192
Clarence Valley	30056
Cobar	46800
Coffs Harbour	35776
Coolamon	36036
Coonamble	34372
Cootamundra-Gundagai Regional	32604
Cowra	31512
Cumberland	34008
Dubbo Regional	43524
Dungog	36920
Edward River	36452
Eurobodalla	32136
Fairfield	25220
Federation	33592
Forbes	37336
Georges River	41184
Gilgandra	32864
Glen Innes Severn	27456
Goulburn Mulwaree	38948
Greater Hume Shire	37596
Griffith	43524
Gunnedah	40560
Gwydir	28132
Hawkesbury	44720
Hay	36400
Hilltops	34164
Hornsby	49816
Hunters Hill	62920
Inner West	62764
Inverell	32188
Junee	38584
Kempsey	28600
Kiama	43004
Ku-ring-gai	58084
Kyogle	27040
Lachlan	33488
Lake Macquarie	39468
Lane Cove	74048
Leeton	38740
Lismore	35620
Lithgow	32864
Liverpool	36088
Liverpool Plains	32240
Lockhart	33228
Maitland	41704
Mid-Coast	29328
Mid-Western Regional	36556
Moree Plains	42432
Mosman	77324
Murray River	33956
Murrumbidgee	40664
Muswellbrook	39988
Nambucca Valley	27300
Narrabri	40456
Narrandera	33852
Narromine	37284
Newcastle	44304
North Sydney	82836
Northern Beaches	57668
Oberon	39468
Orange	43784
Parkes	36400
Parramatta	47216
Penrith	45032
Port Macquarie-Hastings	33644
Port Stephens	34892
Queanbeyan-Palerang Regional	60268
Randwick	58292
Richmond Valley	31668
Ryde	50284
Shellharbour	37908
Shoalhaven	32968
Singleton	42588
Snowy Monaro Regional	43420
Snowy Valleys	35620
Strathfield	45188
Sutherland Shire	52936
Sydney	64532
Tamworth Regional	39260
Temora	34112
Tenterfield	25480
The Hills Shire	53716
Tweed	34216
Upper Hunter Shire	39052
Upper Lachlan Shire	39156
Uralla	35204
Wagga Wagga	43628
Walcha	35880
Walgett	28912
Warren	38688
Warrumbungle Shire	29068
Waverley	74984
Weddin	29900
Wentworth	37284
Willoughby	59540
Wingecarribee	41288
Wollondilly	45604
Wollongong	39208
Woollahra	84188
Yass Valley	54600
Unincorporated NSW	46800
No usual address (NSW)	
Migratory - Offshore - Shipping (NSW)	85748
Alpine	38012
Ararat	35620
Ballarat	38636
Banyule	47580
Bass Coast	32552
Baw Baw	37752
Bayside (Vic.)	57096
Benalla	34008
Boroondara	55692
Brimbank	31772
Buloke	32136
Campaspe	34736
Cardinia	43212
Casey	40716
Central Goldfields	26156
Colac Otway	36608
Corangamite	35828
Darebin	45708
East Gippsland	31356
Frankston	41860
Gannawarra	30680
Glen Eira	53092
Glenelg	33280
Golden Plains	40716
Greater Bendigo	38428
Greater Dandenong	32136
Greater Geelong	39988
Greater Shepparton	37024
Hepburn	34632
Hindmarsh	33488
Hobsons Bay	47476
Horsham	40144
Hume	34580
Indigo	40404
Kingston (Vic.)	45656
Knox	41444
Latrobe (Vic.)	34008
Loddon	28808
Macedon Ranges	44980
Manningham	39312
Mansfield	37232
Maribyrnong	50180
Maroondah	44252
Melbourne	49868
Melton	40872
Mildura	36088
Mitchell	41028
Moira	32708
Monash	39208
Moonee Valley	49608
Moorabool	41704
Moreland	47892
Mornington Peninsula	39572
Mount Alexander	35048
Moyne	39884
Murrindindi	34996
Nillumbik	50024
Northern Grampians	33956
Port Phillip	67028
Pyrenees	30108
Queenscliffe	43368
South Gippsland	34060
Southern Grampians	36348
Stonnington	67288
Strathbogie	33956
Surf Coast	48932
Swan Hill	37180
Towong	35828
Wangaratta	37804
Warrnambool	39468
Wellington	34216
West Wimmera	36504
Whitehorse	40456
Whittlesea	38324
Wodonga	41860
Wyndham	43628
Yarra	68848
Yarra Ranges	42016
Yarriambiack	32500
Unincorporated Vic	43836
No usual address (Vic.)	
Migratory - Offshore - Shipping (Vic.)	114400
Aurukun	17212
Balonne	40560
Banana	44512
Barcaldine	44616
Barcoo	51532
Blackall Tambo	37908
Boulia	52312
Brisbane	49244
Bulloo	49920
Bundaberg	30888
Burdekin	37596
Burke	45968
Cairns	42068
Carpentaria	40040
Cassowary Coast	33644
Central Highlands (Qld)	52572
