LGA_NAME16	MaxSchoolingCompleted	adults
Albury	Did not go to school	403
Albury	Year 8	1924
Albury	Year 9	3239
Albury	Year 10	11067
Albury	Year 11	4999
Albury	Year 12	20904
Armidale Regional	Did not go to school	205
Armidale Regional	Year 8	955
Armidale Regional	Year 9	1436
Armidale Regional	Year 10	4706
Armidale Regional	Year 11	1465
Armidale Regional	Year 12	12505
Ballina	Did not go to school	112
Ballina	Year 8	1471
Ballina	Year 9	2774
Ballina	Year 10	10476
Ballina	Year 11	2808
Ballina	Year 12	18513
Balranald	Did not go to school	14
Balranald	Year 8	146
Balranald	Year 9	148
Balranald	Year 10	392
Balranald	Year 11	200
Balranald	Year 12	578
Bathurst Regional	Did not go to school	121
Bathurst Regional	Year 8	1363
Bathurst Regional	Year 9	2551
Bathurst Regional	Year 10	9452
Bathurst Regional	Year 11	2531
Bathurst Regional	Year 12	16347
Bayside (NSW)	Did not go to school	2505
Bayside (NSW)	Year 8	6228
Bayside (NSW)	Year 9	4589
Bayside (NSW)	Year 10	18219
Bayside (NSW)	Year 11	6852
Bayside (NSW)	Year 12	100078
Bega Valley	Did not go to school	74
Bega Valley	Year 8	1373
Bega Valley	Year 9	2237
Bega Valley	Year 10	8342
Bega Valley	Year 11	2914
Bega Valley	Year 12	13140
Bellingen	Did not go to school	34
Bellingen	Year 8	433
Bellingen	Year 9	907
Bellingen	Year 10	2892
Bellingen	Year 11	788
Bellingen	Year 12	5057
Berrigan	Did not go to school	15
Berrigan	Year 8	492
Berrigan	Year 9	751
Berrigan	Year 10	1851
Berrigan	Year 11	999
Berrigan	Year 12	2323
Blacktown	Did not go to school	3930
Blacktown	Year 8	11403
Blacktown	Year 9	14638
Blacktown	Year 10	50989
Blacktown	Year 11	16046
Blacktown	Year 12	188860
Bland	Did not go to school	10
Bland	Year 8	233
Bland	Year 9	434
Bland	Year 10	1508
Bland	Year 11	334
Bland	Year 12	1471
Blayney	Did not go to school	21
Blayney	Year 8	285
Blayney	Year 9	494
Blayney	Year 10	1922
Blayney	Year 11	418
Blayney	Year 12	2382
Blue Mountains	Did not go to school	154
Blue Mountains	Year 8	1366
Blue Mountains	Year 9	3273
Blue Mountains	Year 10	14463
Blue Mountains	Year 11	4013
Blue Mountains	Year 12	38662
Bogan	Did not go to school	10
Bogan	Year 8	103
Bogan	Year 9	176
Bogan	Year 10	645
Bogan	Year 11	147
Bogan	Year 12	685
Bourke	Did not go to school	15
Bourke	Year 8	125
Bourke	Year 9	148
Bourke	Year 10	402
Bourke	Year 11	126
Bourke	Year 12	633
Brewarrina	Did not go to school	8
Brewarrina	Year 8	83
Brewarrina	Year 9	128
Brewarrina	Year 10	274
Brewarrina	Year 11	90
Brewarrina	Year 12	291
Broken Hill	Did not go to school	44
Broken Hill	Year 8	1218
Broken Hill	Year 9	1650
Broken Hill	Year 10	4858
Broken Hill	Year 11	1211
Broken Hill	Year 12	4145
Burwood	Did not go to school	788
Burwood	Year 8	1456
Burwood	Year 9	1021
Burwood	Year 10	2868
Burwood	Year 11	1181
Burwood	Year 12	25664
Byron	Did not go to school	59
Byron	Year 8	576
Byron	Year 9	1101
Byron	Year 10	5241
Byron	Year 11	1916
Byron	Year 12	18165
Cabonne	Did not go to school	30
Cabonne	Year 8	530
Cabonne	Year 9	895
Cabonne	Year 10	3270
Cabonne	Year 11	761
Cabonne	Year 12	4508
Camden	Did not go to school	666
Camden	Year 8	2606
Camden	Year 9	5156
Camden	Year 10	21973
Camden	Year 11	6085
Camden	Year 12	49311
Campbelltown (NSW)	Did not go to school	1538
Campbelltown (NSW)	Year 8	5269
Campbelltown (NSW)	Year 9	8822
Campbelltown (NSW)	Year 10	30200
Campbelltown (NSW)	Year 11	8868
Campbelltown (NSW)	Year 12	73685
Canada Bay	Did not go to school	775
Canada Bay	Year 8	2445
Canada Bay	Year 9	2263
Canada Bay	Year 10	8848
Canada Bay	Year 11	2870
Canada Bay	Year 12	54124
Canterbury-Bankstown	Did not go to school	9178
Canterbury-Bankstown	Year 8	17665
Canterbury-Bankstown	Year 9	13143
Canterbury-Bankstown	Year 10	43830
Canterbury-Bankstown	Year 11	13959
Canterbury-Bankstown	Year 12	176189
Carrathool	Did not go to school	22
Carrathool	Year 8	115
Carrathool	Year 9	206
Carrathool	Year 10	610
Carrathool	Year 11	184
Carrathool	Year 12	858
Central Coast (NSW)	Did not go to school	1046
Central Coast (NSW)	Year 8	10504
Central Coast (NSW)	Year 9	22259
Central Coast (NSW)	Year 10	82763
Central Coast (NSW)	Year 11	20163
Central Coast (NSW)	Year 12	129524
Central Darling	Did not go to school	18
Central Darling	Year 8	139
Central Darling	Year 9	195
Central Darling	Year 10	329
Central Darling	Year 11	108
Central Darling	Year 12	321
Cessnock	Did not go to school	178
Cessnock	Year 8	2512
Cessnock	Year 9	5237
Cessnock	Year 10	17454
Cessnock	Year 11	4186
Cessnock	Year 12	16717
Clarence Valley	Did not go to school	142
Clarence Valley	Year 8	2333
Clarence Valley	Year 9	4386
Clarence Valley	Year 10	15031
Clarence Valley	Year 11	3347
Clarence Valley	Year 12	15362
Cobar	Did not go to school	11
Cobar	Year 8	202
Cobar	Year 9	239
Cobar	Year 10	937
Cobar	Year 11	278
Cobar	Year 12	1010
Coffs Harbour	Did not go to school	525
Coffs Harbour	Year 8	2833
Coffs Harbour	Year 9	5048
Coffs Harbour	Year 10	18255
Coffs Harbour	Year 11	5002
Coffs Harbour	Year 12	28367
Coolamon	Did not go to school	12
Coolamon	Year 8	186
Coolamon	Year 9	364
Coolamon	Year 10	1235
Coolamon	Year 11	293
Coolamon	Year 12	1167
Coonamble	Did not go to school	24
Coonamble	Year 8	206
Coonamble	Year 9	276
Coonamble	Year 10	801
Coonamble	Year 11	222
Coonamble	Year 12	925
Cootamundra-Gundagai Regional	Did not go to school	45
Cootamundra-Gundagai Regional	Year 8	573
Cootamundra-Gundagai Regional	Year 9	908
Cootamundra-Gundagai Regional	Year 10	3098
Cootamundra-Gundagai Regional	Year 11	732
Cootamundra-Gundagai Regional	Year 12	3169
Cowra	Did not go to school	30
Cowra	Year 8	660
Cowra	Year 9	1058
Cowra	Year 10	3680
Cowra	Year 11	682
Cowra	Year 12	3427
Cumberland	Did not go to school	7190
Cumberland	Year 8	10477
Cumberland	Year 9	7855
Cumberland	Year 10	24238
Cumberland	Year 11	7971
Cumberland	Year 12	114764
Dubbo Regional	Did not go to school	149
Dubbo Regional	Year 8	2020
Dubbo Regional	Year 9	3074
Dubbo Regional	Year 10	12051
Dubbo Regional	Year 11	2984
Dubbo Regional	Year 12	18133
Dungog	Did not go to school	16
Dungog	Year 8	335
Dungog	Year 9	692
Dungog	Year 10	2819
Dungog	Year 11	560
Dungog	Year 12	2911
Edward River	Did not go to school	35
Edward River	Year 8	450
Edward River	Year 9	687
Edward River	Year 10	1838
Edward River	Year 11	782
Edward River	Year 12	2445
Eurobodalla	Did not go to school	101
Eurobodalla	Year 8	1548
Eurobodalla	Year 9	2867
Eurobodalla	Year 10	10218
Eurobodalla	Year 11	2666
Eurobodalla	Year 12	14391
Fairfield	Did not go to school	13533
Fairfield	Year 8	16403
Fairfield	Year 9	10156
Fairfield	Year 10	24744
Fairfield	Year 11	9153
Fairfield	Year 12	85008
Federation	Did not go to school	38
Federation	Year 8	656
Federation	Year 9	1094
Federation	Year 10	3113
Federation	Year 11	1483
Federation	Year 12	3517
Forbes	Did not go to school	30
Forbes	Year 8	435
Forbes	Year 9	651
Forbes	Year 10	2307
Forbes	Year 11	574
Forbes	Year 12	2719
Georges River	Did not go to school	1925
Georges River	Year 8	4857
Georges River	Year 9	4723
Georges River	Year 10	16426
Georges River	Year 11	5175
Georges River	Year 12	87855
Gilgandra	Did not go to school	10
Gilgandra	Year 8	228
Gilgandra	Year 9	398
Gilgandra	Year 10	1078
Gilgandra	Year 11	236
Gilgandra	Year 12	1058
Glen Innes Severn	Did not go to school	32
Glen Innes Severn	Year 8	500
Glen Innes Severn	Year 9	637
Glen Innes Severn	Year 10	2453
Glen Innes Severn	Year 11	474
Glen Innes Severn	Year 12	2487
Goulburn Mulwaree	Did not go to school	119
Goulburn Mulwaree	Year 8	1297
Goulburn Mulwaree	Year 9	2204
Goulburn Mulwaree	Year 10	7851
Goulburn Mulwaree	Year 11	1812
Goulburn Mulwaree	Year 12	10466
Greater Hume Shire	Did not go to school	13
Greater Hume Shire	Year 8	457
Greater Hume Shire	Year 9	789
Greater Hume Shire	Year 10	2543
Greater Hume Shire	Year 11	954
Greater Hume Shire	Year 12	3274
Griffith	Did not go to school	316
Griffith	Year 8	1442
Griffith	Year 9	1500
Griffith	Year 10	6074
Griffith	Year 11	1581
Griffith	Year 12	8877
Gunnedah	Did not go to school	42
Gunnedah	Year 8	523
Gunnedah	Year 9	923
Gunnedah	Year 10	3199
Gunnedah	Year 11	706
Gunnedah	Year 12	3613
Gwydir	Did not go to school	23
Gwydir	Year 8	324
Gwydir	Year 9	393
Gwydir	Year 10	1321
Gwydir	Year 11	258
Gwydir	Year 12	1309
Hawkesbury	Did not go to school	214
Hawkesbury	Year 8	2010
Hawkesbury	Year 9	4257
Hawkesbury	Year 10	17415
Hawkesbury	Year 11	3943
Hawkesbury	Year 12	23538
Hay	Did not go to school	17
Hay	Year 8	160
Hay	Year 9	239
Hay	Year 10	614
Hay	Year 11	223
Hay	Year 12	840
Hilltops	Did not go to school	76
Hilltops	Year 8	880
Hilltops	Year 9	1455
Hilltops	Year 10	5019
Hilltops	Year 11	1224
Hilltops	Year 12	5515
Hornsby	Did not go to school	813
Hornsby	Year 8	2135
Hornsby	Year 9	4359
Hornsby	Year 10	15663
Hornsby	Year 11	5606
Hornsby	Year 12	89786
Hunters Hill	Did not go to school	31
Hunters Hill	Year 8	248
Hunters Hill	Year 9	360
Hunters Hill	Year 10	1217
Hunters Hill	Year 11	482
Hunters Hill	Year 12	8068
Inner West	Did not go to school	1962
Inner West	Year 8	5178
Inner West	Year 9	3728
Inner West	Year 10	14063
Inner West	Year 11	5802
Inner West	Year 12	117113
Inverell	Did not go to school	71
Inverell	Year 8	941
Inverell	Year 9	1453
Inverell	Year 10	4411
Inverell	Year 11	1041
Inverell	Year 12	4936
Junee	Did not go to school	20
Junee	Year 8	246
Junee	Year 9	489
Junee	Year 10	1478
Junee	Year 11	364
Junee	Year 12	1596
Kempsey	Did not go to school	85
Kempsey	Year 8	1567
Kempsey	Year 9	2794
Kempsey	Year 10	8261
Kempsey	Year 11	1799
Kempsey	Year 12	7976
Kiama	Did not go to school	33
Kiama	Year 8	492
Kiama	Year 9	1171
Kiama	Year 10	4951
Kiama	Year 11	1194
Kiama	Year 12	10426
Ku-ring-gai	Did not go to school	412
Ku-ring-gai	Year 8	1315
Ku-ring-gai	Year 9	2834
Ku-ring-gai	Year 10	7839
Ku-ring-gai	Year 11	4190
Ku-ring-gai	Year 12	80274
Kyogle	Did not go to school	26
Kyogle	Year 8	412
Kyogle	Year 9	728
Kyogle	Year 10	2519
Kyogle	Year 11	594
Kyogle	Year 12	2797
Lachlan	Did not go to school	34
Lachlan	Year 8	260
Lachlan	Year 9	432
Lachlan	Year 10	1443
Lachlan	Year 11	334
Lachlan	Year 12	1667
Lake Macquarie	Did not go to school	575
Lake Macquarie	Year 8	6634
