LGA_NAME21	OnlyEnglishSpokenHome	persons
Albury	0	4817
Albury	1	48134
Armidale Regional	0	2999
Armidale Regional	1	23203
Ballina	0	2193
Ballina	1	41545
Balranald	0	205
Balranald	1	1695
Bathurst Regional	0	2371
Bathurst Regional	1	38175
Bayside (NSW)	0	90153
Bayside (NSW)	1	73964
Bega Valley	0	1193
Bega Valley	1	32334
Bellingen	0	482
Bellingen	1	11768
Berrigan	0	261
Berrigan	1	7560
Blacktown	0	183593
Blacktown	1	188793
Bland	0	151
Bland	1	4897
Blayney	0	121
Blayney	1	6908
Blue Mountains	0	5061
Blue Mountains	1	70398
Bogan	0	89
Bogan	1	2183
Bourke	0	93
Bourke	1	1840
Brewarrina	0	49
Brewarrina	1	1094
Broken Hill	0	596
Broken Hill	1	15480
Burwood	0	25278
Burwood	1	12641
Byron	0	3467
Byron	1	28996
Cabonne	0	287
Cabonne	1	12493
Camden	0	26794
Camden	1	88349
Campbelltown (NSW)	0	63220
Campbelltown (NSW)	1	102037
Canada Bay	0	35248
Canada Bay	1	50084
Canterbury-Bankstown	0	219107
Canterbury-Bankstown	1	125243
Carrathool	0	281
Carrathool	1	2247
Central Coast (NSW)	0	24646
Central Coast (NSW)	1	304010
Central Darling	0	27
Central Darling	1	1334
Cessnock	0	1754
Cessnock	1	57361
Clarence Valley	0	1496
Clarence Valley	1	48046
Cobar	0	181
Cobar	1	3278
Coffs Harbour	0	7229
Coffs Harbour	1	66787
Coolamon	0	55
Coolamon	1	4070
Coonamble	0	80
Coonamble	1	3122
Cootamundra-Gundagai Regional	0	355
Cootamundra-Gundagai Regional	1	10161
Cowra	0	478
Cowra	1	11237
Cumberland	0	153492
Cumberland	1	62732
Dubbo Regional	0	4153
Dubbo Regional	1	45188
Dungog	0	91
Dungog	1	9027
Edward River	0	250
Edward River	1	7430
Eurobodalla	0	1622
Eurobodalla	1	35935
Fairfield	0	145297
Fairfield	1	48753
Federation	0	294
Federation	1	11684
Forbes	0	200
Forbes	1	8358
Georges River	0	81024
Georges River	1	64097
Gilgandra	0	66
Gilgandra	1	3727
Glen Innes Severn	0	206
Glen Innes Severn	1	7718
Goulburn Mulwaree	0	1995
Goulburn Mulwaree	1	27516
Greater Hume Shire	0	236
Greater Hume Shire	1	10014
Griffith	0	6278
Griffith	1	18662
Gunnedah	0	413
Gunnedah	1	11402
Gwydir	0	45
Gwydir	1	4418
Hawkesbury	0	4765
Hawkesbury	1	59393
Hay	0	117
Hay	1	2422
Hilltops	0	1010
Hilltops	1	16836
Hornsby	0	54202
Hornsby	1	92951
Hunters Hill	0	2685
Hunters Hill	1	10052
Inner West	0	47236
Inner West	1	127518
Inverell	0	676
Inverell	1	15509
Junee	0	295
Junee	1	4953
Kempsey	0	889
Kempsey	1	26714
Kiama	0	1033
Kiama	1	20993
Ku-ring-gai	0	41469
Ku-ring-gai	1	79470
Kyogle	0	311
Kyogle	1	8140
Lachlan	0	218
Lachlan	1	5149
Lake Macquarie	0	11259
Lake Macquarie	1	194306
Lane Cove	0	11175
Lane Cove	1	26798
Leeton	0	1107
Leeton	1	9374
Lismore	0	2318
Lismore	1	38754
Lithgow	0	903
Lithgow	1	18199
Liverpool	0	125558
Liverpool	1	92144
Liverpool Plains	0	202
Liverpool Plains	1	6498
Lockhart	0	63
Lockhart	1	3000
Maitland	0	4969
Maitland	1	81723
Mid-Coast	0	3078
Mid-Coast	1	86805
Mid-Western Regional	0	856
Mid-Western Regional	1	22921
Moree Plains	0	468
Moree Plains	1	9658
Mosman	0	4673
Mosman	1	22671
Murray River	0	454
Murray River	1	11466
Murrumbidgee	0	138
Murrumbidgee	1	2895
Muswellbrook	0	664
Muswellbrook	1	14400
Nambucca Valley	0	676
Nambucca Valley	1	18156
Narrabri	0	311
Narrabri	1	11039
Narrandera	0	191
Narrandera	1	4937
Narromine	0	111
Narromine	1	5372
Newcastle	0	17761
Newcastle	1	143184
North Sydney	0	16464
North Sydney	1	49499
Northern Beaches	0	41049
Northern Beaches	1	213359
Oberon	0	262
Oberon	1	4612
Orange	0	3132
Orange	1	37958
Parkes	0	496
Parkes	1	12796
Parramatta	0	144802
Parramatta	1	98111
Penrith	0	42721
Penrith	1	161419
Port Macquarie-Hastings	0	3464
Port Macquarie-Hastings	1	79252
Port Stephens	0	3027
Port Stephens	1	68383
Queanbeyan-Palerang Regional	0	8534
Queanbeyan-Palerang Regional	1	51554
Randwick	0	37320
Randwick	1	88767
Richmond Valley	0	560
Richmond Valley	1	20715
Ryde	0	63963
Ryde	1	59738
Shellharbour	0	7472
Shellharbour	1	65160
Shoalhaven	0	5299
Shoalhaven	1	95928
Singleton	0	834
Singleton	1	22267
Snowy Monaro Regional	0	1344
Snowy Monaro Regional	1	18588
Snowy Valleys	0	653
Snowy Valleys	1	12979
Strathfield	0	29762
Strathfield	1	13277
Sutherland Shire	0	31757
Sutherland Shire	1	190743
Sydney	0	73722
Sydney	1	122723
Tamworth Regional	0	3630
Tamworth Regional	1	54968
Temora	0	151
Temora	1	5562
Tenterfield	0	195
Tenterfield	1	5968
The Hills Shire	0	74377
The Hills Shire	1	112395
Tweed	0	4862
Tweed	1	85814
Upper Hunter Shire	0	584
Upper Hunter Shire	1	12728
Upper Lachlan Shire	0	213
Upper Lachlan Shire	1	7604
Uralla	0	144
Uralla	1	5447
Wagga Wagga	0	6168
Wagga Wagga	1	57697
Walcha	0	54
Walcha	1	2665
Walgett	0	276
Walgett	1	3595
Warren	0	75
Warren	1	2202
Warrumbungle Shire	0	213
Warrumbungle Shire	1	7757
Waverley	0	14372
Waverley	1	50164
Weddin	0	55
Weddin	1	3302
Wentworth	0	288
Wentworth	1	6255
Willoughby	0	31032
Willoughby	1	41979
Wingecarribee	0	3685
Wingecarribee	1	46361
Wollondilly	0	3078
Wollondilly	1	48361
Wollongong	0	33864
Wollongong	1	171184
Woollahra	0	8295
Woollahra	1	42520
Yass Valley	0	707
Yass Valley	1	15750
Unincorporated NSW	0	39
Unincorporated NSW	1	893
No usual address (NSW)	0	1150
No usual address (NSW)	1	6417
Alpine	0	916
Alpine	1	11428
Ararat	0	595
Ararat	1	9836
Ballarat	0	7976
Ballarat	1	100172
Banyule	0	27548
Banyule	1	94634
Bass Coast	0	2060
Bass Coast	1	35984
Baw Baw	0	2819
Baw Baw	1	51600
Bayside (Vic.)	0	15645
Bayside (Vic.)	1	82132
Benalla	0	529
Benalla	1	12802
Boroondara	0	48227
Boroondara	1	114556
Brimbank	0	111421
Brimbank	1	70661
Buloke	0	206
Buloke	1	5444
Campaspe	0	1521
Campaspe	1	34548
Cardinia	0	21073
Cardinia	1	91108
Casey	0	152525
Casey	1	193800
Central Goldfields	0	403
Central Goldfields	1	12098
