LGA_NAME16	Age5yr	Indigenous	persons
Albury	0-4		212
Albury	0-4	0	3056
Albury	0-4	1	303
Albury	5-9		214
Albury	5-9	0	3160
Albury	5-9	1	270
Albury	10-14		177
Albury	10-14	0	2946
Albury	10-14	1	230
Albury	15-19		188
Albury	15-19	0	2938
Albury	15-19	1	218
Albury	20-24		187
Albury	20-24	0	3058
Albury	20-24	1	214
Albury	25-29		209
Albury	25-29	0	3394
Albury	25-29	1	154
Albury	30-34		191
Albury	30-34	0	3244
Albury	30-34	1	122
Albury	35-39		210
Albury	35-39	0	3209
Albury	35-39	1	118
Albury	40-44		159
Albury	40-44	0	3100
Albury	40-44	1	90
Albury	45-49		161
Albury	45-49	0	3044
Albury	45-49	1	80
Albury	50-54		171
Albury	50-54	0	3163
Albury	50-54	1	98
Albury	55-59		176
Albury	55-59	0	3102
Albury	55-59	1	65
Albury	60-64		153
Albury	60-64	0	3278
Albury	60-64	1	67
Albury	65+		516
Albury	65+	0	10347
Albury	65+	1	103
Armidale Regional	0-4		118
Armidale Regional	0-4	0	1174
Armidale Regional	0-4	1	267
Armidale Regional	5-9		140
Armidale Regional	5-9	0	1340
Armidale Regional	5-9	1	277
Armidale Regional	10-14		197
Armidale Regional	10-14	0	1468
Armidale Regional	10-14	1	249
Armidale Regional	15-19		364
Armidale Regional	15-19	0	1705
Armidale Regional	15-19	1	260
Armidale Regional	20-24		367
Armidale Regional	20-24	0	1784
Armidale Regional	20-24	1	171
Armidale Regional	25-29		201
Armidale Regional	25-29	0	1585
Armidale Regional	25-29	1	173
Armidale Regional	30-34		160
Armidale Regional	30-34	0	1510
Armidale Regional	30-34	1	118
Armidale Regional	35-39		138
Armidale Regional	35-39	0	1469
Armidale Regional	35-39	1	106
Armidale Regional	40-44		98
Armidale Regional	40-44	0	1273
Armidale Regional	40-44	1	103
Armidale Regional	45-49		110
Armidale Regional	45-49	0	1389
Armidale Regional	45-49	1	81
Armidale Regional	50-54		113
Armidale Regional	50-54	0	1425
Armidale Regional	50-54	1	85
Armidale Regional	55-59		129
Armidale Regional	55-59	0	1608
Armidale Regional	55-59	1	111
Armidale Regional	60-64		99
Armidale Regional	60-64	0	1558
Armidale Regional	60-64	1	69
Armidale Regional	65+		503
Armidale Regional	65+	0	4881
Armidale Regional	65+	1	132
Ballina	0-4		102
Ballina	0-4	0	1958
Ballina	0-4	1	145
Ballina	5-9		136
Ballina	5-9	0	2215
Ballina	5-9	1	176
Ballina	10-14		131
Ballina	10-14	0	2443
Ballina	10-14	1	230
Ballina	15-19		119
Ballina	15-19	0	2113
Ballina	15-19	1	196
Ballina	20-24		106
Ballina	20-24	0	1623
Ballina	20-24	1	155
Ballina	25-29		131
Ballina	25-29	0	1717
Ballina	25-29	1	100
Ballina	30-34		121
Ballina	30-34	0	2080
Ballina	30-34	1	115
Ballina	35-39		145
Ballina	35-39	0	2364
Ballina	35-39	1	84
Ballina	40-44		132
Ballina	40-44	0	2442
Ballina	40-44	1	76
Ballina	45-49		129
Ballina	45-49	0	2645
Ballina	45-49	1	120
Ballina	50-54		142
Ballina	50-54	0	2753
Ballina	50-54	1	116
Ballina	55-59		138
Ballina	55-59	0	2912
Ballina	55-59	1	85
Ballina	60-64		161
Ballina	60-64	0	3134
Ballina	60-64	1	73
Ballina	65+		617
Ballina	65+	0	11778
Ballina	65+	1	129
Balranald	0-4		8
Balranald	0-4	0	112
Balranald	0-4	1	14
Balranald	5-9		18
Balranald	5-9	0	107
Balranald	5-9	1	17
Balranald	10-14		27
Balranald	10-14	0	122
Balranald	10-14	1	15
Balranald	15-19		13
Balranald	15-19	0	94
Balranald	15-19	1	9
Balranald	20-24		11
Balranald	20-24	0	92
Balranald	20-24	1	4
Balranald	25-29		13
Balranald	25-29	0	99
Balranald	25-29	1	9
Balranald	30-34		23
Balranald	30-34	0	123
Balranald	30-34	1	12
Balranald	35-39		15
Balranald	35-39	0	83
Balranald	35-39	1	3
Balranald	40-44		18
Balranald	40-44	0	82
Balranald	40-44	1	12
Balranald	45-49		24
Balranald	45-49	0	102
Balranald	45-49	1	12
Balranald	50-54		20
Balranald	50-54	0	124
Balranald	50-54	1	4
Balranald	55-59		17
Balranald	55-59	0	139
Balranald	55-59	1	10
Balranald	60-64		24
Balranald	60-64	0	138
Balranald	60-64	1	7
Balranald	65+		70
Balranald	65+	0	366
Balranald	65+	1	16
Bathurst Regional	0-4		96
Bathurst Regional	0-4	0	2019
Bathurst Regional	0-4	1	364
Bathurst Regional	5-9		135
Bathurst Regional	5-9	0	2259
Bathurst Regional	5-9	1	358
Bathurst Regional	10-14		137
Bathurst Regional	10-14	0	2453
Bathurst Regional	10-14	1	348
Bathurst Regional	15-19		131
Bathurst Regional	15-19	0	2470
Bathurst Regional	15-19	1	300
Bathurst Regional	20-24		159
Bathurst Regional	20-24	0	2405
Bathurst Regional	20-24	1	320
Bathurst Regional	25-29		124
Bathurst Regional	25-29	0	2365
Bathurst Regional	25-29	1	267
Bathurst Regional	30-34		115
Bathurst Regional	30-34	0	2560
Bathurst Regional	30-34	1	246
Bathurst Regional	35-39		118
Bathurst Regional	35-39	0	2383
Bathurst Regional	35-39	1	166
Bathurst Regional	40-44		124
Bathurst Regional	40-44	0	2171
Bathurst Regional	40-44	1	169
Bathurst Regional	45-49		131
Bathurst Regional	45-49	0	2371
Bathurst Regional	45-49	1	163
Bathurst Regional	50-54		140
Bathurst Regional	50-54	0	2440
Bathurst Regional	50-54	1	132
Bathurst Regional	55-59		119
Bathurst Regional	55-59	0	2449
Bathurst Regional	55-59	1	85
Bathurst Regional	60-64		131
Bathurst Regional	60-64	0	2466
Bathurst Regional	60-64	1	86
Bathurst Regional	65+		370
Bathurst Regional	65+	0	7557
Bathurst Regional	65+	1	148
Bayside (NSW)	0-4		432
Bayside (NSW)	0-4	0	9378
Bayside (NSW)	0-4	1	178
Bayside (NSW)	5-9		399
Bayside (NSW)	5-9	0	7983
Bayside (NSW)	5-9	1	168
Bayside (NSW)	10-14		346
Bayside (NSW)	10-14	0	7466
Bayside (NSW)	10-14	1	148
Bayside (NSW)	15-19		353
Bayside (NSW)	15-19	0	7270
Bayside (NSW)	15-19	1	149
Bayside (NSW)	20-24		749
Bayside (NSW)	20-24	0	12718
Bayside (NSW)	20-24	1	245
Bayside (NSW)	25-29		1070
Bayside (NSW)	25-29	0	16901
Bayside (NSW)	25-29	1	191
Bayside (NSW)	30-34		1012
Bayside (NSW)	30-34	0	17218
Bayside (NSW)	30-34	1	149
Bayside (NSW)	35-39		759
Bayside (NSW)	35-39	0	14131
Bayside (NSW)	35-39	1	107
Bayside (NSW)	40-44		558
Bayside (NSW)	40-44	0	10912
Bayside (NSW)	40-44	1	81
Bayside (NSW)	45-49		483
Bayside (NSW)	45-49	0	10142
Bayside (NSW)	45-49	1	119
Bayside (NSW)	50-54		403
Bayside (NSW)	50-54	0	9360
Bayside (NSW)	50-54	1	121
Bayside (NSW)	55-59		431
Bayside (NSW)	55-59	0	8825
Bayside (NSW)	55-59	1	103
Bayside (NSW)	60-64		308
Bayside (NSW)	60-64	0	7757
Bayside (NSW)	60-64	1	76
Bayside (NSW)	65+		1334
Bayside (NSW)	65+	0	24526
Bayside (NSW)	65+	1	131
Bega Valley	0-4		98
Bega Valley	0-4	0	1248
Bega Valley	0-4	1	156
Bega Valley	5-9		116
Bega Valley	5-9	0	1576
Bega Valley	5-9	1	165
Bega Valley	10-14		140
Bega Valley	10-14	0	1768
Bega Valley	10-14	1	162
Bega Valley	15-19		129
Bega Valley	15-19	0	1480
Bega Valley	15-19	1	155
Bega Valley	20-24		91
Bega Valley	20-24	0	1104
Bega Valley	20-24	1	90
Bega Valley	25-29		87
Bega Valley	25-29	0	1252
Bega Valley	25-29	1	85
Bega Valley	30-34		121
Bega Valley	30-34	0	1420
Bega Valley	30-34	1	59
Bega Valley	35-39		103
Bega Valley	35-39	0	1524
Bega Valley	35-39	1	71
Bega Valley	40-44		95
Bega Valley	40-44	0	1502
Bega Valley	40-44	1	52
Bega Valley	45-49		139
Bega Valley	45-49	0	1802
Bega Valley	45-49	1	66
Bega Valley	50-54		150
Bega Valley	50-54	0	2125
Bega Valley	50-54	1	66
Bega Valley	55-59		194
Bega Valley	55-59	0	2571
Bega Valley	55-59	1	87
Bega Valley	60-64		194
Bega Valley	60-64	0	3225
Bega Valley	60-64	1	61
Bega Valley	65+		685
Bega Valley	65+	0	9615
Bega Valley	65+	1	111
Bellingen	0-4		35
Bellingen	0-4	0	447
Bellingen	0-4	1	66
Bellingen	5-9		56
Bellingen	5-9	0	622
Bellingen	5-9	1	75
Bellingen	10-14		93
Bellingen	10-14	0	764
Bellingen	10-14	1	54
Bellingen	15-19		66
Bellingen	15-19	0	597
Bellingen	15-19	1	50
Bellingen	20-24		22
Bellingen	20-24	0	334
Bellingen	20-24	1	45
Bellingen	25-29		21
Bellingen	25-29	0	359
Bellingen	25-29	1	27
Bellingen	30-34		45
Bellingen	30-34	0	546
Bellingen	30-34	1	34
Bellingen	35-39		51
Bellingen	35-39	0	567
Bellingen	35-39	1	23
Bellingen	40-44		61
Bellingen	40-44	0	578
Bellingen	40-44	1	20
Bellingen	45-49		74
Bellingen	45-49	0	741
Bellingen	45-49	1	33
Bellingen	50-54		69
Bellingen	50-54	0	816
Bellingen	50-54	1	29
Bellingen	55-59		64
Bellingen	55-59	0	969
Bellingen	55-59	1	34
Bellingen	60-64		57
Bellingen	60-64	0	1115
Bellingen	60-64	1	31
Bellingen	65+		217
Bellingen	65+	0	3310
Bellingen	65+	1	41
Berrigan	0-4		29
Berrigan	0-4	0	325
Berrigan	0-4	1	19
Berrigan	5-9		53
Berrigan	5-9	0	371
Berrigan	5-9	1	29
Berrigan	10-14		47
Berrigan	10-14	0	425
Berrigan	10-14	1	49
Berrigan	15-19		44
Berrigan	15-19	0	367
Berrigan	15-19	1	30
Berrigan	20-24		26
Berrigan	20-24	0	248
Berrigan	20-24	1	14
Berrigan	25-29		42
Berrigan	25-29	0	297
Berrigan	25-29	1	9
Berrigan	30-34		28
Berrigan	30-34	0	347
Berrigan	30-34	1	8
Berrigan	35-39		28
Berrigan	35-39	0	321
Berrigan	35-39	1	11
Berrigan	40-44		31
Berrigan	40-44	0	379
Berrigan	40-44	1	17
Berrigan	45-49		45
Berrigan	45-49	0	423
Berrigan	45-49	1	15
Berrigan	50-54		47
Berrigan	50-54	0	426
Berrigan	50-54	1	9
Berrigan	55-59		41
Berrigan	55-59	0	469
Berrigan	55-59	1	9
