LGA_NAME16	Sex	persons
Albury	F	29007
Albury	M	27087
Armidale Regional	F	15115
Armidale Regional	M	14005
Ballina	F	24019
Ballina	M	22271
Balranald	F	1098
Balranald	M	1116
Bathurst Regional	F	21705
Bathurst Regional	M	21857
Bayside (NSW)	F	87860
Bayside (NSW)	M	87327
Bega Valley	F	18307
Bega Valley	M	17628
Bellingen	F	6827
Bellingen	M	6423
Berrigan	F	4402
Berrigan	M	4261
Blacktown	F	198905
Blacktown	M	197876
Bland	F	2758
Bland	M	2790
Blayney	F	3778
Blayney	M	3721
Blue Mountains	F	40258
Blue Mountains	M	37865
Bogan	F	1225
Bogan	M	1240
Bourke	F	1178
Bourke	M	1164
Brewarrina	F	679
Brewarrina	M	676
Broken Hill	F	9020
Broken Hill	M	8565
Burwood	F	20556
Burwood	M	19657
Byron	F	18800
Byron	M	17313
Cabonne	F	6915
Cabonne	M	6851
Camden	F	60735
Camden	M	58587
Campbelltown (NSW)	F	89874
Campbelltown (NSW)	M	86646
Canada Bay	F	46218
Canada Bay	M	42959
Canterbury-Bankstown	F	184997
Canterbury-Bankstown	M	186002
Carrathool	F	1343
Carrathool	M	1527
Central Coast (NSW)	F	178618
Central Coast (NSW)	M	167980
Central Darling	F	846
Central Darling	M	876
Cessnock	F	31603
Cessnock	M	32030
Clarence Valley	F	27059
Clarence Valley	M	27064
Cobar	F	1993
Cobar	M	2062
Coffs Harbour	F	40746
Coffs Harbour	M	38010
Coolamon	F	2227
Coolamon	M	2166
Coonamble	F	1861
Coonamble	M	1865
Cootamundra-Gundagai Regional	F	5732
Cootamundra-Gundagai Regional	M	5672
Cowra	F	6409
Cowra	M	6316
Cumberland	F	113938
Cumberland	M	121502
Dubbo Regional	F	27784
Dubbo Regional	M	27139
Dungog	F	4781
Dungog	M	4761
Edward River	F	4286
Edward River	M	4170
Eurobodalla	F	20696
Eurobodalla	M	19892
Fairfield	F	105605
Fairfield	M	102874
Federation	F	6471
Federation	M	6429
Forbes	F	4716
Forbes	M	4597
Georges River	F	77250
Georges River	M	75024
Gilgandra	F	2174
Gilgandra	M	2122
Glen Innes Severn	F	4518
Glen Innes Severn	M	4409
Goulburn Mulwaree	F	15909
Goulburn Mulwaree	M	16141
Greater Hume Shire	F	5492
Greater Hume Shire	M	5657
Griffith	F	13494
Griffith	M	13591
Gunnedah	F	6495
Gunnedah	M	6438
Gwydir	F	2465
Gwydir	M	2447
Hawkesbury	F	33755
Hawkesbury	M	33461
Hay	F	1436
Hay	M	1448
Hilltops	F	9787
Hilltops	M	9469
Hornsby	F	77455
Hornsby	M	74360
Hunters Hill	F	6962
Hunters Hill	M	6597
Inner West	F	93648
Inner West	M	89169
Inverell	F	9072
Inverell	M	8780
Junee	F	2756
Junee	M	3664
Kempsey	F	15262
Kempsey	M	15426
Kiama	F	11851
Kiama	M	11220
Ku-ring-gai	F	64222
Ku-ring-gai	M	59850
Kyogle	F	4708
Kyogle	M	4648
Lachlan	F	3048
Lachlan	M	3046
Lake Macquarie	F	109529
Lake Macquarie	M	104311
Lane Cove	F	20130
Lane Cove	M	19305
Leeton	F	5808
Leeton	M	5643
Lismore	F	22573
Lismore	M	21758
Lithgow	F	10313
Lithgow	M	10529
Liverpool	F	117283
Liverpool	M	116163
Liverpool Plains	F	3761
Liverpool Plains	M	3789
Lockhart	F	1669
Lockhart	M	1649
Maitland	F	46310
Maitland	M	43917
Mid-Coast	F	49495
Mid-Coast	M	47086
Mid-Western Regional	F	12766
Mid-Western Regional	M	12945
Moree Plains	F	6369
Moree Plains	M	6376
Mosman	F	15294
Mosman	M	13033
Murray River	F	6441
Murray River	M	6409
Murrumbidgee	F	1601
Murrumbidgee	M	1751
Muswellbrook	F	7957
Muswellbrook	M	8397
Nambucca Valley	F	10463
Nambucca Valley	M	9937
Narrabri	F	6307
Narrabri	M	6397
Narrandera	F	2873
Narrandera	M	2823
Narromine	F	3144
Narromine	M	3218
Newcastle	F	85893
Newcastle	M	82975
North Sydney	F	36505
North Sydney	M	32443
Northern Beaches	F	134623
Northern Beaches	M	128929
Oberon	F	2662
Oberon	M	2915
Orange	F	22333
Orange	M	21178
Parkes	F	7208
Parkes	M	7154
Parramatta	F	127995
Parramatta	M	128734
Penrith	F	110085
Penrith	M	107583
Port Macquarie-Hastings	F	45188
Port Macquarie-Hastings	M	41576
Port Stephens	F	38218
Port Stephens	M	37059
Queanbeyan-Palerang Regional	F	31441
Queanbeyan-Palerang Regional	M	31861
Randwick	F	68869
Randwick	M	65376
Richmond Valley	F	11941
Richmond Valley	M	11631
Ryde	F	66080
Ryde	M	63042
Shellharbour	F	39006
Shellharbour	M	37265
Shoalhaven	F	54813
Shoalhaven	M	53719
Singleton	F	11918
Singleton	M	12659
Snowy Monaro Regional	F	10500
Snowy Monaro Regional	M	11169
Snowy Valleys	F	7391
Snowy Valleys	M	7504
Strathfield	F	22229
Strathfield	M	23365
Sutherland Shire	F	117649
Sutherland Shire	M	112561
Sydney	F	101018
Sydney	M	110615
Tamworth Regional	F	32166
Tamworth Regional	M	30906
Temora	F	3085
Temora	M	2948
Tenterfield	F	3482
Tenterfield	M	3334
The Hills Shire	F	97221
