LGA_NAME16	Age.min	persons
Albury	0	693
Albury	1	684
Albury	2	734
Albury	3	760
Albury	4	700
Albury	5	755
Albury	6	713
Albury	7	726
Albury	8	754
Albury	9	702
Albury	10	643
Albury	11	694
Albury	12	661
Albury	13	654
Albury	14	706
Albury	15	654
Albury	16	701
Albury	17	664
Albury	18	689
Albury	19	631
Albury	20	613
Albury	21	662
Albury	22	725
Albury	23	697
Albury	24	769
Albury	25	705
Albury	26	766
Albury	27	772
Albury	28	786
Albury	29	729
Albury	30	746
Albury	31	707
Albury	32	742
Albury	33	694
Albury	34	669
Albury	35	757
Albury	36	692
Albury	37	712
Albury	38	685
Albury	39	689
Albury	40	711
Albury	41	626
Albury	42	668
Albury	43	689
Albury	44	645
Albury	45	649
Albury	46	617
Albury	47	656
Albury	48	635
Albury	49	727
Albury	50	729
Albury	51	704
Albury	52	723
Albury	53	622
Albury	54	652
Albury	55	632
Albury	56	617
Albury	57	680
Albury	58	689
Albury	59	717
Albury	60	716
Albury	61	708
Albury	62	731
Albury	63	692
Albury	64	645
Albury	65	704
Albury	66	585
Albury	67	659
Albury	68	662
Albury	69	594
Albury	70	553
Albury	71	581
Albury	72	559
Albury	73	552
Albury	74	598
Albury	75	453
Albury	76	459
Albury	77	456
Albury	78	374
Albury	79	352
Albury	80	1447
Albury	85	832
Albury	90	420
Albury	95	121
Albury	100	19
Armidale Regional	0	296
Armidale Regional	1	304
Armidale Regional	2	322
Armidale Regional	3	286
Armidale Regional	4	356
Armidale Regional	5	336
Armidale Regional	6	329
Armidale Regional	7	366
Armidale Regional	8	359
Armidale Regional	9	368
Armidale Regional	10	319
Armidale Regional	11	364
Armidale Regional	12	391
Armidale Regional	13	375
Armidale Regional	14	455
Armidale Regional	15	434
Armidale Regional	16	421
Armidale Regional	17	446
Armidale Regional	18	478
Armidale Regional	19	553
Armidale Regional	20	557
Armidale Regional	21	513
Armidale Regional	22	461
Armidale Regional	23	403
Armidale Regional	24	393
Armidale Regional	25	396
Armidale Regional	26	400
Armidale Regional	27	367
Armidale Regional	28	391
Armidale Regional	29	403
Armidale Regional	30	393
Armidale Regional	31	385
Armidale Regional	32	320
Armidale Regional	33	312
Armidale Regional	34	372
Armidale Regional	35	362
Armidale Regional	36	348
Armidale Regional	37	329
Armidale Regional	38	345
Armidale Regional	39	321
Armidale Regional	40	325
Armidale Regional	41	296
Armidale Regional	42	292
Armidale Regional	43	291
Armidale Regional	44	270
Armidale Regional	45	300
Armidale Regional	46	297
Armidale Regional	47	292
Armidale Regional	48	339
Armidale Regional	49	355
Armidale Regional	50	334
Armidale Regional	51	318
Armidale Regional	52	343
Armidale Regional	53	337
Armidale Regional	54	298
Armidale Regional	55	352
Armidale Regional	56	370
Armidale Regional	57	361
Armidale Regional	58	378
Armidale Regional	59	384
Armidale Regional	60	328
Armidale Regional	61	336
Armidale Regional	62	354
Armidale Regional	63	359
Armidale Regional	64	337
Armidale Regional	65	306
Armidale Regional	66	327
Armidale Regional	67	310
Armidale Regional	68	293
Armidale Regional	69	278
Armidale Regional	70	273
Armidale Regional	71	295
Armidale Regional	72	261
Armidale Regional	73	261
Armidale Regional	74	290
Armidale Regional	75	232
Armidale Regional	76	229
Armidale Regional	77	225
Armidale Regional	78	225
Armidale Regional	79	212
Armidale Regional	80	795
Armidale Regional	85	447
Armidale Regional	90	222
Armidale Regional	95	48
Armidale Regional	100	4
Ballina	0	456
Ballina	1	407
Ballina	2	436
Ballina	3	441
Ballina	4	462
Ballina	5	435
Ballina	6	526
Ballina	7	488
Ballina	8	523
Ballina	9	560
Ballina	10	548
Ballina	11	588
Ballina	12	573
Ballina	13	564
Ballina	14	536
Ballina	15	521
Ballina	16	498
Ballina	17	515
Ballina	18	464
Ballina	19	419
Ballina	20	398
Ballina	21	398
Ballina	22	367
Ballina	23	376
Ballina	24	340
Ballina	25	371
Ballina	26	360
Ballina	27	391
Ballina	28	401
Ballina	29	431
Ballina	30	424
Ballina	31	458
Ballina	32	446
Ballina	33	493
Ballina	34	489
Ballina	35	477
Ballina	36	508
Ballina	37	556
Ballina	38	555
Ballina	39	506
Ballina	40	509
Ballina	41	539
Ballina	42	557
Ballina	43	526
Ballina	44	521
Ballina	45	555
Ballina	46	536
Ballina	47	580
Ballina	48	574
Ballina	49	651
Ballina	50	675
Ballina	51	543
Ballina	52	595
Ballina	53	588
Ballina	54	606
