LGA_NAME21	CountryOfBirth	persons
Albury		4438
Albury	AFG	3
Albury	AUS	45847
Albury	BGD	65
Albury	BIH	11
Albury	BRA	13
Albury	CAN	65
Albury	CHL	17
Albury	CHN	139
Albury	DEU	256
Albury	EGY	15
Albury	FJI	50
Albury	FRA	21
Albury	GBR	1282
Albury	GRC	49
Albury	HKG	30
Albury	HRV	47
Albury	IDN	39
Albury	IND	1062
Albury	IRL	51
Albury	IRN	25
Albury	IRQ	5
Albury	ITA	85
Albury	JPN	16
Albury	KHM	6
Albury	KOR	40
Albury	LBN	23
Albury	LKA	93
Albury	MKD	4
Albury	MLT	14
Albury	MMR	3
Albury	MUS	16
Albury	MYS	53
Albury	NLD	190
Albury	NPL	346
Albury	NZL	582
Albury	PAK	68
Albury	PHL	416
Albury	PNG	31
Albury	POL	28
Albury	SGP	28
Albury	THA	93
Albury	TWN	18
Albury	USA	120
Albury	VNM	72
Albury	WSM	11
Albury	ZAF	172
Albury	ZWE	31
Armidale Regional		3524
Armidale Regional	AFG	3
Armidale Regional	AUS	21868
Armidale Regional	BGD	101
Armidale Regional	BRA	23
Armidale Regional	CAN	68
Armidale Regional	CHL	15
Armidale Regional	CHN	149
Armidale Regional	DEU	88
Armidale Regional	EGY	3
Armidale Regional	FJI	25
Armidale Regional	FRA	30
Armidale Regional	GBR	675
Armidale Regional	GRC	13
Armidale Regional	HKG	23
Armidale Regional	HRV	10
Armidale Regional	IDN	27
Armidale Regional	IND	279
Armidale Regional	IRL	27
Armidale Regional	IRN	44
Armidale Regional	IRQ	577
Armidale Regional	ITA	18
Armidale Regional	JPN	37
Armidale Regional	KOR	22
Armidale Regional	LBN	7
Armidale Regional	LKA	93
Armidale Regional	MLT	3
Armidale Regional	MMR	14
Armidale Regional	MUS	3
Armidale Regional	MYS	45
Armidale Regional	NLD	52
Armidale Regional	NPL	262
Armidale Regional	NZL	283
Armidale Regional	PAK	35
Armidale Regional	PHL	165
Armidale Regional	PNG	31
Armidale Regional	POL	10
Armidale Regional	SGP	13
Armidale Regional	THA	33
Armidale Regional	TUR	12
Armidale Regional	TWN	35
Armidale Regional	USA	153
Armidale Regional	VNM	79
Armidale Regional	WSM	8
Armidale Regional	ZAF	109
Armidale Regional	ZWE	37
Ballina		3286
Ballina	AUS	37700
Ballina	BGD	10
Ballina	BRA	94
Ballina	CAN	148
Ballina	CHL	40
Ballina	CHN	52
Ballina	DEU	184
Ballina	EGY	12
Ballina	FJI	35
Ballina	FRA	76
Ballina	GBR	1934
Ballina	GRC	8
Ballina	HKG	30
Ballina	HRV	11
Ballina	IDN	45
Ballina	IND	182
Ballina	IRL	80
Ballina	IRN	24
Ballina	IRQ	5
Ballina	ITA	104
Ballina	JPN	85
Ballina	KHM	10
Ballina	KOR	23
Ballina	LBN	3
Ballina	LKA	25
Ballina	MKD	5
Ballina	MLT	23
Ballina	MMR	4
Ballina	MUS	7
Ballina	MYS	64
Ballina	NLD	147
Ballina	NPL	35
Ballina	NZL	770
Ballina	PAK	5
Ballina	PHL	164
Ballina	PNG	70
Ballina	POL	20
Ballina	SGP	26
Ballina	THA	128
Ballina	TUR	5
Ballina	TWN	9
Ballina	USA	236
Ballina	VNM	44
Ballina	WSM	6
Ballina	ZAF	261
Ballina	ZWE	43
Balranald		321
Balranald	AUS	1718
Balranald	CHL	6
Balranald	CHN	6
Balranald	FJI	18
Balranald	GBR	17
Balranald	IDN	3
Balranald	IND	12
Balranald	ITA	16
Balranald	MYS	36
Balranald	NLD	4
Balranald	NPL	3
Balranald	NZL	7
Balranald	PHL	11
Balranald	THA	8
Balranald	TWN	5
Balranald	VNM	11
Bathurst Regional		2715
Bathurst Regional	AFG	20
Bathurst Regional	AUS	36910
Bathurst Regional	BGD	58
Bathurst Regional	BIH	3
Bathurst Regional	BRA	7
Bathurst Regional	CAN	59
Bathurst Regional	CHL	13
Bathurst Regional	CHN	98
Bathurst Regional	DEU	96
Bathurst Regional	EGY	21
Bathurst Regional	FJI	51
Bathurst Regional	FRA	26
Bathurst Regional	GBR	1027
Bathurst Regional	GRC	20
Bathurst Regional	HKG	17
Bathurst Regional	HRV	33
Bathurst Regional	IDN	37
Bathurst Regional	IND	358
Bathurst Regional	IRL	81
Bathurst Regional	IRN	31
Bathurst Regional	IRQ	17
Bathurst Regional	ITA	39
Bathurst Regional	JPN	32
Bathurst Regional	KHM	14
Bathurst Regional	KOR	32
Bathurst Regional	LBN	50
Bathurst Regional	LKA	92
Bathurst Regional	MKD	5
Bathurst Regional	MLT	21
Bathurst Regional	MUS	4
Bathurst Regional	MYS	48
Bathurst Regional	NLD	101
Bathurst Regional	NPL	176
Bathurst Regional	NZL	436
Bathurst Regional	PAK	60
Bathurst Regional	PHL	255
Bathurst Regional	PNG	24
Bathurst Regional	POL	16
Bathurst Regional	SGP	28
Bathurst Regional	THA	76
Bathurst Regional	TUR	4
Bathurst Regional	TWN	5
Bathurst Regional	USA	93
Bathurst Regional	VNM	82
Bathurst Regional	WSM	6
Bathurst Regional	ZAF	127
Bathurst Regional	ZWE	30
Bayside (NSW)		21468
Bayside (NSW)	AFG	63
Bayside (NSW)	AUS	81762
Bayside (NSW)	BGD	2498
Bayside (NSW)	BIH	333
Bayside (NSW)	BRA	2411
Bayside (NSW)	CAN	229
Bayside (NSW)	CHL	838
Bayside (NSW)	CHN	11831
Bayside (NSW)	DEU	403
Bayside (NSW)	EGY	1565
Bayside (NSW)	FJI	840
Bayside (NSW)	FRA	342
Bayside (NSW)	GBR	3581
Bayside (NSW)	GRC	3927
Bayside (NSW)	HKG	1905
Bayside (NSW)	HRV	514
Bayside (NSW)	IDN	4460
Bayside (NSW)	IND	2910
Bayside (NSW)	IRL	1747
Bayside (NSW)	IRN	417
Bayside (NSW)	IRQ	543
Bayside (NSW)	ITA	1626
Bayside (NSW)	JPN	530
Bayside (NSW)	KHM	144
Bayside (NSW)	KOR	645
Bayside (NSW)	LBN	3364
Bayside (NSW)	LKA	305
Bayside (NSW)	MKD	2915
Bayside (NSW)	MLT	430
Bayside (NSW)	MMR	137
Bayside (NSW)	MUS	177
Bayside (NSW)	MYS	1455
