LGA_NAME16	FamilyHousehold	IncomeHousehold.max	households
Bayside (NSW)	1	65625	2209
Bayside (NSW)	1	78750	2744
Bayside (NSW)	1	91875	2288
Bayside (NSW)	1	105000	2424
Bayside (NSW)	1	131250	5866
Bayside (NSW)	1	157500	4514
Bayside (NSW)	1	183750	4047
Bayside (NSW)	1	210000	2857
Bayside (NSW)	1	Inf	8313
Bega Valley	0		264
Bega Valley	0	0	154
Bega Valley	0	7875	76
Bega Valley	0	15750	191
Bega Valley	0	21000	345
Bega Valley	0	26250	1036
Bega Valley	0	34125	663
Bega Valley	0	42000	421
Bega Valley	0	52500	446
Bega Valley	0	65625	420
Bega Valley	0	78750	233
Bega Valley	0	91875	208
Bega Valley	0	105000	131
Bega Valley	0	131250	183
Bega Valley	0	157500	15
Bega Valley	0	183750	39
Bega Valley	0	210000	6
Bega Valley	0	Inf	68
Bega Valley	1		822
Bega Valley	1	0	115
Bega Valley	1	7875	70
Bega Valley	1	15750	52
Bega Valley	1	21000	69
Bega Valley	1	26250	223
Bega Valley	1	34125	241
Bega Valley	1	42000	876
Bega Valley	1	52500	739
Bega Valley	1	65625	888
Bega Valley	1	78750	1003
Bega Valley	1	91875	597
Bega Valley	1	105000	651
Bega Valley	1	131250	1182
Bega Valley	1	157500	774
Bega Valley	1	183750	528
Bega Valley	1	210000	295
Bega Valley	1	Inf	603
Bellingen	0		104
Bellingen	0	0	61
Bellingen	0	7875	20
Bellingen	0	15750	54
Bellingen	0	21000	157
Bellingen	0	26250	361
Bellingen	0	34125	223
Bellingen	0	42000	138
Bellingen	0	52500	173
Bellingen	0	65625	121
Bellingen	0	78750	79
Bellingen	0	91875	73
Bellingen	0	105000	46
Bellingen	0	131250	63
Bellingen	0	157500	7
Bellingen	0	183750	7
Bellingen	0	Inf	24
Bellingen	1		315
Bellingen	1	0	42
Bellingen	1	7875	26
Bellingen	1	15750	27
Bellingen	1	21000	28
Bellingen	1	26250	84
Bellingen	1	34125	86
Bellingen	1	42000	293
Bellingen	1	52500	256
Bellingen	1	65625	332
Bellingen	1	78750	343
Bellingen	1	91875	220
Bellingen	1	105000	232
Bellingen	1	131250	389
Bellingen	1	157500	288
