LGA_NAME16	CoupleFamily	HasChild	HasDependentStudent	HasNonDependentChild	families
Albury					223
Albury	0	0	0	1	833
Albury	0	0	1	0	219
Albury	0	0	1	1	78
Albury	0	1	0	0	1216
Albury	0	1	0	1	114
Albury	0	1	1	0	208
Albury	0	1	1	1	34
Albury	1	0	0	1	939
Albury	1	0	1	0	387
Albury	1	0	1	1	240
Albury	1	1	0	0	3269
Albury	1	1	0	1	160
Albury	1	1	1	0	547
Albury	1	1	1	1	103
Armidale Regional					100
Armidale Regional	0	0	0	1	371
Armidale Regional	0	0	1	0	113
Armidale Regional	0	0	1	1	32
Armidale Regional	0	1	0	0	506
Armidale Regional	0	1	0	1	35
Armidale Regional	0	1	1	0	95
Armidale Regional	0	1	1	1	27
Armidale Regional	1	0	0	1	369
Armidale Regional	1	0	1	0	193
Armidale Regional	1	0	1	1	90
Armidale Regional	1	1	0	0	1431
Armidale Regional	1	1	0	1	76
Armidale Regional	1	1	1	0	310
Armidale Regional	1	1	1	1	64
Ballina					160
Ballina	0	0	0	1	826
Ballina	0	0	1	0	199
Ballina	0	0	1	1	59
Ballina	0	1	0	0	807
Ballina	0	1	0	1	64
Ballina	0	1	1	0	149
Ballina	0	1	1	1	32
Ballina	1	0	0	1	947
Ballina	1	0	1	0	349
Ballina	1	0	1	1	173
Ballina	1	1	0	0	2468
Ballina	1	1	0	1	141
Ballina	1	1	1	0	426
Ballina	1	1	1	1	58
Balranald					5
Balranald	0	0	0	1	27
Balranald	0	0	1	0	3
Balranald	0	0	1	1	4
Balranald	0	1	0	0	28
Balranald	0	1	0	1	3
Balranald	0	1	1	0	4
Balranald	1	0	0	1	39
Balranald	1	0	1	0	13
Balranald	1	0	1	1	8
Balranald	1	1	0	0	109
Balranald	1	1	0	1	5
Balranald	1	1	1	0	22
Balranald	1	1	1	1	3
Bathurst Regional					168
Bathurst Regional	0	0	0	1	677
Bathurst Regional	0	0	1	0	170
Bathurst Regional	0	0	1	1	71
Bathurst Regional	0	1	0	0	871
Bathurst Regional	0	1	0	1	89
Bathurst Regional	0	1	1	0	165
Bathurst Regional	0	1	1	1	35
Bathurst Regional	1	0	0	1	754
Bathurst Regional	1	0	1	0	347
Bathurst Regional	1	0	1	1	203
Bathurst Regional	1	1	0	0	2449
Bathurst Regional	1	1	0	1	151
Bathurst Regional	1	1	1	0	454
Bathurst Regional	1	1	1	1	100
Bayside (NSW)					1227
Bayside (NSW)	0	0	0	1	3180
Bayside (NSW)	0	0	1	0	788
Bayside (NSW)	0	0	1	1	299
Bayside (NSW)	0	1	0	0	1990
Bayside (NSW)	0	1	0	1	168
Bayside (NSW)	0	1	1	0	352
Bayside (NSW)	0	1	1	1	58
Bayside (NSW)	1	0	0	1	3942
Bayside (NSW)	1	0	1	0	1617
Bayside (NSW)	1	0	1	1	1046
Bayside (NSW)	1	1	0	0	11138
Bayside (NSW)	1	1	0	1	359
Bayside (NSW)	1	1	1	0	1572
Bayside (NSW)	1	1	1	1	273
Bega Valley					90
Bega Valley	0	0	0	1	567
Bega Valley	0	0	1	0	115
Bega Valley	0	0	1	1	31
Bega Valley	0	1	0	0	545
Bega Valley	0	1	0	1	40
Bega Valley	0	1	1	0	92
Bega Valley	0	1	1	1	19
Bega Valley	1	0	0	1	633
Bega Valley	1	0	1	0	198
Bega Valley	1	0	1	1	97
Bega Valley	1	1	0	0	1636
Bega Valley	1	1	0	1	140
Bega Valley	1	1	1	0	327
Bega Valley	1	1	1	1	46
Bellingen					41
Bellingen	0	0	0	1	230
Bellingen	0	0	1	0	54
Bellingen	0	0	1	1	27
Bellingen	0	1	0	0	262
Bellingen	0	1	0	1	25
Bellingen	0	1	1	0	62
Bellingen	0	1	1	1	12
Bellingen	1	0	0	1	233
Bellingen	1	0	1	0	78
Bellingen	1	0	1	1	33
Bellingen	1	1	0	0	636
Bellingen	1	1	0	1	52
Bellingen	1	1	1	0	110
Bellingen	1	1	1	1	16
Berrigan					29
Berrigan	0	0	0	1	102
Berrigan	0	0	1	0	25
Berrigan	0	0	1	1	7
Berrigan	0	1	0	0	118
Berrigan	0	1	0	1	12
Berrigan	0	1	1	0	27
Berrigan	1	0	0	1	150
Berrigan	1	0	1	0	39
Berrigan	1	0	1	1	25
Berrigan	1	1	0	0	376
Berrigan	1	1	0	1	25
Berrigan	1	1	1	0	98
Berrigan	1	1	1	1	15
Blacktown					1719
Blacktown	0	0	0	1	6866
Blacktown	0	0	1	0	1330
Blacktown	0	0	1	1	799
Blacktown	0	1	0	0	6040
Blacktown	0	1	0	1	690
Blacktown	0	1	1	0	1142
Blacktown	0	1	1	1	374
Blacktown	1	0	0	1	9971
Blacktown	1	0	1	0	4347
Blacktown	1	0	1	1	3119
Blacktown	1	1	0	0	32737
Blacktown	1	1	0	1	1513
Blacktown	1	1	1	0	5757
Blacktown	1	1	1	1	1125
Bland					12
Bland	0	0	0	1	75
Bland	0	0	1	0	20
Bland	0	0	1	1	9
Bland	0	1	0	0	82
Bland	0	1	0	1	9
Bland	0	1	1	0	7
Bland	0	1	1	1	8
Bland	1	0	0	1	90
Bland	1	0	1	0	37
Bland	1	0	1	1	14
Bland	1	1	0	0	327
Bland	1	1	0	1	21
Bland	1	1	1	0	54
Bland	1	1	1	1	10
Blayney					35
Blayney	0	0	0	1	106
Blayney	0	0	1	0	25
Blayney	0	0	1	1	8
Blayney	0	1	0	0	127
Blayney	0	1	0	1	19
Blayney	0	1	1	0	21
Blayney	0	1	1	1	8
Blayney	1	0	0	1	164
Blayney	1	0	1	0	60
Blayney	1	0	1	1	33
Blayney	1	1	0	0	448
Blayney	1	1	0	1	26
Blayney	1	1	1	0	85
Blayney	1	1	1	1	21
Blue Mountains					213
Blue Mountains	0	0	0	1	1259
Blue Mountains	0	0	1	0	415
Blue Mountains	0	0	1	1	108
Blue Mountains	0	1	0	0	1161
Blue Mountains	0	1	0	1	88
Blue Mountains	0	1	1	0	228
Blue Mountains	0	1	1	1	39
Blue Mountains	1	0	0	1	1750
Blue Mountains	1	0	1	0	876
Blue Mountains	1	0	1	1	487
Blue Mountains	1	1	0	0	4676
Blue Mountains	1	1	0	1	225
Blue Mountains	1	1	1	0	1015
Blue Mountains	1	1	1	1	158
Bogan					20
Bogan	0	0	0	1	35
Bogan	0	0	1	0	5
Bogan	0	0	1	1	8
Bogan	0	1	0	0	38
Bogan	0	1	0	1	5
Bogan	0	1	1	0	3
Bogan	1	0	0	1	57
Bogan	1	0	1	0	18
Bogan	1	0	1	1	10
Bogan	1	1	0	0	136
Bogan	1	1	0	1	11
Bogan	1	1	1	0	37
Bogan	1	1	1	1	3
Bourke					16
Bourke	0	0	0	1	43
Bourke	0	1	0	0	52
Bourke	0	1	0	1	7
