LGA_NAME21	Age5yr	ChildrenEverBorn	females
Armidale Regional	65-69	3	210
Armidale Regional	65-69	4	76
Armidale Regional	65-69	5	20
Armidale Regional	65-69	6	13
Armidale Regional	70-74		76
Armidale Regional	70-74	0	74
Armidale Regional	70-74	1	57
Armidale Regional	70-74	2	227
Armidale Regional	70-74	3	183
Armidale Regional	70-74	4	73
Armidale Regional	70-74	5	16
Armidale Regional	70-74	6	6
Armidale Regional	75-79		79
Armidale Regional	75-79	0	68
Armidale Regional	75-79	1	45
Armidale Regional	75-79	2	160
Armidale Regional	75-79	3	154
Armidale Regional	75-79	4	77
Armidale Regional	75-79	5	27
Armidale Regional	75-79	6	18
Armidale Regional	80-84		69
Armidale Regional	80-84	0	31
Armidale Regional	80-84	1	12
Armidale Regional	80-84	2	87
Armidale Regional	80-84	3	101
Armidale Regional	80-84	4	70
Armidale Regional	80-84	5	17
Armidale Regional	80-84	6	35
Armidale Regional	85+		112
Armidale Regional	85+	0	18
Armidale Regional	85+	1	28
Armidale Regional	85+	2	45
Armidale Regional	85+	3	102
Armidale Regional	85+	4	72
Armidale Regional	85+	5	27
Armidale Regional	85+	6	48
Ballina	15-19		101
Ballina	15-19	0	1039
Ballina	15-19	1	4
Ballina	20-24		72
Ballina	20-24	0	765
Ballina	20-24	1	44
Ballina	20-24	2	18
Ballina	20-24	3	5
Ballina	25-29		87
Ballina	25-29	0	653
Ballina	25-29	1	141
Ballina	25-29	2	98
Ballina	25-29	3	31
Ballina	25-29	4	4
Ballina	25-29	6	6
Ballina	30-34		94
Ballina	30-34	0	476
Ballina	30-34	1	247
Ballina	30-34	2	300
Ballina	30-34	3	107
Ballina	30-34	4	24
Ballina	30-34	5	8
Ballina	30-34	6	3
Ballina	35-39		83
Ballina	35-39	0	268
Ballina	35-39	1	250
Ballina	35-39	2	477
Ballina	35-39	3	192
Ballina	35-39	4	46
Ballina	35-39	5	15
Ballina	35-39	6	10
Ballina	40-44		67
Ballina	40-44	0	239
Ballina	40-44	1	211
Ballina	40-44	2	534
Ballina	40-44	3	243
Ballina	40-44	4	63
Ballina	40-44	5	10
Ballina	40-44	6	9
Ballina	45-49		76
Ballina	45-49	0	213
Ballina	45-49	1	226
Ballina	45-49	2	577
Ballina	45-49	3	297
Ballina	45-49	4	102
Ballina	45-49	5	27
Ballina	45-49	6	23
Ballina	50-54		81
Ballina	50-54	0	255
Ballina	50-54	1	188
Ballina	50-54	2	572
Ballina	50-54	3	315
Ballina	50-54	4	134
Ballina	50-54	5	30
Ballina	50-54	6	18
Ballina	55-59		78
Ballina	55-59	0	256
Ballina	55-59	1	198
Ballina	55-59	2	580
Ballina	55-59	3	360
Ballina	55-59	4	109
Ballina	55-59	5	24
Ballina	55-59	6	17
Ballina	60-64		98
Ballina	60-64	0	250
Ballina	60-64	1	193
Ballina	60-64	2	640
Ballina	60-64	3	419
Ballina	60-64	4	145
Ballina	60-64	5	39
Ballina	60-64	6	14
Ballina	65-69		102
Ballina	65-69	0	210
Ballina	65-69	1	182
Ballina	65-69	2	664
Ballina	65-69	3	485
Ballina	65-69	4	176
Ballina	65-69	5	31
Ballina	65-69	6	18
Ballina	70-74		90
Ballina	70-74	0	188
Ballina	70-74	1	127
Ballina	70-74	2	602
Ballina	70-74	3	428
Ballina	70-74	4	178
Ballina	70-74	5	34
Ballina	70-74	6	18
Ballina	75-79		85
Ballina	75-79	0	104
Ballina	75-79	1	90
Ballina	75-79	2	392
Ballina	75-79	3	311
Ballina	75-79	4	140
Ballina	75-79	5	36
Ballina	75-79	6	36
Ballina	80-84		107
Ballina	80-84	0	65
Ballina	80-84	1	48
Ballina	80-84	2	237
Ballina	80-84	3	254
Ballina	80-84	4	140
Ballina	80-84	5	67
Ballina	80-84	6	23
Ballina	85+		195
Ballina	85+	0	77
Ballina	85+	1	68
Ballina	85+	2	246
Ballina	85+	3	263
Ballina	85+	4	153
Ballina	85+	5	64
Ballina	85+	6	70
Balranald	15-19		13
Balranald	15-19	0	48
Balranald	20-24		9
Balranald	20-24	0	27
Balranald	20-24	1	5
Balranald	25-29		9
Balranald	25-29	0	26
Balranald	25-29	1	9
Balranald	25-29	2	12
Balranald	25-29	3	3
Balranald	30-34		17
Balranald	30-34	0	22
Balranald	30-34	1	8
Balranald	30-34	2	19
Balranald	30-34	3	15
Balranald	30-34	4	7
Balranald	35-39		12
Balranald	35-39	2	10
Balranald	35-39	3	16
Balranald	35-39	4	9
Balranald	35-39	5	4
Balranald	40-44		9
Balranald	40-44	0	5
Balranald	40-44	1	5
Balranald	40-44	2	12
Balranald	40-44	3	14
Balranald	40-44	4	8
Balranald	45-49		13
Balranald	45-49	0	6
Balranald	45-49	1	3
Balranald	45-49	2	9
Balranald	45-49	3	22
Balranald	45-49	4	7
Balranald	50-54		10
Balranald	50-54	0	6
Balranald	50-54	1	9
Balranald	50-54	2	17
Balranald	50-54	3	17
Balranald	50-54	4	15
Balranald	50-54	5	3
Balranald	55-59		11
Balranald	55-59	0	8
Balranald	55-59	1	4
Balranald	55-59	2	23
Balranald	55-59	3	24
Balranald	55-59	4	11
Balranald	60-64		15
Balranald	60-64	0	4
Balranald	60-64	1	5
Balranald	60-64	2	23
Balranald	60-64	3	18
Balranald	60-64	4	5
Balranald	60-64	6	3
Balranald	65-69		15
Balranald	65-69	0	3
Balranald	65-69	1	4
Balranald	65-69	2	22
Balranald	65-69	3	18
Balranald	65-69	4	14
Balranald	65-69	5	3
Balranald	65-69	6	4
Balranald	70-74		10
Balranald	70-74	0	4
Balranald	70-74	1	5
Balranald	70-74	2	14
Balranald	70-74	3	13
Balranald	70-74	4	13
Balranald	70-74	6	5
Balranald	75-79		4
Balranald	75-79	1	3
Balranald	75-79	3	6
Balranald	75-79	4	3
Balranald	80-84		7
Balranald	80-84	1	3
Balranald	80-84	2	5
Balranald	80-84	3	8
Balranald	80-84	4	11
Balranald	80-84	6	3
Balranald	85+		3
Balranald	85+	1	3
Balranald	85+	3	3
Balranald	85+	4	4
Balranald	85+	5	3
Balranald	85+	6	6
Bathurst Regional	15-19		124
Bathurst Regional	15-19	0	1255
Bathurst Regional	15-19	1	8
Bathurst Regional	15-19	2	8
Bathurst Regional	20-24		115
Bathurst Regional	20-24	0	1092
Bathurst Regional	20-24	1	109
Bathurst Regional	20-24	2	38
Bathurst Regional	20-24	3	5
Bathurst Regional	20-24	4	4
Bathurst Regional	25-29		80
Bathurst Regional	25-29	0	753
Bathurst Regional	25-29	1	238
Bathurst Regional	25-29	2	164
Bathurst Regional	25-29	3	66
Bathurst Regional	25-29	4	20
Bathurst Regional	25-29	5	8
Bathurst Regional	25-29	6	8
Bathurst Regional	30-34		72
Bathurst Regional	30-34	0	426
Bathurst Regional	30-34	1	285
Bathurst Regional	30-34	2	375
Bathurst Regional	30-34	3	185
Bathurst Regional	30-34	4	47
Bathurst Regional	30-34	5	15
Bathurst Regional	30-34	6	11
Bathurst Regional	35-39		50
Bathurst Regional	35-39	0	223
Bathurst Regional	35-39	1	191
Bathurst Regional	35-39	2	437
