LGA_NAME21	AgeChild	CoupleFamily	ParentsBornAus	children
Albury	0-4	0		23
Albury	0-4	0	Both	554
Albury	0-4	0	Father only	9
Albury	0-4	0	Mother only	30
Albury	0-4	0	Neither	27
Albury	0-4	1		9
Albury	0-4	1	Both	1997
Albury	0-4	1	Father only	144
Albury	0-4	1	Mother only	142
Albury	0-4	1	Neither	364
Albury	5-9	0		23
Albury	5-9	0	Both	694
Albury	5-9	0	Father only	23
Albury	5-9	0	Mother only	42
Albury	5-9	0	Neither	44
Albury	5-9	1		6
Albury	5-9	1	Both	1944
Albury	5-9	1	Father only	140
Albury	5-9	1	Mother only	138
Albury	5-9	1	Neither	325
Albury	10-12	0		19
Albury	10-12	0	Both	422
Albury	10-12	0	Father only	19
Albury	10-12	0	Mother only	31
Albury	10-12	0	Neither	30
Albury	10-12	1	Both	1059
Albury	10-12	1	Father only	60
Albury	10-12	1	Mother only	87
Albury	10-12	1	Neither	159
Albury	13-14	0		10
Albury	13-14	0	Both	325
Albury	13-14	0	Father only	18
Albury	13-14	0	Mother only	18
Albury	13-14	0	Neither	20
Albury	13-14	1		4
Albury	13-14	1	Both	694
Albury	13-14	1	Father only	48
Albury	13-14	1	Mother only	56
Albury	13-14	1	Neither	80
Albury	15-17	0	Both	377
Albury	15-17	0	Father only	18
Albury	15-17	0	Mother only	34
Albury	15-17	0	Neither	27
Albury	15-17	1		4
Albury	15-17	1	Both	848
Albury	15-17	1	Father only	54
Albury	15-17	1	Mother only	71
Albury	15-17	1	Neither	108
Albury	18-20	0	Both	76
Albury	18-20	0	Mother only	12
Albury	18-20	0	Neither	14
Albury	18-20	1	Both	223
Albury	18-20	1	Father only	20
Albury	18-20	1	Mother only	13
Albury	18-20	1	Neither	52
Albury	21-24	0	Both	21
Albury	21-24	0	Neither	5
Albury	21-24	1	Both	81
Albury	21-24	1	Father only	6
Albury	21-24	1	Mother only	4
Albury	21-24	1	Neither	8
Armidale Regional	0-4	0		8
Armidale Regional	0-4	0	Both	247
Armidale Regional	0-4	0	Father only	9
Armidale Regional	0-4	0	Mother only	17
Armidale Regional	0-4	0	Neither	8
Armidale Regional	0-4	1		3
Armidale Regional	0-4	1	Both	756
Armidale Regional	0-4	1	Father only	75
Armidale Regional	0-4	1	Mother only	56
Armidale Regional	0-4	1	Neither	217
Armidale Regional	5-9	0		13
Armidale Regional	5-9	0	Both	284
Armidale Regional	5-9	0	Father only	14
Armidale Regional	5-9	0	Mother only	37
Armidale Regional	5-9	0	Neither	41
Armidale Regional	5-9	1		11
Armidale Regional	5-9	1	Both	817
Armidale Regional	5-9	1	Father only	85
Armidale Regional	5-9	1	Mother only	67
Armidale Regional	5-9	1	Neither	235
Armidale Regional	10-12	0		7
Armidale Regional	10-12	0	Both	188
Armidale Regional	10-12	0	Father only	6
Armidale Regional	10-12	0	Mother only	25
Armidale Regional	10-12	0	Neither	33
Armidale Regional	10-12	1		3
Armidale Regional	10-12	1	Both	475
Armidale Regional	10-12	1	Father only	43
Armidale Regional	10-12	1	Mother only	34
Armidale Regional	10-12	1	Neither	145
Armidale Regional	13-14	0		7
Armidale Regional	13-14	0	Both	133
Armidale Regional	13-14	0	Father only	9
Armidale Regional	13-14	0	Mother only	21
Armidale Regional	13-14	0	Neither	20
Armidale Regional	13-14	1	Both	364
Armidale Regional	13-14	1	Father only	28
Armidale Regional	13-14	1	Mother only	30
Armidale Regional	13-14	1	Neither	57
Armidale Regional	15-17	0	Both	174
Armidale Regional	15-17	0	Father only	18
Armidale Regional	15-17	0	Mother only	20
Armidale Regional	15-17	0	Neither	20
Armidale Regional	15-17	1	Both	435
Armidale Regional	15-17	1	Father only	34
Armidale Regional	15-17	1	Mother only	37
Armidale Regional	15-17	1	Neither	98
Armidale Regional	18-20	0	Both	21
Armidale Regional	18-20	0	Mother only	7
Armidale Regional	18-20	0	Neither	12
Armidale Regional	18-20	1	Both	74
Armidale Regional	18-20	1	Father only	8
Armidale Regional	18-20	1	Mother only	7
Armidale Regional	18-20	1	Neither	43
Armidale Regional	21-24	0	Both	7
Armidale Regional	21-24	0	Father only	3
Armidale Regional	21-24	0	Mother only	6
Armidale Regional	21-24	0	Neither	7
Armidale Regional	21-24	1	Both	28
Armidale Regional	21-24	1	Father only	3
Armidale Regional	21-24	1	Neither	25
Ballina	0-4	0		5
Ballina	0-4	0	Both	217
Ballina	0-4	0	Father only	16
Ballina	0-4	0	Mother only	32
Ballina	0-4	0	Neither	12
Ballina	0-4	1		5
Ballina	0-4	1	Both	1244
Ballina	0-4	1	Father only	213
Ballina	0-4	1	Mother only	196
Ballina	0-4	1	Neither	132
Ballina	5-9	0		10
Ballina	5-9	0	Both	346
Ballina	5-9	0	Father only	40
Ballina	5-9	0	Mother only	49
Ballina	5-9	0	Neither	24
Ballina	5-9	1		17
Ballina	5-9	1	Both	1309
Ballina	5-9	1	Father only	251
Ballina	5-9	1	Mother only	176
Ballina	5-9	1	Neither	127
Ballina	10-12	0		11
Ballina	10-12	0	Both	305
Ballina	10-12	0	Father only	38
Ballina	10-12	0	Mother only	45
Ballina	10-12	0	Neither	14
Ballina	10-12	1		11
Ballina	10-12	1	Both	861
Ballina	10-12	1	Father only	126
Ballina	10-12	1	Mother only	106
Ballina	10-12	1	Neither	75
Ballina	13-14	0	Both	215
Ballina	13-14	0	Father only	29
Ballina	13-14	0	Mother only	40
Ballina	13-14	0	Neither	17
Ballina	13-14	1		7
Ballina	13-14	1	Both	546
Ballina	13-14	1	Father only	76
Ballina	13-14	1	Mother only	67
Ballina	13-14	1	Neither	54
Ballina	15-17	0		6
Ballina	15-17	0	Both	241
Ballina	15-17	0	Father only	21
Ballina	15-17	0	Mother only	53
Ballina	15-17	0	Neither	24
Ballina	15-17	1		3
Ballina	15-17	1	Both	660
Ballina	15-17	1	Father only	75
Ballina	15-17	1	Mother only	84
Ballina	15-17	1	Neither	74
Ballina	18-20	0	Both	59
Ballina	18-20	0	Father only	4
Ballina	18-20	0	Mother only	13
Ballina	18-20	0	Neither	10
Ballina	18-20	1	Both	173
Ballina	18-20	1	Father only	20
Ballina	18-20	1	Mother only	19
Ballina	18-20	1	Neither	18
Ballina	21-24	0	Both	23
Ballina	21-24	1	Both	56
