LGA_NAME21	Age	HoursHousekeeping	Sex	adults
Albury	15-19		F	109
Albury	15-19		M	127
Albury	15-19	0	F	585
Albury	15-19	0	M	699
Albury	15-19	<5	F	749
Albury	15-19	<5	M	715
Albury	15-19	5-14	F	199
Albury	15-19	5-14	M	111
Albury	15-19	15-29	F	29
Albury	15-19	15-29	M	11
Albury	15-19	30+	F	7
Albury	15-19	30+	M	10
Albury	20-24		F	110
Albury	20-24		M	118
Albury	20-24	0	F	446
Albury	20-24	0	M	673
Albury	20-24	<5	F	510
Albury	20-24	<5	M	549
Albury	20-24	5-14	F	497
Albury	20-24	5-14	M	286
Albury	20-24	15-29	F	131
Albury	20-24	15-29	M	45
Albury	20-24	30+	F	73
Albury	20-24	30+	M	17
Albury	25-34		F	223
Albury	25-34		M	251
Albury	25-34	0	F	657
Albury	25-34	0	M	1021
Albury	25-34	<5	F	572
Albury	25-34	<5	M	959
Albury	25-34	5-14	F	1195
Albury	25-34	5-14	M	1038
Albury	25-34	15-29	F	546
Albury	25-34	15-29	M	222
Albury	25-34	30+	F	525
Albury	25-34	30+	M	95
Albury	35-44		F	203
Albury	35-44		M	228
Albury	35-44	0	F	400
Albury	35-44	0	M	669
Albury	35-44	<5	F	362
Albury	35-44	<5	M	831
Albury	35-44	5-14	F	1134
Albury	35-44	5-14	M	1149
Albury	35-44	15-29	F	775
Albury	35-44	15-29	M	322
Albury	35-44	30+	F	677
Albury	35-44	30+	M	124
Albury	45-54		F	166
Albury	45-54		M	226
Albury	45-54	0	F	482
Albury	45-54	0	M	656
Albury	45-54	<5	F	400
Albury	45-54	<5	M	885
Albury	45-54	5-14	F	1304
Albury	45-54	5-14	M	1049
Albury	45-54	15-29	F	744
Albury	45-54	15-29	M	299
Albury	45-54	30+	F	393
Albury	45-54	30+	M	117
Albury	55-64		F	183
Albury	55-64		M	177
Albury	55-64	0	F	650
Albury	55-64	0	M	778
Albury	55-64	<5	F	421
Albury	55-64	<5	M	850
