LGA_NAME16	CoupleFamily	HasChild	IncomeFamily.max	families
Albury				3
Albury			7875	3
Albury			21000	4
Albury			26250	7
Albury			34125	12
Albury			42000	15
Albury			52500	33
Albury			65625	22
Albury			78750	27
Albury			91875	18
Albury			105000	13
Albury			131250	30
Albury			157500	8
Albury			183750	7
Albury			210000	7
Albury			Inf	5
Albury	0			214
Albury	0		0	35
Albury	0		7875	10
Albury	0		15750	33
Albury	0		21000	58
Albury	0		26250	128
Albury	0		34125	264
Albury	0		42000	274
Albury	0		52500	305
Albury	0		65625	361
Albury	0		78750	260
Albury	0		91875	195
Albury	0		105000	155
Albury	0		131250	238
Albury	0		157500	82
Albury	0		183750	41
Albury	0		210000	17
Albury	0		Inf	41
Albury	1	0		819
Albury	1	0	0	82
Albury	1	0	7875	35
Albury	1	0	15750	28
Albury	1	0	21000	12
Albury	1	0	26250	127
Albury	1	0	34125	104
Albury	1	0	42000	653
Albury	1	0	52500	560
Albury	1	0	65625	675
Albury	1	0	78750	946
Albury	1	0	91875	737
Albury	1	0	105000	826
Albury	1	0	131250	1799
Albury	1	0	157500	1341
Albury	1	0	183750	1020
Albury	1	0	210000	597
Albury	1	0	Inf	1205
Albury	1	1	15750	7
Albury	1	1	21000	4
Albury	1	1	26250	10
Albury	1	1	34125	23
Albury	1	1	42000	65
Armidale Regional			26250	3
Armidale Regional			34125	3
Armidale Regional			42000	10
Armidale Regional			52500	13
Armidale Regional			65625	11
Armidale Regional			78750	18
Armidale Regional			91875	15
Armidale Regional			105000	4
Armidale Regional			131250	8
Armidale Regional			157500	6
Armidale Regional			183750	4
Armidale Regional			Inf	3
Armidale Regional	0			96
Armidale Regional	0		0	20
Armidale Regional	0		7875	9
Armidale Regional	0		15750	24
Armidale Regional	0		21000	31
Armidale Regional	0		26250	56
Armidale Regional	0		34125	105
Armidale Regional	0		42000	118
Armidale Regional	0		52500	157
Armidale Regional	0		65625	146
Armidale Regional	0		78750	109
Armidale Regional	0		91875	70
Armidale Regional	0		105000	69
Armidale Regional	0		131250	99
Armidale Regional	0		157500	28
Armidale Regional	0		183750	13
Armidale Regional	0		210000	5
Armidale Regional	0		Inf	24
Armidale Regional	1	0		385
Armidale Regional	1	0	0	61
Armidale Regional	1	0	7875	20
Armidale Regional	1	0	15750	14
Armidale Regional	1	0	21000	12
Armidale Regional	1	0	26250	63
Armidale Regional	1	0	34125	41
Armidale Regional	1	0	42000	334
Armidale Regional	1	0	52500	280
Armidale Regional	1	0	65625	351
Armidale Regional	1	0	78750	474
Armidale Regional	1	0	91875	358
Armidale Regional	1	0	105000	406
Armidale Regional	1	0	131250	778
Armidale Regional	1	0	157500	571
Armidale Regional	1	0	183750	421
Armidale Regional	1	0	210000	287
Armidale Regional	1	0	Inf	653
Armidale Regional	1	1	7875	5
Armidale Regional	1	1	21000	6
Armidale Regional	1	1	26250	18
Armidale Regional	1	1	34125	28
Armidale Regional	1	1	42000	45
Ballina			21000	4
Ballina			26250	7
Ballina			42000	11
Ballina			52500	22
Ballina			65625	24
Ballina			78750	18
Ballina			91875	5
Ballina			105000	14
Ballina			131250	18
Ballina			157500	9
Ballina			183750	10
Ballina			Inf	9
Ballina	0			197
Ballina	0		0	19
Ballina	0		7875	13
Ballina	0		15750	19
Ballina	0		21000	23
Ballina	0		26250	77
Ballina	0		34125	139
Ballina	0		42000	177
Ballina	0		52500	272
Ballina	0		65625	291
Ballina	0		78750	225
Ballina	0		91875	170
Ballina	0		105000	139
Ballina	0		131250	197
Ballina	0		157500	69
Ballina	0		183750	40
Ballina	0		210000	15
Ballina	0		Inf	56
Ballina	1	0		713
Ballina	1	0	0	87
Ballina	1	0	7875	57
Ballina	1	0	15750	24
Ballina	1	0	21000	26
Ballina	1	0	26250	146
Ballina	1	0	34125	93
Ballina	1	0	42000	695
Ballina	1	0	52500	595
Ballina	1	0	65625	737
Ballina	1	0	78750	911
Ballina	1	0	91875	624
Ballina	1	0	105000	681
Ballina	1	0	131250	1459
Ballina	1	0	157500	1042
Ballina	1	0	183750	806
Ballina	1	0	210000	474
Ballina	1	0	Inf	1207
Ballina	1	1	7875	3
Ballina	1	1	15750	4
Ballina	1	1	21000	6
Ballina	1	1	26250	9
Ballina	1	1	34125	13
Ballina	1	1	42000	43
Balranald	0			10
Balranald	0		21000	7
Balranald	0		26250	6
Balranald	0		34125	11
Balranald	0		52500	12
Balranald	0		65625	7
Balranald	0		78750	6
Balranald	0		91875	3
Balranald	0		105000	10
Balranald	0		131250	11
Balranald	1	0		43
Balranald	1	0	0	9
Balranald	1	0	26250	5
Balranald	1	0	34125	7
Balranald	1	0	42000	29
Balranald	1	0	52500	18
Balranald	1	0	65625	37
Balranald	1	0	78750	23
Balranald	1	0	91875	27
Balranald	1	0	105000	35
Balranald	1	0	131250	63
Balranald	1	0	157500	45
Balranald	1	0	183750	22
Balranald	1	0	210000	13
Balranald	1	0	Inf	28
Balranald	1	1	34125	4
Balranald	1	1	42000	5
Bathurst Regional				3
Bathurst Regional			26250	3
Bathurst Regional			42000	10
Bathurst Regional			52500	14
Bathurst Regional			65625	18
Bathurst Regional			78750	24
Bathurst Regional			91875	17
Bathurst Regional			105000	13
Bathurst Regional			131250	23
Bathurst Regional			157500	11
Bathurst Regional			183750	6
Bathurst Regional			Inf	3
Bathurst Regional	0			203
Bathurst Regional	0		0	22
Bathurst Regional	0		7875	10
Bathurst Regional	0		15750	21
Bathurst Regional	0		21000	41
Bathurst Regional	0		26250	63
Bathurst Regional	0		34125	141
Bathurst Regional	0		42000	169
Bathurst Regional	0		52500	257
Bathurst Regional	0		65625	258
Bathurst Regional	0		78750	206
Bathurst Regional	0		91875	146
Bathurst Regional	0		105000	130
Bathurst Regional	0		131250	225
Bathurst Regional	0		157500	91
Bathurst Regional	0		183750	48
Bathurst Regional	0		210000	15
Bathurst Regional	0		Inf	33
