LGA_NAME21	EduInstitutionType	Sex	students
Albury		F	1833
Albury		M	1811
Albury	Infants/Primary	F	2244
Albury	Infants/Primary	M	2340
Albury	Pre-school	F	606
Albury	Pre-school	M	644
Albury	Secondary	F	1773
Albury	Secondary	M	1695
Albury	Technical or Further Educational Institution	F	983
Albury	Technical or Further Educational Institution	M	794
Albury	University or other tertiary	F	1131
Albury	University or other tertiary	M	535
Armidale Regional		F	1636
Armidale Regional		M	1423
Armidale Regional	Infants/Primary	F	1106
Armidale Regional	Infants/Primary	M	1111
Armidale Regional	Pre-school	F	256
Armidale Regional	Pre-school	M	310
Armidale Regional	Secondary	F	1078
Armidale Regional	Secondary	M	973
Armidale Regional	Technical or Further Educational Institution	F	449
Armidale Regional	Technical or Further Educational Institution	M	370
Armidale Regional	University or other tertiary	F	1263
Armidale Regional	University or other tertiary	M	858
Ballina		F	1492
Ballina		M	1370
Ballina	Infants/Primary	F	1639
Ballina	Infants/Primary	M	1813
Ballina	Pre-school	F	405
Ballina	Pre-school	M	458
Ballina	Secondary	F	1317
Ballina	Secondary	M	1440
Ballina	Technical or Further Educational Institution	F	572
Ballina	Technical or Further Educational Institution	M	495
Ballina	University or other tertiary	F	797
Ballina	University or other tertiary	M	395
Balranald		F	156
Balranald		M	156
Balranald	Infants/Primary	F	70
Balranald	Infants/Primary	M	99
Balranald	Pre-school	F	21
Balranald	Pre-school	M	17
Balranald	Secondary	F	77
Balranald	Secondary	M	67
Balranald	Technical or Further Educational Institution	F	9
Balranald	Technical or Further Educational Institution	M	10
Balranald	University or other tertiary	F	27
Balranald	University or other tertiary	M	9
Bathurst Regional		F	1216
Bathurst Regional		M	2131
Bathurst Regional	Infants/Primary	F	1738
Bathurst Regional	Infants/Primary	M	1901
Bathurst Regional	Pre-school	F	465
Bathurst Regional	Pre-school	M	496
Bathurst Regional	Secondary	F	1571
Bathurst Regional	Secondary	M	1588
Bathurst Regional	Technical or Further Educational Institution	F	666
Bathurst Regional	Technical or Further Educational Institution	M	493
Bathurst Regional	University or other tertiary	F	1024
Bathurst Regional	University or other tertiary	M	589
Bayside (NSW)		F	6777
Bayside (NSW)		M	6938
Bayside (NSW)	Infants/Primary	F	5301
Bayside (NSW)	Infants/Primary	M	5541
Bayside (NSW)	Pre-school	F	1515
Bayside (NSW)	Pre-school	M	1659
Bayside (NSW)	Secondary	F	4175
Bayside (NSW)	Secondary	M	4366
Bayside (NSW)	Technical or Further Educational Institution	F	3296
Bayside (NSW)	Technical or Further Educational Institution	M	3032
Bayside (NSW)	University or other tertiary	F	5871
Bayside (NSW)	University or other tertiary	M	5347
Bega Valley		F	1333
Bega Valley		M	1313
Bega Valley	Infants/Primary	F	1187
Bega Valley	Infants/Primary	M	1260
Bega Valley	Pre-school	F	273
Bega Valley	Pre-school	M	283
Bega Valley	Secondary	F	947
Bega Valley	Secondary	M	990
Bega Valley	Technical or Further Educational Institution	F	401
Bega Valley	Technical or Further Educational Institution	M	329
Bega Valley	University or other tertiary	F	427
Bega Valley	University or other tertiary	M	145
Bellingen		F	566
Bellingen		M	528
Bellingen	Infants/Primary	F	507
Bellingen	Infants/Primary	M	551
Bellingen	Pre-school	F	101
Bellingen	Pre-school	M	105
Bellingen	Secondary	F	414
Bellingen	Secondary	M	408
Bellingen	Technical or Further Educational Institution	F	184
Bellingen	Technical or Further Educational Institution	M	140
Bellingen	University or other tertiary	F	227
Bellingen	University or other tertiary	M	60
Berrigan		F	453
Berrigan		M	416
Berrigan	Infants/Primary	F	317
Berrigan	Infants/Primary	M	277
Berrigan	Pre-school	F	62
Berrigan	Pre-school	M	76
Berrigan	Secondary	F	254
Berrigan	Secondary	M	242
Berrigan	Technical or Further Educational Institution	F	96
Berrigan	Technical or Further Educational Institution	M	61
Berrigan	University or other tertiary	F	79
Berrigan	University or other tertiary	M	18
Blacktown		F	13074
Blacktown		M	14409
Blacktown	Infants/Primary	F	19441
Blacktown	Infants/Primary	M	20243
Blacktown	Pre-school	F	4387
Blacktown	Pre-school	M	4797
Blacktown	Secondary	F	13786
Blacktown	Secondary	M	14398
Blacktown	Technical or Further Educational Institution	F	5705
Blacktown	Technical or Further Educational Institution	M	4595
Blacktown	University or other tertiary	F	10439
Blacktown	University or other tertiary	M	8080
Bland		F	259
Bland		M	270
Bland	Infants/Primary	F	235
Bland	Infants/Primary	M	240
Bland	Pre-school	F	53
Bland	Pre-school	M	59
Bland	Secondary	F	154
Bland	Secondary	M	149
Bland	Technical or Further Educational Institution	F	70
Bland	Technical or Further Educational Institution	M	36
Bland	University or other tertiary	F	63
Bland	University or other tertiary	M	18
Blayney		F	266
Blayney		M	260
Blayney	Infants/Primary	F	353
Blayney	Infants/Primary	M	347
Blayney	Pre-school	F	90
Blayney	Pre-school	M	91
Blayney	Secondary	F	259
Blayney	Secondary	M	281
Blayney	Technical or Further Educational Institution	F	109
Blayney	Technical or Further Educational Institution	M	87
Blayney	University or other tertiary	F	118
Blayney	University or other tertiary	M	41
Blue Mountains		F	1679
Blue Mountains		M	1462
Blue Mountains	Infants/Primary	F	3098
Blue Mountains	Infants/Primary	M	3250
Blue Mountains	Pre-school	F	793
Blue Mountains	Pre-school	M	841
Blue Mountains	Secondary	F	2652
Blue Mountains	Secondary	M	2792
Blue Mountains	Technical or Further Educational Institution	F	1105
Blue Mountains	Technical or Further Educational Institution	M	922
Blue Mountains	University or other tertiary	F	2005
Blue Mountains	University or other tertiary	M	1272
Bogan		F	107
Bogan		M	110
Bogan	Infants/Primary	F	105
Bogan	Infants/Primary	M	103
Bogan	Pre-school	F	29
Bogan	Pre-school	M	35
Bogan	Secondary	F	79
Bogan	Secondary	M	69
Bogan	Technical or Further Educational Institution	F	31
Bogan	Technical or Further Educational Institution	M	25
Bogan	University or other tertiary	F	25
Bogan	University or other tertiary	M	7
Bourke		F	237
Bourke		M	231
Bourke	Infants/Primary	F	102
Bourke	Infants/Primary	M	94
Bourke	Pre-school	F	13
Bourke	Pre-school	M	31
Bourke	Secondary	F	46
Bourke	Secondary	M	45
Bourke	Technical or Further Educational Institution	F	18
Bourke	Technical or Further Educational Institution	M	16
Bourke	University or other tertiary	F	21
Bourke	University or other tertiary	M	10
Brewarrina		F	110
Brewarrina		M	102
Brewarrina	Infants/Primary	F	53
Brewarrina	Infants/Primary	M	61
Brewarrina	Pre-school	F	9
Brewarrina	Pre-school	M	17
Brewarrina	Secondary	F	34
Brewarrina	Secondary	M	42
Brewarrina	Technical or Further Educational Institution	F	10
Brewarrina	Technical or Further Educational Institution	M	4
Brewarrina	University or other tertiary	F	9
Broken Hill		F	865
Broken Hill		M	810
Broken Hill	Infants/Primary	F	620
Broken Hill	Infants/Primary	M	636
Broken Hill	Pre-school	F	156
Broken Hill	Pre-school	M	168
Broken Hill	Secondary	F	462
Broken Hill	Secondary	M	436
Broken Hill	Technical or Further Educational Institution	F	249
Broken Hill	Technical or Further Educational Institution	M	179
Broken Hill	University or other tertiary	F	218
Broken Hill	University or other tertiary	M	92
Burwood		F	1795
Burwood		M	1675
Burwood	Infants/Primary	F	1086
Burwood	Infants/Primary	M	1008
Burwood	Pre-school	F	260
Burwood	Pre-school	M	251
Burwood	Secondary	F	1095
Burwood	Secondary	M	937
Burwood	Technical or Further Educational Institution	F	804
Burwood	Technical or Further Educational Institution	M	811
Burwood	University or other tertiary	F	2154
Burwood	University or other tertiary	M	2016
Byron		F	2089
Byron		M	1919
Byron	Infants/Primary	F	1222
Byron	Infants/Primary	M	1221
Byron	Pre-school	F	298
Byron	Pre-school	M	302
Byron	Secondary	F	964
Byron	Secondary	M	982
Byron	Technical or Further Educational Institution	F	588
Byron	Technical or Further Educational Institution	M	407
Byron	University or other tertiary	F	696
Byron	University or other tertiary	M	316
Cabonne		F	563
Cabonne		M	533
Cabonne	Infants/Primary	F	625
Cabonne	Infants/Primary	M	665
Cabonne	Pre-school	F	137
Cabonne	Pre-school	M	139
Cabonne	Secondary	F	510
Cabonne	Secondary	M	520
Cabonne	Technical or Further Educational Institution	F	137
Cabonne	Technical or Further Educational Institution	M	146
Cabonne	University or other tertiary	F	183
Cabonne	University or other tertiary	M	88
Camden		F	2594
Camden		M	2349
Camden	Infants/Primary	F	6371
Camden	Infants/Primary	M	6391
Camden	Pre-school	F	1791
Camden	Pre-school	M	1992
Camden	Secondary	F	4269
Camden	Secondary	M	4436
Camden	Technical or Further Educational Institution	F	1554
Camden	Technical or Further Educational Institution	M	1444
Camden	University or other tertiary	F	2853
Camden	University or other tertiary	M	1621
Campbelltown (NSW)		F	6324
Campbelltown (NSW)		M	5808
Campbelltown (NSW)	Infants/Primary	F	8177
Campbelltown (NSW)	Infants/Primary	M	8486
Campbelltown (NSW)	Pre-school	F	1814
Campbelltown (NSW)	Pre-school	M	2044
Campbelltown (NSW)	Secondary	F	6049
Campbelltown (NSW)	Secondary	M	6215
Campbelltown (NSW)	Technical or Further Educational Institution	F	2395
Campbelltown (NSW)	Technical or Further Educational Institution	M	1915
Campbelltown (NSW)	University or other tertiary	F	4079
Campbelltown (NSW)	University or other tertiary	M	2906
Canada Bay		F	2537
Canada Bay		M	2293
Canada Bay	Infants/Primary	F	3053
Canada Bay	Infants/Primary	M	3076
Canada Bay	Pre-school	F	812
Canada Bay	Pre-school	M	918
Canada Bay	Secondary	F	2528
Canada Bay	Secondary	M	2508
Canada Bay	Technical or Further Educational Institution	F	1171
Canada Bay	Technical or Further Educational Institution	M	925
Canada Bay	University or other tertiary	F	2914
Canada Bay	University or other tertiary	M	2482
Canterbury-Bankstown		F	15052
Canterbury-Bankstown		M	15967
Canterbury-Bankstown	Infants/Primary	F	14983
Canterbury-Bankstown	Infants/Primary	M	15998
Canterbury-Bankstown	Pre-school	F	3457
Canterbury-Bankstown	Pre-school	M	3840
Canterbury-Bankstown	Secondary	F	12549
Canterbury-Bankstown	Secondary	M	12997
Canterbury-Bankstown	Technical or Further Educational Institution	F	4931
Canterbury-Bankstown	Technical or Further Educational Institution	M	4835
Canterbury-Bankstown	University or other tertiary	F	10272
Canterbury-Bankstown	University or other tertiary	M	9334
Carrathool		F	169
Carrathool		M	188
Carrathool	Infants/Primary	F	122
Carrathool	Infants/Primary	M	115
Carrathool	Pre-school	F	34
Carrathool	Pre-school	M	24
Carrathool	Secondary	F	65
Carrathool	Secondary	M	73
Carrathool	Technical or Further Educational Institution	F	36
Carrathool	Technical or Further Educational Institution	M	16
Carrathool	University or other tertiary	F	29
Carrathool	University or other tertiary	M	6
Central Coast (NSW)		F	11022
Central Coast (NSW)		M	9672
Central Coast (NSW)	Infants/Primary	F	13355
Central Coast (NSW)	Infants/Primary	M	14424
Central Coast (NSW)	Pre-school	F	3844
Central Coast (NSW)	Pre-school	M	4254
Central Coast (NSW)	Secondary	F	10845
Central Coast (NSW)	Secondary	M	11079
Central Coast (NSW)	Technical or Further Educational Institution	F	4852
Central Coast (NSW)	Technical or Further Educational Institution	M	4025
Central Coast (NSW)	University or other tertiary	F	6838
Central Coast (NSW)	University or other tertiary	M	3972
Central Darling		F	200
Central Darling		M	195
Central Darling	Infants/Primary	F	37
Central Darling	Infants/Primary	M	50
Central Darling	Pre-school	F	13
Central Darling	Pre-school	M	17
Central Darling	Secondary	F	40
Central Darling	Secondary	M	29
Central Darling	Technical or Further Educational Institution	F	12
Central Darling	Technical or Further Educational Institution	M	6
Central Darling	University or other tertiary	F	9
Cessnock		F	1750
Cessnock		M	3257
Cessnock	Infants/Primary	F	2691
Cessnock	Infants/Primary	M	2819
Cessnock	Pre-school	F	743
Cessnock	Pre-school	M	840
Cessnock	Secondary	F	1934
Cessnock	Secondary	M	1961
Cessnock	Technical or Further Educational Institution	F	999
Cessnock	Technical or Further Educational Institution	M	715
Cessnock	University or other tertiary	F	959
Cessnock	University or other tertiary	M	397
Clarence Valley		F	2119
Clarence Valley		M	2940
Clarence Valley	Infants/Primary	F	1812
Clarence Valley	Infants/Primary	M	1983
Clarence Valley	Pre-school	F	454
Clarence Valley	Pre-school	M	487
Clarence Valley	Secondary	F	1471
Clarence Valley	Secondary	M	1542
Clarence Valley	Technical or Further Educational Institution	F	668
Clarence Valley	Technical or Further Educational Institution	M	451
Clarence Valley	University or other tertiary	F	565
Clarence Valley	University or other tertiary	M	227
Cobar		F	313
Cobar		M	315
Cobar	Infants/Primary	F	179
Cobar	Infants/Primary	M	142
Cobar	Pre-school	F	28
Cobar	Pre-school	M	46
Cobar	Secondary	F	97
Cobar	Secondary	M	104
Cobar	Technical or Further Educational Institution	F	47
Cobar	Technical or Further Educational Institution	M	49
Cobar	University or other tertiary	F	42
Cobar	University or other tertiary	M	15
Coffs Harbour		F	2800
Coffs Harbour		M	2563
Coffs Harbour	Infants/Primary	F	3124
Coffs Harbour	Infants/Primary	M	3255
Coffs Harbour	Pre-school	F	795
Coffs Harbour	Pre-school	M	833
Coffs Harbour	Secondary	F	2488
Coffs Harbour	Secondary	M	2447
Coffs Harbour	Technical or Further Educational Institution	F	1256
Coffs Harbour	Technical or Further Educational Institution	M	1007
Coffs Harbour	University or other tertiary	F	1268
Coffs Harbour	University or other tertiary	M	617
Coolamon		F	160
Coolamon		M	151
Coolamon	Infants/Primary	F	208
Coolamon	Infants/Primary	M	181
Coolamon	Pre-school	F	44
Coolamon	Pre-school	M	62
Coolamon	Secondary	F	161
Coolamon	Secondary	M	146
Coolamon	Technical or Further Educational Institution	F	35
Coolamon	Technical or Further Educational Institution	M	52
Coolamon	University or other tertiary	F	75
Coolamon	University or other tertiary	M	29
Coonamble		F	283
Coonamble		M	245
Coonamble	Infants/Primary	F	123
Coonamble	Infants/Primary	M	158
Coonamble	Pre-school	F	37
Coonamble	Pre-school	M	42
Coonamble	Secondary	F	92
Coonamble	Secondary	M	106
Coonamble	Technical or Further Educational Institution	F	35
Coonamble	University or other tertiary	F	44
Coonamble	University or other tertiary	M	22
Cootamundra-Gundagai Regional		F	458
Cootamundra-Gundagai Regional		M	487
Cootamundra-Gundagai Regional	Infants/Primary	F	403
Cootamundra-Gundagai Regional	Infants/Primary	M	444
Cootamundra-Gundagai Regional	Pre-school	F	111
Cootamundra-Gundagai Regional	Pre-school	M	118
Cootamundra-Gundagai Regional	Secondary	F	324
Cootamundra-Gundagai Regional	Secondary	M	366
Cootamundra-Gundagai Regional	Technical or Further Educational Institution	F	120
Cootamundra-Gundagai Regional	Technical or Further Educational Institution	M	92
Cootamundra-Gundagai Regional	University or other tertiary	F	104
Cootamundra-Gundagai Regional	University or other tertiary	M	32
Cowra		F	544
Cowra		M	566
Cowra	Infants/Primary	F	429
Cowra	Infants/Primary	M	465
Cowra	Pre-school	F	131
Cowra	Pre-school	M	123
Cowra	Secondary	F	383
Cowra	Secondary	M	367
Cowra	Technical or Further Educational Institution	F	161
Cowra	Technical or Further Educational Institution	M	114
Cowra	University or other tertiary	F	108
Cowra	University or other tertiary	M	49
Cumberland		F	10186
Cumberland		M	12093
Cumberland	Infants/Primary	F	9654
Cumberland	Infants/Primary	M	9929
Cumberland	Pre-school	F	2090
Cumberland	Pre-school	M	2381
Cumberland	Secondary	F	7152
Cumberland	Secondary	M	7231
Cumberland	Technical or Further Educational Institution	F	3720
Cumberland	Technical or Further Educational Institution	M	3553
Cumberland	University or other tertiary	F	7078
Cumberland	University or other tertiary	M	6495
Dubbo Regional		F	2599
Dubbo Regional		M	3331
Dubbo Regional	Infants/Primary	F	2337
Dubbo Regional	Infants/Primary	M	2436
Dubbo Regional	Pre-school	F	685
Dubbo Regional	Pre-school	M	676
Dubbo Regional	Secondary	F	1650
Dubbo Regional	Secondary	M	1670
Dubbo Regional	Technical or Further Educational Institution	F	797
Dubbo Regional	Technical or Further Educational Institution	M	596
Dubbo Regional	University or other tertiary	F	795
Dubbo Regional	University or other tertiary	M	345
Dungog		F	251
Dungog		M	209
Dungog	Infants/Primary	F	396
Dungog	Infants/Primary	M	416
Dungog	Pre-school	F	109
Dungog	Pre-school	M	108
Dungog	Secondary	F	283
Dungog	Secondary	M	295
Dungog	Technical or Further Educational Institution	F	93
Dungog	Technical or Further Educational Institution	M	93
Dungog	University or other tertiary	F	143
Dungog	University or other tertiary	M	56
Edward River		F	411
Edward River		M	415
Edward River	Infants/Primary	F	295
Edward River	Infants/Primary	M	330
Edward River	Pre-school	F	68
Edward River	Pre-school	M	76
Edward River	Secondary	F	257
Edward River	Secondary	M	242
Edward River	Technical or Further Educational Institution	F	107
Edward River	Technical or Further Educational Institution	M	76
Edward River	University or other tertiary	F	92
Edward River	University or other tertiary	M	25
Eurobodalla		F	1698
Eurobodalla		M	1640
Eurobodalla	Infants/Primary	F	1182
Eurobodalla	Infants/Primary	M	1265
Eurobodalla	Pre-school	F	256
Eurobodalla	Pre-school	M	297
Eurobodalla	Secondary	F	998
Eurobodalla	Secondary	M	1016
Eurobodalla	Technical or Further Educational Institution	F	442
Eurobodalla	Technical or Further Educational Institution	M	357
Eurobodalla	University or other tertiary	F	414
Eurobodalla	University or other tertiary	M	162
Fairfield		F	8340
Fairfield		M	7890
Fairfield	Infants/Primary	F	7794
Fairfield	Infants/Primary	M	8339
Fairfield	Pre-school	F	1350
Fairfield	Pre-school	M	1549
Fairfield	Secondary	F	7865
Fairfield	Secondary	M	8077
Fairfield	Technical or Further Educational Institution	F	2924
Fairfield	Technical or Further Educational Institution	M	2484
Fairfield	University or other tertiary	F	5226
Fairfield	University or other tertiary	M	4216
Federation		F	476
Federation		M	522
Federation	Infants/Primary	F	428
Federation	Infants/Primary	M	468
Federation	Pre-school	F	107
Federation	Pre-school	M	125
Federation	Secondary	F	365
Federation	Secondary	M	320
Federation	Technical or Further Educational Institution	F	158
Federation	Technical or Further Educational Institution	M	101
Federation	University or other tertiary	F	119
Federation	University or other tertiary	M	38
Forbes		F	425
Forbes		M	429
Forbes	Infants/Primary	F	421
Forbes	Infants/Primary	M	400
Forbes	Pre-school	F	109
Forbes	Pre-school	M	111
Forbes	Secondary	F	284
Forbes	Secondary	M	281
Forbes	Technical or Further Educational Institution	F	122
Forbes	Technical or Further Educational Institution	M	80
Forbes	University or other tertiary	F	110
Forbes	University or other tertiary	M	46
Georges River		F	4704
Georges River		M	4322
Georges River	Infants/Primary	F	5278
Georges River	Infants/Primary	M	5661
Georges River	Pre-school	F	1239
Georges River	Pre-school	M	1490
Georges River	Secondary	F	4528
Georges River	Secondary	M	4630
Georges River	Technical or Further Educational Institution	F	2147
Georges River	Technical or Further Educational Institution	M	2156
Georges River	University or other tertiary	F	5295
Georges River	University or other tertiary	M	4753
Gilgandra		F	254
Gilgandra		M	260
Gilgandra	Infants/Primary	F	177
Gilgandra	Infants/Primary	M	170
Gilgandra	Pre-school	F	45
Gilgandra	Pre-school	M	53
Gilgandra	Secondary	F	115
Gilgandra	Secondary	M	120
Gilgandra	Technical or Further Educational Institution	F	53
Gilgandra	Technical or Further Educational Institution	M	22
Gilgandra	University or other tertiary	F	32
Glen Innes Severn		F	507
Glen Innes Severn		M	598
Glen Innes Severn	Infants/Primary	F	298
Glen Innes Severn	Infants/Primary	M	295
Glen Innes Severn	Pre-school	F	62
Glen Innes Severn	Pre-school	M	59
Glen Innes Severn	Secondary	F	232
Glen Innes Severn	Secondary	M	235
Glen Innes Severn	Technical or Further Educational Institution	F	119
Glen Innes Severn	Technical or Further Educational Institution	M	66
Glen Innes Severn	University or other tertiary	F	99
Glen Innes Severn	University or other tertiary	M	31
Goulburn Mulwaree		F	1113
Goulburn Mulwaree		M	1612
Goulburn Mulwaree	Infants/Primary	F	1229
Goulburn Mulwaree	Infants/Primary	M	1286
Goulburn Mulwaree	Pre-school	F	306
Goulburn Mulwaree	Pre-school	M	332
Goulburn Mulwaree	Secondary	F	891
Goulburn Mulwaree	Secondary	M	960
Goulburn Mulwaree	Technical or Further Educational Institution	F	452
Goulburn Mulwaree	Technical or Further Educational Institution	M	387
Goulburn Mulwaree	University or other tertiary	F	473
Goulburn Mulwaree	University or other tertiary	M	266
Greater Hume Shire		F	489
Greater Hume Shire		M	506
Greater Hume Shire	Infants/Primary	F	466
Greater Hume Shire	Infants/Primary	M	509
Greater Hume Shire	Pre-school	F	106
Greater Hume Shire	Pre-school	M	131
Greater Hume Shire	Secondary	F	419
Greater Hume Shire	Secondary	M	454
Greater Hume Shire	Technical or Further Educational Institution	F	121
Greater Hume Shire	Technical or Further Educational Institution	M	100
Greater Hume Shire	University or other tertiary	F	137
Greater Hume Shire	University or other tertiary	M	56
Griffith		F	1173
Griffith		M	1219
Griffith	Infants/Primary	F	1096
Griffith	Infants/Primary	M	1146
Griffith	Pre-school	F	280
Griffith	Pre-school	M	300
Griffith	Secondary	F	859
Griffith	Secondary	M	890
Griffith	Technical or Further Educational Institution	F	342
Griffith	Technical or Further Educational Institution	M	300
Griffith	University or other tertiary	F	321
Griffith	University or other tertiary	M	203
Gunnedah		F	599
Gunnedah		M	607
Gunnedah	Infants/Primary	F	603
Gunnedah	Infants/Primary	M	663
Gunnedah	Pre-school	F	152
Gunnedah	Pre-school	M	195
Gunnedah	Secondary	F	377
Gunnedah	Secondary	M	355
Gunnedah	Technical or Further Educational Institution	F	183
Gunnedah	Technical or Further Educational Institution	M	128
Gunnedah	University or other tertiary	F	175
Gunnedah	University or other tertiary	M	67
Gwydir		F	244
Gwydir		M	249
Gwydir	Infants/Primary	F	201
Gwydir	Infants/Primary	M	218
Gwydir	Pre-school	F	55
Gwydir	Pre-school	M	45
Gwydir	Secondary	F	127
Gwydir	Secondary	M	121
Gwydir	Technical or Further Educational Institution	F	44
Gwydir	Technical or Further Educational Institution	M	23
Gwydir	University or other tertiary	F	41
Gwydir	University or other tertiary	M	24
Hawkesbury		F	1707
Hawkesbury		M	1743
Hawkesbury	Infants/Primary	F	2744
Hawkesbury	Infants/Primary	M	2912
Hawkesbury	Pre-school	F	741
Hawkesbury	Pre-school	M	824
Hawkesbury	Secondary	F	2177
Hawkesbury	Secondary	M	2256
Hawkesbury	Technical or Further Educational Institution	F	981
Hawkesbury	Technical or Further Educational Institution	M	965
Hawkesbury	University or other tertiary	F	1385
Hawkesbury	University or other tertiary	M	681
Hay		F	178
Hay		M	192
Hay	Infants/Primary	F	86
Hay	Infants/Primary	M	96
Hay	Pre-school	F	31
Hay	Pre-school	M	25
Hay	Secondary	F	63
Hay	Secondary	M	60
Hay	Technical or Further Educational Institution	F	33
Hay	Technical or Further Educational Institution	M	14
Hay	University or other tertiary	F	21
Hilltops		F	776
Hilltops		M	768
Hilltops	Infants/Primary	F	774
Hilltops	Infants/Primary	M	834
Hilltops	Pre-school	F	192
Hilltops	Pre-school	M	213
Hilltops	Secondary	F	609
Hilltops	Secondary	M	578
Hilltops	Technical or Further Educational Institution	F	266
Hilltops	Technical or Further Educational Institution	M	165
Hilltops	University or other tertiary	F	182
Hilltops	University or other tertiary	M	71
Hornsby		F	3028
Hornsby		M	2621
Hornsby	Infants/Primary	F	6826
Hornsby	Infants/Primary	M	7469
Hornsby	Pre-school	F	1545
Hornsby	Pre-school	M	1733
Hornsby	Secondary	F	5908
Hornsby	Secondary	M	6156
Hornsby	Technical or Further Educational Institution	F	1968
Hornsby	Technical or Further Educational Institution	M	1613
Hornsby	University or other tertiary	F	4836
Hornsby	University or other tertiary	M	4063
Hunters Hill		F	511
Hunters Hill		M	404
Hunters Hill	Infants/Primary	F	496
Hunters Hill	Infants/Primary	M	575
Hunters Hill	Pre-school	F	130
Hunters Hill	Pre-school	M	132
Hunters Hill	Secondary	F	550
Hunters Hill	Secondary	M	699
Hunters Hill	Technical or Further Educational Institution	F	97
Hunters Hill	Technical or Further Educational Institution	M	93
Hunters Hill	University or other tertiary	F	424
Hunters Hill	University or other tertiary	M	409
Inner West		F	4784
Inner West		M	4969
Inner West	Infants/Primary	F	5773
Inner West	Infants/Primary	M	6017
Inner West	Pre-school	F	1591
Inner West	Pre-school	M	1735
Inner West	Secondary	F	4434
Inner West	Secondary	M	4682
Inner West	Technical or Further Educational Institution	F	2430
Inner West	Technical or Further Educational Institution	M	2109
Inner West	University or other tertiary	F	7249
Inner West	University or other tertiary	M	5566
Inverell		F	914
Inverell		M	925
Inverell	Infants/Primary	F	737
Inverell	Infants/Primary	M	718
Inverell	Pre-school	F	174
Inverell	Pre-school	M	178
Inverell	Secondary	F	543
Inverell	Secondary	M	554
Inverell	Technical or Further Educational Institution	F	244
Inverell	Technical or Further Educational Institution	M	133
Inverell	University or other tertiary	F	155
Inverell	University or other tertiary	M	59
Junee		F	206
Junee		M	1021
Junee	Infants/Primary	F	218
Junee	Infants/Primary	M	220
Junee	Pre-school	F	68
Junee	Pre-school	M	68
Junee	Secondary	F	159
Junee	Secondary	M	172
Junee	Technical or Further Educational Institution	F	80
Junee	Technical or Further Educational Institution	M	59
Junee	University or other tertiary	F	82
Junee	University or other tertiary	M	33
Kempsey		F	1384
Kempsey		M	1996
Kempsey	Infants/Primary	F	1118
Kempsey	Infants/Primary	M	1050
Kempsey	Pre-school	F	276
Kempsey	Pre-school	M	279
Kempsey	Secondary	F	844
Kempsey	Secondary	M	839
Kempsey	Technical or Further Educational Institution	F	374
Kempsey	Technical or Further Educational Institution	M	242
Kempsey	University or other tertiary	F	295
Kempsey	University or other tertiary	M	127
Kiama		F	624
Kiama		M	591
Kiama	Infants/Primary	F	856
Kiama	Infants/Primary	M	897
Kiama	Pre-school	F	236
Kiama	Pre-school	M	300
Kiama	Secondary	F	692
Kiama	Secondary	M	677
Kiama	Technical or Further Educational Institution	F	277
Kiama	Technical or Further Educational Institution	M	277
Kiama	University or other tertiary	F	487
Kiama	University or other tertiary	M	298
Ku-ring-gai		F	2038
Ku-ring-gai		M	1724
Ku-ring-gai	Infants/Primary	F	5976
Ku-ring-gai	Infants/Primary	M	6303
Ku-ring-gai	Pre-school	F	1319
Ku-ring-gai	Pre-school	M	1406
Ku-ring-gai	Secondary	F	5656
Ku-ring-gai	Secondary	M	5894
