LGA_NAME21	MotorVehicles.min	occupied_private_dwellings
Albury		353
Albury	0	1626
Albury	1	8453
Albury	2	8061
Albury	3	2444
Albury	4	1241
Armidale Regional		181
Armidale Regional	0	774
Armidale Regional	1	4140
Armidale Regional	2	3676
Armidale Regional	3	1239
Armidale Regional	4	629
Ballina		306
Ballina	0	878
Ballina	1	6659
Ballina	2	7041
Ballina	3	2203
Ballina	4	1191
Balranald		18
Balranald	0	42
Balranald	1	229
Balranald	2	265
Balranald	3	109
Balranald	4	72
Bathurst Regional		221
Bathurst Regional	0	925
Bathurst Regional	1	5381
Bathurst Regional	2	5866
Bathurst Regional	3	2186
Bathurst Regional	4	1361
Bayside (NSW)		1118
Bayside (NSW)	0	9392
Bayside (NSW)	1	29979
Bayside (NSW)	2	17491
Bayside (NSW)	3	4562
Bayside (NSW)	4	2291
Bega Valley		249
Bega Valley	0	588
Bega Valley	1	5258
Bega Valley	2	5698
Bega Valley	3	1900
Bega Valley	4	935
Bellingen		75
Bellingen	0	180
Bellingen	1	1901
Bellingen	2	1991
Bellingen	3	666
Bellingen	4	365
Berrigan		97
Berrigan	0	122
Berrigan	1	1181
Berrigan	2	1263
Berrigan	3	457
Berrigan	4	252
Blacktown		1918
Blacktown	0	8045
Blacktown	1	43133
Blacktown	2	46060
Blacktown	3	14648
Blacktown	4	7523
Bland		55
Bland	0	89
Bland	1	663
Bland	2	770
Bland	3	351
Bland	4	220
Blayney		41
Blayney	0	77
Blayney	1	789
Blayney	2	1059
Blayney	3	496
Blayney	4	302
Blue Mountains		302
Blue Mountains	0	1786
Blue Mountains	1	11315
Blue Mountains	2	11405
Blue Mountains	3	3669
Blue Mountains	4	2052
Bogan		41
Bogan	0	48
Bogan	1	278
Bogan	2	310
Bogan	3	147
Bogan	4	95
Bourke		49
Bourke	0	74
Bourke	1	257
Bourke	2	231
Bourke	3	100
Bourke	4	64
Brewarrina		35
Brewarrina	0	88
Brewarrina	1	165
Brewarrina	2	108
Brewarrina	3	38
Brewarrina	4	35
Broken Hill		161
Broken Hill	0	700
Broken Hill	1	3068
Broken Hill	2	2366
Broken Hill	3	718
Broken Hill	4	297
Burwood		304
Burwood	0	3302
Burwood	1	6033
Burwood	2	3184
Burwood	3	875
Burwood	4	449
Byron		272
Byron	0	418
Byron	1	4425
Byron	2	4990
Byron	3	1740
Byron	4	1026
Cabonne		82
Cabonne	0	116
Cabonne	1	1173
Cabonne	2	1993
Cabonne	3	900
Cabonne	4	651
Camden		355
Camden	0	843
Camden	1	9286
Camden	2	16894
Camden	3	5933
Camden	4	3865
Campbelltown (NSW)		900
Campbelltown (NSW)	0	4395
Campbelltown (NSW)	1	21338
Campbelltown (NSW)	2	20515
Campbelltown (NSW)	3	6671
Campbelltown (NSW)	4	3566
Canada Bay		394
Canada Bay	0	3547
Canada Bay	1	15664
Canada Bay	2	11034
Canada Bay	3	2620
Canada Bay	4	1250
Canterbury-Bankstown		2336
Canterbury-Bankstown	0	13355
Canterbury-Bankstown	1	45613
Canterbury-Bankstown	2	36390
Canterbury-Bankstown	3	12281
Canterbury-Bankstown	4	7054
Carrathool		26
Carrathool	0	53
Carrathool	1	254
Carrathool	2	361
Carrathool	3	155
Carrathool	4	112
Central Coast (NSW)		1884
Central Coast (NSW)	0	8428
Central Coast (NSW)	1	49354
Central Coast (NSW)	2	47282
Central Coast (NSW)	3	15539
Central Coast (NSW)	4	9222
Central Darling		27
Central Darling	0	88
Central Darling	1	224
Central Darling	2	137
Central Darling	3	58
Central Darling	4	50
Cessnock		313
Cessnock	0	990
Cessnock	1	7155
Cessnock	2	8473
Cessnock	3	3407
Cessnock	4	2214
Clarence Valley		434
Clarence Valley	0	994
Clarence Valley	1	7767
Clarence Valley	2	7739
Clarence Valley	3	2651
Clarence Valley	4	1347
Cobar		35
Cobar	0	93
Cobar	1	488
Cobar	2	500
Cobar	3	187
Cobar	4	106
Coffs Harbour		520
Coffs Harbour	0	1590
Coffs Harbour	1	11034
Coffs Harbour	2	11016
Coffs Harbour	3	3611
Coffs Harbour	4	2005
Coolamon		33
Coolamon	0	61
Coolamon	1	482
Coolamon	2	592
Coolamon	3	298
Coolamon	4	186
Coonamble		47
Coonamble	0	106
Coonamble	1	456
Coonamble	2	410
Coonamble	3	170
Coonamble	4	112
Cootamundra-Gundagai Regional		90
Cootamundra-Gundagai Regional	0	310
Cootamundra-Gundagai Regional	1	1597
Cootamundra-Gundagai Regional	2	1565
Cootamundra-Gundagai Regional	3	577
Cootamundra-Gundagai Regional	4	352
Cowra		109
Cowra	0	308
Cowra	1	1787
Cowra	2	1806
Cowra	3	690
Cowra	4	384
Cumberland		1808
Cumberland	0	8904
Cumberland	1	29161
Cumberland	2	21135
Cumberland	3	6748
Cumberland	4	3911
Dubbo Regional		348
Dubbo Regional	0	1038
Dubbo Regional	1	6608
Dubbo Regional	2	7268
Dubbo Regional	3	2546
Dubbo Regional	4	1472
Dungog		63
Dungog	0	87
Dungog	1	916
Dungog	2	1430
Dungog	3	608
Dungog	4	472
Edward River		63
