LGA_NAME21	AustCitizen	persons
Albury	0	6233
Albury	1	49860
Armidale Regional	0	5326
Armidale Regional	1	23798
Ballina	0	4414
Ballina	1	41882
Balranald	0	437
Balranald	1	1771
Bathurst Regional	0	4844
Bathurst Regional	1	38723
Bayside (NSW)	0	46898
Bayside (NSW)	1	128286
Bega Valley	0	3515
Bega Valley	1	32427
Bellingen	0	1418
Bellingen	1	11835
Berrigan	0	1126
Berrigan	1	7539
Blacktown	0	80612
Blacktown	1	316164
Bland	0	631
Bland	1	4916
Blayney	0	620
Blayney	1	6877
Blue Mountains	0	6101
Blue Mountains	1	72020
Bogan	0	268
Bogan	1	2199
Bourke	0	488
Bourke	1	1852
Brewarrina	0	244
Brewarrina	1	1112
Broken Hill	0	1918
Broken Hill	1	15670
Burwood	0	14800
Burwood	1	25417
Byron	0	6937
Byron	1	29179
Cabonne	0	1255
Cabonne	1	12511
Camden	0	11663
Camden	1	107662
Campbelltown (NSW)	0	29039
Campbelltown (NSW)	1	147480
Canada Bay	0	17704
Canada Bay	1	71473
Canterbury-Bankstown	0	76823
Canterbury-Bankstown	1	294183
Carrathool	0	655
Carrathool	1	2211
Central Coast (NSW)	0	35014
Central Coast (NSW)	1	311582
Central Darling	0	387
Central Darling	1	1338
Cessnock	0	6066
Cessnock	1	57566
Clarence Valley	0	5795
Clarence Valley	1	48320
Cobar	0	783
Cobar	1	3276
Coffs Harbour	0	9743
Coffs Harbour	1	69016
Coolamon	0	304
Coolamon	1	4081
Coonamble	0	592
Coonamble	1	3140
Cootamundra-Gundagai Regional	0	1182
Cootamundra-Gundagai Regional	1	10221
Cowra	0	1286
Cowra	1	11438
Cumberland	0	71398
Cumberland	1	164041
Dubbo Regional	0	8675
Dubbo Regional	1	46247
Dungog	0	511
Dungog	1	9030
Edward River	0	1003
Edward River	1	7453
Eurobodalla	0	4216
Eurobodalla	1	36377
Fairfield	0	45394
Fairfield	1	163081
Federation	0	1226
Federation	1	11673
Forbes	0	923
Forbes	1	8396
Georges River	0	35023
Georges River	1	117251
Gilgandra	0	544
Gilgandra	1	3751
Glen Innes Severn	0	1188
Glen Innes Severn	1	7743
Goulburn Mulwaree	0	3829
Goulburn Mulwaree	1	28224
Greater Hume Shire	0	1132
Greater Hume Shire	1	10025
Griffith	0	5702
Griffith	1	21384
Gunnedah	0	1421
Gunnedah	1	11508
Gwydir	0	498
Gwydir	1	4412
Hawkesbury	0	6170
Hawkesbury	1	61037
Hay	0	437
Hay	1	2445
Hilltops	0	1990
Hilltops	1	17264
Hornsby	0	24229
Hornsby	1	127582
Hunters Hill	0	1371
Hunters Hill	1	12188
Inner West	0	28863
Inner West	1	153955
Inverell	0	2193
Inverell	1	15660
Junee	0	1454
Junee	1	4961
Kempsey	0	3720
Kempsey	1	26968
Kiama	0	1903
Kiama	1	21171
Ku-ring-gai	0	19398
Ku-ring-gai	1	104678
Kyogle	0	1110
Kyogle	1	8249
Lachlan	0	881
Lachlan	1	5213
Lake Macquarie	0	15273
Lake Macquarie	1	198572
Lane Cove	0	7023
Lane Cove	1	32415
Leeton	0	1697
Leeton	1	9755
Lismore	0	4732
Lismore	1	39602
Lithgow	0	2352
Lithgow	1	18490
Liverpool	0	39345
Liverpool	1	194101
Liverpool Plains	0	980
Liverpool Plains	1	6571
Lockhart	0	314
Lockhart	1	3005
Maitland	0	6512
Maitland	1	83714
Mid-Coast	0	9180
Mid-Coast	1	87399
Mid-Western Regional	0	2694
Mid-Western Regional	1	23019
Moree Plains	0	3003
Moree Plains	1	9748
Mosman	0	4310
Mosman	1	24019
Murray River	0	1378
Murray River	1	11472
Murrumbidgee	0	412
Murrumbidgee	1	2941
Muswellbrook	0	1852
Muswellbrook	1	14505
Nambucca Valley	0	2115
Nambucca Valley	1	18292
Narrabri	0	1591
Narrabri	1	11112
Narrandera	0	686
Narrandera	1	5012
Narromine	0	927
Narromine	1	5433
Newcastle	0	18494
Newcastle	1	150379
North Sydney	0	14026
North Sydney	1	54924
Northern Beaches	0	35319
Northern Beaches	1	228235
Oberon	0	927
Oberon	1	4653
Orange	0	4345
Orange	1	39167
Parkes	0	1411
Parkes	1	12950
Parramatta	0	78863
Parramatta	1	177866
Penrith	0	29005
Penrith	1	188659
Port Macquarie-Hastings	0	7117
Port Macquarie-Hastings	1	79645
Port Stephens	0	6446
Port Stephens	1	68830
Queanbeyan-Palerang Regional	0	6896
Queanbeyan-Palerang Regional	1	56408
Randwick	0	29861
Randwick	1	104391
Richmond Valley	0	2639
Richmond Valley	1	20926
Ryde	0	32658
Ryde	1	96465
Shellharbour	0	6626
Shellharbour	1	69645
Shoalhaven	0	11260
Shoalhaven	1	97271
Singleton	0	2334
Singleton	1	22243
Snowy Monaro Regional	0	2849
Snowy Monaro Regional	1	18817
Snowy Valleys	0	1787
Snowy Valleys	1	13104
Strathfield	0	15773
Strathfield	1	29820
Sutherland Shire	0	19122
Sutherland Shire	1	211089
Sydney	0	74785
Sydney	1	136847
Tamworth Regional	0	7375
Tamworth Regional	1	55695
Temora	0	399
Temora	1	5635
Tenterfield	0	812
Tenterfield	1	5998
The Hills Shire	0	28092
The Hills Shire	1	163784
Tweed	0	11397
Tweed	1	85995
Upper Hunter Shire	0	1546
Upper Hunter Shire	1	12683
Upper Lachlan Shire	0	861
Upper Lachlan Shire	1	7653
Uralla	0	514
Uralla	1	5457
Wagga Wagga	0	7818
Wagga Wagga	1	59791
Walcha	0	326
Walcha	1	2690
Walgett	0	1542
Walgett	1	3711
Warren	0	364
Warren	1	2186
Warrumbungle Shire	0	1431
Warrumbungle Shire	1	7794
Waverley	0	16609
Waverley	1	51996
Weddin	0	311
Weddin	1	3297
Wentworth	0	1135
Wentworth	1	6318
Willoughby	0	16888
Willoughby	1	58725
Wingecarribee	0	5764
Wingecarribee	1	46945
Wollondilly	0	4175
Wollondilly	1	49786
Wollongong	0	24079
Wollongong	1	190485
Woollahra	0	8101
Woollahra	1	45395
Yass Valley	0	1222
Yass Valley	1	16059
Unincorporated NSW	0	132
Unincorporated NSW	1	884
No usual address (NSW)	0	4802
No usual address (NSW)	1	6569
Migratory - Offshore - Shipping (NSW)	0	0
Migratory - Offshore - Shipping (NSW)	1	0
Alpine	0	1484
Alpine	1	11751
Ararat	0	2014
Ararat	1	9866
Ballarat	0	10966
Ballarat	1	102797
Banyule	0	14647
Banyule	1	111589
Bass Coast	0	4575
Bass Coast	1	36214
Baw Baw	0	5690
Baw Baw	1	51936
Bayside (Vic.)	0	12120
Bayside (Vic.)	1	89186
Benalla	0	1626
Benalla	1	12902
Boroondara	0	26241
Boroondara	1	141659
Brimbank	0	42425
Brimbank	1	152193
Buloke	0	708
Buloke	1	5470
Campaspe	0	3870
Campaspe	1	34865
Cardinia	0	17212
Cardinia	1	100982
Casey	0	72582
Casey	1	292657
Central Goldfields	0	1329
Central Goldfields	1	12154
Colac Otway	0	2651
Colac Otway	1	19772
Corangamite	0	1590
Corangamite	1	14525
Darebin	0	24172
Darebin	1	124398
East Gippsland	0	5453
East Gippsland	1	43262
Frankston	0	17494
Frankston	1	121787
Gannawarra	0	1056
Gannawarra	1	9627
Glen Eira	0	26240
Glen Eira	1	122668
Glenelg	0	1991
Glenelg	1	18161
Golden Plains	0	1905
Golden Plains	1	23080
Greater Bendigo	0	11992
Greater Bendigo	1	109478
Greater Dandenong	0	44684
Greater Dandenong	1	113524
Greater Geelong	0	32778
Greater Geelong	1	238279
Greater Shepparton	0	11356
Greater Shepparton	1	57053
Hepburn	0	1968
Hepburn	1	14636
Hindmarsh	0	616
Hindmarsh	1	5082
Hobsons Bay	0	13926
Hobsons Bay	1	77396
Horsham	0	1728
Horsham	1	18701
Hume	0	49384
Hume	1	194517
Indigo	0	1493
Indigo	1	15875
Kingston (Vic.)	0	21749
Kingston (Vic.)	1	136380
Knox	0	22967
Knox	1	136136
Latrobe (Vic.)	0	9172
Latrobe (Vic.)	1	68146
Loddon	0	1026
Loddon	1	6733
Macedon Ranges	0	4531
Macedon Ranges	1	46927
Manningham	0	22796
Manningham	1	101904
Mansfield	0	1123
Mansfield	1	9055
Maribyrnong	0	17442
Maribyrnong	1	67767
Maroondah	0	15392
Maroondah	1	99651
Melbourne	0	69913
Melbourne	1	79702
Melton	0	34213
Melton	1	144747
Mildura	0	8855
Mildura	1	48117
Mitchell	0	5885
Mitchell	1	43575
Moira	0	3650
Moira	1	26872
Monash	0	50800
Monash	1	139597
Moonee Valley	0	15754
Moonee Valley	1	106097
Moorabool	0	4011
Moorabool	1	33621
Moreland	0	30833
Moreland	1	140524
Mornington Peninsula	0	17109
Mornington Peninsula	1	151839
Mount Alexander	0	2471
Mount Alexander	1	17782
Moyne	0	1652
Moyne	1	15722
Murrindindi	0	1848
Murrindindi	1	13349
Nillumbik	0	4466
Nillumbik	1	58429
Northern Grampians	0	1558
Northern Grampians	1	10390
Port Phillip	0	22793
Port Phillip	1	79149
Pyrenees	0	1188
Pyrenees	1	6483
Queenscliffe	0	306
Queenscliffe	1	2970
South Gippsland	0	3070
South Gippsland	1	27507
Southern Grampians	0	1463
Southern Grampians	1	15125
Stonnington	0	19904
Stonnington	1	84799
Strathbogie	0	1345
Strathbogie	1	10110
Surf Coast	0	3473
Surf Coast	1	34221
Swan Hill	0	4266
Swan Hill	1	17137
Towong	0	690
Towong	1	5533
Wangaratta	0	2738
Wangaratta	1	27070
Warrnambool	0	3715
Warrnambool	1	31691
Wellington	0	5708
Wellington	1	39931
West Wimmera	0	435
West Wimmera	1	3571
Whitehorse	0	39200
Whitehorse	1	130146
Whittlesea	0	40351
Whittlesea	1	189045
Wodonga	0	3933
Wodonga	1	39320
Wyndham	0	84296
Wyndham	1	207715
Yarra	0	15597
Yarra	1	74517
Yarra Ranges	0	14582
Yarra Ranges	1	141486
Yarriambiack	0	671
Yarriambiack	1	5885
Unincorporated Vic	0	340
Unincorporated Vic	1	615
No usual address (Vic.)	0	4396
No usual address (Vic.)	1	4693
Migratory - Offshore - Shipping (Vic.)	0	27
Migratory - Offshore - Shipping (Vic.)	1	11
Aurukun	0	79
Aurukun	1	1022
Balonne	0	549
Balonne	1	3771
Banana	0	2399
Banana	1	12114
Barcaldine	0	359
Barcaldine	1	2490
Barcoo	0	35
Barcoo	1	273
Blackall Tambo	0	178
Blackall Tambo	1	1727
Boulia	0	58
Boulia	1	400
Brisbane	0	220627
Brisbane	1	1022198
Bulloo	0	27
Bulloo	1	310
Bundaberg	0	11425
Bundaberg	1	87790
Burdekin	0	2100
Burdekin	1	14592
Burke	0	96
Burke	1	323
Cairns	0	29081
Cairns	1	137862
Carpentaria	0	269
Carpentaria	1	1821
Cassowary Coast	0	4500
Cassowary Coast	1	24657
Central Highlands (Qld)	0	5057
Central Highlands (Qld)	1	22779
Charters Towers	0	1848
Charters Towers	1	9946
Cherbourg	0	35
Cherbourg	1	1159
Cloncurry	0	720
Cloncurry	1	2924
Cook	0	1057
Cook	1	3454
Croydon	0	42
Croydon	1	224
Diamantina	0	71
Diamantina	1	195
Doomadgee	0	74
Doomadgee	1	1313
Douglas	0	2531
Douglas	1	9806
Etheridge	0	115
Etheridge	1	599
Flinders (Qld)	0	230
Flinders (Qld)	1	1270
Fraser Coast	0	12332
Fraser Coast	1	98700
Gladstone	0	8006
Gladstone	1	55509
Gold Coast	0	121432
Gold Coast	1	503655
Goondiwindi	0	1188
Goondiwindi	1	9122
Gympie	0	5486
Gympie	1	47756
Hinchinbrook	0	1040
Hinchinbrook	1	9880
Hope Vale	0	51
Hope Vale	1	925
Ipswich	0	36589
Ipswich	1	192619
Isaac	0	5814
Isaac	1	16232
Kowanyama	0	102
Kowanyama	1	977
Livingstone	0	5237
Livingstone	1	34161
Lockhart River	0	78
Lockhart River	1	562
Lockyer Valley	0	5737
Lockyer Valley	1	35364
Logan	0	69240
Logan	1	275858
Longreach	0	616
Longreach	1	3031
Mackay	0	17163
Mackay	1	104528
McKinlay	0	191
McKinlay	1	645
Mapoon	0	51
Mapoon	1	381
Maranoa	0	1823
Maranoa	1	11002
Mareeba	0	4782
Mareeba	1	18076
Moreton Bay	0	61700
Moreton Bay	1	414640
Mornington	0	107
Mornington	1	918
Mount Isa	0	3619
Mount Isa	1	15108
Murweh	0	674
Murweh	1	3297
Napranum	0	142
Napranum	1	741
Noosa	0	7454
Noosa	1	48844
North Burnett	0	1594
North Burnett	1	8474
Northern Peninsula Area	0	297
Northern Peninsula Area	1	2484
Palm Island	0	122
Palm Island	1	1976
Paroo	0	140
Paroo	1	1539
Pormpuraaw	0	77
Pormpuraaw	1	534
Quilpie	0	60
Quilpie	1	638
Redland	0	17616
Redland	1	141606
Richmond	0	137
Richmond	1	624
Rockhampton	0	9806
Rockhampton	1	72162
Scenic Rim	0	5012
Scenic Rim	1	37972
Somerset	0	3019
Somerset	1	22038
South Burnett	0	4023
South Burnett	1	28973
Southern Downs	0	3999
Southern Downs	1	32291
Sunshine Coast	0	45112
Sunshine Coast	1	297429
Tablelands	0	3584
Tablelands	1	22660
Toowoomba	0	20800
Toowoomba	1	152404
Torres	0	311
Torres	1	3110
Torres Strait Island	0	263
Torres Strait Island	1	3861
Townsville	0	25946
Townsville	1	166822
Weipa	0	640
Weipa	1	3460
Western Downs	0	4630
Western Downs	1	29213
Whitsunday	0	7274
Whitsunday	1	29878
Winton	0	197
Winton	1	932
Woorabinda	0	43
Woorabinda	1	976
Wujal Wujal	0	8
Wujal Wujal	1	268
Yarrabah	0	66
Yarrabah	1	2439
No usual address (Qld)	0	5049
No usual address (Qld)	1	9621
Migratory - Offshore - Shipping (Qld)	0	154
Migratory - Offshore - Shipping (Qld)	1	29
Adelaide	0	9984
Adelaide	1	15042
Adelaide Hills	0	3183
Adelaide Hills	1	37696
Adelaide Plains	0	1072
Adelaide Plains	1	8763
Alexandrina	0	2503
Alexandrina	1	26227
Anangu Pitjantjatjara Yunkunytjatjara	0	124
Anangu Pitjantjatjara Yunkunytjatjara	1	2209
Barossa	0	1822
Barossa	1	23244
Barunga West	0	229
Barunga West	1	2390
Berri Barmera	0	1010
Berri Barmera	1	9474
Burnside	0	6713
Burnside	1	39317
Campbelltown (SA)	0	9888
Campbelltown (SA)	1	44912
Ceduna	0	370
Ceduna	1	3135
Charles Sturt	0	15609
Charles Sturt	1	106231
Clare and Gilbert Valleys	0	820
Clare and Gilbert Valleys	1	8367
Cleve	0	162
Cleve	1	1580
Coober Pedy	0	435
Coober Pedy	1	1131
Copper Coast	0	1375
Copper Coast	1	13675
Elliston	0	99
Elliston	1	915
Flinders Ranges	0	193
Flinders Ranges	1	1453
Franklin Harbour	0	157
Franklin Harbour	1	1136
Gawler	0	2054
Gawler	1	22934
Goyder	0	399
Goyder	1	3661
Grant	0	1456
Grant	1	7180
Holdfast Bay	0	4166
Holdfast Bay	1	33377
Kangaroo Island	0	674
Kangaroo Island	1	4220
Karoonda East Murray	0	107
Karoonda East Murray	1	900
Kimba	0	102
Kimba	1	935
Kingston (SA)	0	198
Kingston (SA)	1	2128
Light	0	1128
Light	1	14664
Lower Eyre Peninsula	0	641
Lower Eyre Peninsula	1	5269
Loxton Waikerie	0	1188
Loxton Waikerie	1	10478
Maralinga Tjarutja	0	8
Maralinga Tjarutja	1	88
Marion	0	13169
Marion	1	81552
Mid Murray	0	1204
Mid Murray	1	7960
Mitcham	0	6860
Mitcham	1	60757
Mount Barker	0	3187
Mount Barker	1	36030
Mount Gambier	0	2638
Mount Gambier	1	24240
Mount Remarkable	0	318
Mount Remarkable	1	2544
Murray Bridge	0	2837
Murray Bridge	1	18807
Naracoorte Lucindale	0	1338
Naracoorte Lucindale	1	7348
Northern Areas	0	333
Northern Areas	1	4226
Norwood Payneham and St Peters	0	6664
Norwood Payneham and St Peters	1	30823
Onkaparinga	0	16489
Onkaparinga	1	158715
Orroroo Carrieton	0	77
Orroroo Carrieton	1	797
Peterborough	0	259
Peterborough	1	1379
Playford	0	12851
Playford	1	86339
Port Adelaide Enfield	0	24522
Port Adelaide Enfield	1	107878
Port Augusta	0	2223
Port Augusta	1	11606
Port Lincoln	0	1354
Port Lincoln	1	13050
Port Pirie	0	1318
Port Pirie	1	15964
Prospect	0	3448
Prospect	1	18824
Renmark Paringa	0	1202
Renmark Paringa	1	8581
Robe	0	128
Robe	1	1414
Roxby Downs	0	785
Roxby Downs	1	3191
Salisbury	0	22789
Salisbury	1	123017
Southern Mallee	0	328
Southern Mallee	1	1651
Streaky Bay	0	236
Streaky Bay	1	1929
Tatiara	0	1078
Tatiara	1	5813
Tea Tree Gully	0	9942
Tea Tree Gully	1	91232
Coorong	0	724
Coorong	1	4739
Tumby Bay	0	199
Tumby Bay	1	2618
Unley	0	4931
Unley	1	33710
Victor Harbor	0	1275
Victor Harbor	1	14864
Wakefield	0	603
Wakefield	1	6177
Walkerville	0	1124
Walkerville	1	6899
Wattle Range	0	1137
Wattle Range	1	10751
West Torrens	0	10999
West Torrens	1	50700
Whyalla	0	2712
Whyalla	1	18532
Wudinna	0	132
Wudinna	1	1004
Yankalilla	0	548
Yankalilla	1	5286
Yorke Peninsula	0	1024
Yorke Peninsula	1	10574
Unincorporated SA	0	527
Unincorporated SA	1	2479
No usual address (SA)	0	1042
No usual address (SA)	1	2335
Migratory - Offshore - Shipping (SA)	0	12
Migratory - Offshore - Shipping (SA)	1	0
Albany	0	4487
Albany	1	34276
Armadale	0	16437
Armadale	1	77747
Ashburton	0	2149
Ashburton	1	5242
Augusta Margaret River	0	2745
Augusta Margaret River	1	14046
Bassendean	0	2155
Bassendean	1	13777
Bayswater	0	11367
Bayswater	1	57916
Belmont	0	10927
Belmont	1	31330
Beverley	0	257
Beverley	1	1437
Boddington	0	259
Boddington	1	1446
Boyup Brook	0	281
Boyup Brook	1	1553
Bridgetown-Greenbushes	0	636
Bridgetown-Greenbushes	1	4602
Brookton	0	136
Brookton	1	793
Broome	0	3443
Broome	1	13516
Broomehill-Tambellup	0	148
Broomehill-Tambellup	1	898
Bruce Rock	0	170
Bruce Rock	1	809
Bunbury	0	4946
Bunbury	1	28041
Busselton	0	4754
Busselton	1	35886
Cambridge	0	3325
Cambridge	1	25551
Canning	0	25511
Canning	1	70349
Capel	0	2188
Capel	1	15987
Carnamah	0	123
Carnamah	1	429
Carnarvon	0	1290
Carnarvon	1	3961
