LGA_NAME21	AustCitizen	Sex	persons
Albury	0	F	3090
Albury	0	M	3140
Albury	1	F	25917
Albury	1	M	23947
Armidale Regional	0	F	2796
Armidale Regional	0	M	2525
Armidale Regional	1	F	12319
Armidale Regional	1	M	11480
Ballina	0	F	2351
Ballina	0	M	2056
Ballina	1	F	21668
Ballina	1	M	20215
Balranald	0	F	224
Balranald	0	M	222
Balranald	1	F	874
Balranald	1	M	894
Bathurst Regional	0	F	1989
Bathurst Regional	0	M	2850
Bathurst Regional	1	F	19716
Bathurst Regional	1	M	19007
Bayside (NSW)	0	F	23218
Bayside (NSW)	0	M	23683
Bayside (NSW)	1	F	64642
Bayside (NSW)	1	M	63644
Bega Valley	0	F	1770
Bega Valley	0	M	1730
Bega Valley	1	F	16537
Bega Valley	1	M	15898
Bellingen	0	F	723
Bellingen	0	M	687
Bellingen	1	F	6104
Bellingen	1	M	5736
Berrigan	0	F	574
Berrigan	0	M	550
Berrigan	1	F	3828
Berrigan	1	M	3711
Blacktown	0	F	40271
Blacktown	0	M	40344
Blacktown	1	F	158634
Blacktown	1	M	157532
Bland	0	F	308
Bland	0	M	325
Bland	1	F	2450
Bland	1	M	2465
Blayney	0	F	316
Blayney	0	M	307
Blayney	1	F	3462
Blayney	1	M	3414
Blue Mountains	0	F	3182
Blue Mountains	0	M	2920
Blue Mountains	1	F	37076
Blue Mountains	1	M	34945
Bogan	0	F	129
Bogan	0	M	143
Bogan	1	F	1096
Bogan	1	M	1097
Bourke	0	F	248
Bourke	0	M	243
Bourke	1	F	930
Bourke	1	M	921
Brewarrina	0	F	126
Brewarrina	0	M	122
Brewarrina	1	F	553
Brewarrina	1	M	554
Broken Hill	0	F	986
Broken Hill	0	M	931
Broken Hill	1	F	8034
Broken Hill	1	M	7634
Burwood	0	F	7380
Burwood	0	M	7411
Burwood	1	F	13176
Burwood	1	M	12246
Byron	0	F	3621
Byron	0	M	3314
Byron	1	F	15179
Byron	1	M	13999
Cabonne	0	F	627
Cabonne	0	M	622
Cabonne	1	F	6288
Cabonne	1	M	6229
Camden	0	F	6023
Camden	0	M	5641
Camden	1	F	54712
Camden	1	M	52946
Campbelltown (NSW)	0	F	15151
Campbelltown (NSW)	0	M	13889
Campbelltown (NSW)	1	F	74723
Campbelltown (NSW)	1	M	72757
Canada Bay	0	F	9252
Canada Bay	0	M	8456
Canada Bay	1	F	36966
Canada Bay	1	M	34503
Canterbury-Bankstown	0	F	36371
Canterbury-Bankstown	0	M	40437
Canterbury-Bankstown	1	F	148626
Canterbury-Bankstown	1	M	145565
Carrathool	0	F	288
Carrathool	0	M	366
Carrathool	1	F	1055
Carrathool	1	M	1161
Central Coast (NSW)	0	F	18248
Central Coast (NSW)	0	M	16765
Central Coast (NSW)	1	F	160370
Central Coast (NSW)	1	M	151215
Central Darling	0	F	188
Central Darling	0	M	198
Central Darling	1	F	658
Central Darling	1	M	678
Cessnock	0	F	2314
Cessnock	0	M	3753
Cessnock	1	F	29289
Cessnock	1	M	28277
Clarence Valley	0	F	2510
Clarence Valley	0	M	3293
Clarence Valley	1	F	24549
Clarence Valley	1	M	23771
Cobar	0	F	391
Cobar	0	M	387
Cobar	1	F	1602
Cobar	1	M	1675
Coffs Harbour	0	F	5068
Coffs Harbour	0	M	4666
Coffs Harbour	1	F	35678
Coffs Harbour	1	M	33344
Coolamon	0	F	156
Coolamon	0	M	155
Coolamon	1	F	2071
Coolamon	1	M	2011
Coonamble	0	F	300
Coonamble	0	M	287
Coonamble	1	F	1561
Coonamble	1	M	1578
Cootamundra-Gundagai Regional	0	F	572
Cootamundra-Gundagai Regional	0	M	611
Cootamundra-Gundagai Regional	1	F	5160
Cootamundra-Gundagai Regional	1	M	5061
Cowra	0	F	624
Cowra	0	M	666
Cowra	1	F	5785
Cowra	1	M	5650
Cumberland	0	F	31782
Cumberland	0	M	39617
Cumberland	1	F	82156
Cumberland	1	M	81885
Dubbo Regional	0	F	3931
Dubbo Regional	0	M	4744
Dubbo Regional	1	F	23853
Dubbo Regional	1	M	22395
Dungog	0	F	259
Dungog	0	M	254
Dungog	1	F	4522
Dungog	1	M	4507
Edward River	0	F	492
Edward River	0	M	511
Edward River	1	F	3794
Edward River	1	M	3659
Eurobodalla	0	F	2126
Eurobodalla	0	M	2084
Eurobodalla	1	F	18570
Eurobodalla	1	M	17808
Fairfield	0	F	23137
Fairfield	0	M	22255
Fairfield	1	F	82468
Fairfield	1	M	80619
Federation	0	F	606
Federation	0	M	624
Federation	1	F	5865
Federation	1	M	5805
Forbes	0	F	467
Forbes	0	M	445
Forbes	1	F	4249
Forbes	1	M	4152
Georges River	0	F	17638
Georges River	0	M	17389
Georges River	1	F	59612
Georges River	1	M	57635
Gilgandra	0	F	275
Gilgandra	0	M	266
Gilgandra	1	F	1899
Gilgandra	1	M	1856
Glen Innes Severn	0	F	553
Glen Innes Severn	0	M	634
Glen Innes Severn	1	F	3965
Glen Innes Severn	1	M	3775
Goulburn Mulwaree	0	F	1641
Goulburn Mulwaree	0	M	2185
Goulburn Mulwaree	1	F	14268
Goulburn Mulwaree	1	M	13956
