LGA_NAME21	Age	NeedsAssistance	Sex	persons
Albury	0-4		F	120
Albury	0-4		M	136
Albury	0-4	0	F	1591
Albury	0-4	0	M	1660
Albury	0-4	1	F	27
Albury	0-4	1	M	39
Albury	5-14		F	212
Albury	5-14		M	225
Albury	5-14	0	F	3078
Albury	5-14	0	M	3079
Albury	5-14	1	F	132
Albury	5-14	1	M	271
Albury	15-19		F	91
Albury	15-19		M	116
Albury	15-19	0	F	1543
Albury	15-19	0	M	1465
Albury	15-19	1	F	48
Albury	15-19	1	M	90
Albury	20-24		F	104
Albury	20-24		M	104
Albury	20-24	0	F	1599
Albury	20-24	0	M	1520
Albury	20-24	1	F	64
Albury	20-24	1	M	68
Albury	25-34		F	224
Albury	25-34		M	223
Albury	25-34	0	F	3399
Albury	25-34	0	M	3229
Albury	25-34	1	F	105
Albury	25-34	1	M	131
Albury	35-44		F	192
Albury	35-44		M	211
Albury	35-44	0	F	3251
Albury	35-44	0	M	3020
Albury	35-44	1	F	116
Albury	35-44	1	M	94
Albury	45-54		F	152
Albury	45-54		M	214
Albury	45-54	0	F	3166
Albury	45-54	0	M	2870
Albury	45-54	1	F	162
Albury	45-54	1	M	147
Albury	55-64		F	171
Albury	55-64		M	177
Albury	55-64	0	F	3190
Albury	55-64	0	M	2862
Albury	55-64	1	F	220
Albury	55-64	1	M	215
Albury	65-74		F	145
Albury	65-74		M	136
Albury	65-74	0	F	2709
Albury	65-74	0	M	2452
Albury	65-74	1	F	322
Albury	65-74	1	M	274
Albury	75-84		F	119
Albury	75-84		M	80
Albury	75-84	0	F	1454
Albury	75-84	0	M	1191
Albury	75-84	1	F	415
Albury	75-84	1	M	278
Albury	85+		F	52
Albury	85+		M	42
Albury	85+	0	F	339
Albury	85+	0	M	254
Albury	85+	1	F	490
Albury	85+	1	M	207
Armidale Regional	0-4		F	59
Armidale Regional	0-4		M	81
Armidale Regional	0-4	0	F	683
Armidale Regional	0-4	0	M	718
Armidale Regional	0-4	1	F	6
Armidale Regional	0-4	1	M	24
Armidale Regional	5-14		F	189
Armidale Regional	5-14		M	181
Armidale Regional	5-14	0	F	1619
Armidale Regional	5-14	0	M	1539
Armidale Regional	5-14	1	F	49
Armidale Regional	5-14	1	M	94
Armidale Regional	15-19		F	219
Armidale Regional	15-19		M	147
Armidale Regional	15-19	0	F	1016
Armidale Regional	15-19	0	M	884
Armidale Regional	15-19	1	F	32
Armidale Regional	15-19	1	M	33
Armidale Regional	20-24		F	202
Armidale Regional	20-24		M	188
Armidale Regional	20-24	0	F	959
Armidale Regional	20-24	0	M	922
Armidale Regional	20-24	1	F	27
Armidale Regional	20-24	1	M	32
Armidale Regional	25-34		F	190
Armidale Regional	25-34		M	192
Armidale Regional	25-34	0	F	1692
Armidale Regional	25-34	0	M	1585
Armidale Regional	25-34	1	F	44
Armidale Regional	25-34	1	M	41
Armidale Regional	35-44		F	132
Armidale Regional	35-44		M	121
Armidale Regional	35-44	0	F	1443
Armidale Regional	35-44	0	M	1391
Armidale Regional	35-44	1	F	49
Armidale Regional	35-44	1	M	47
Armidale Regional	45-54		F	125
Armidale Regional	45-54		M	116
Armidale Regional	45-54	0	F	1514
Armidale Regional	45-54	0	M	1349
Armidale Regional	45-54	1	F	61
Armidale Regional	45-54	1	M	49
Armidale Regional	55-64		F	105
Armidale Regional	55-64		M	136
Armidale Regional	55-64	0	F	1623
Armidale Regional	55-64	0	M	1534
Armidale Regional	55-64	1	F	102
Armidale Regional	55-64	1	M	78
Armidale Regional	65-74		F	109
Armidale Regional	65-74		M	83
Armidale Regional	65-74	0	F	1282
Armidale Regional	65-74	0	M	1202
Armidale Regional	65-74	1	F	105
Armidale Regional	65-74	1	M	104
Armidale Regional	75-84		F	113
Armidale Regional	75-84		M	85
Armidale Regional	75-84	0	F	769
Armidale Regional	75-84	0	M	654
Armidale Regional	75-84	1	F	182
Armidale Regional	75-84	1	M	126
Armidale Regional	85+		F	94
Armidale Regional	85+		M	41
Armidale Regional	85+	0	F	183
Armidale Regional	85+	0	M	149
Armidale Regional	85+	1	F	173
Armidale Regional	85+	1	M	77
Ballina	0-4		F	66
Ballina	0-4		M	54
Ballina	0-4	0	F	982
Ballina	0-4	0	M	1073
Ballina	0-4	1	F	8
Ballina	0-4	1	M	18
Ballina	5-14		F	137
Ballina	5-14		M	177
Ballina	5-14	0	F	2318
Ballina	5-14	0	M	2443
Ballina	5-14	1	F	80
Ballina	5-14	1	M	175
Ballina	15-19		F	51
Ballina	15-19		M	83
Ballina	15-19	0	F	1061
Ballina	15-19	0	M	1122
Ballina	15-19	1	F	32
Ballina	15-19	1	M	67
Ballina	20-24		F	47
Ballina	20-24		M	65
Ballina	20-24	0	F	827
Ballina	20-24	0	M	865
Ballina	20-24	1	F	27
Ballina	20-24	1	M	51
Ballina	25-34		F	150
Ballina	25-34		M	131
Ballina	25-34	0	F	2059
Ballina	25-34	0	M	1801
Ballina	25-34	1	F	65
Ballina	25-34	1	M	56
Ballina	35-44		F	155
Ballina	35-44		M	155
Ballina	35-44	0	F	2496
Ballina	35-44	0	M	2295
Ballina	35-44	1	F	84
Ballina	35-44	1	M	70
Ballina	45-54		F	154
Ballina	45-54		M	139
Ballina	45-54	0	F	2871
Ballina	45-54	0	M	2555
Ballina	45-54	1	F	106
Ballina	45-54	1	M	78
Ballina	55-64		F	161
Ballina	55-64		M	151
Ballina	55-64	0	F	3108
Ballina	55-64	0	M	2764
Ballina	55-64	1	F	153
Ballina	55-64	1	M	166
Ballina	65-74		F	161
Ballina	65-74		M	161
Ballina	65-74	0	F	3146
Ballina	65-74	0	M	2808
Ballina	65-74	1	F	219
Ballina	65-74	1	M	223
Ballina	75-84		F	119
Ballina	75-84		M	88
Ballina	75-84	0	F	1649
Ballina	75-84	0	M	1483
Ballina	75-84	1	F	371
Ballina	75-84	1	M	257
Ballina	85+		F	129
Ballina	85+		M	66
Ballina	85+	0	F	470
Ballina	85+	0	M	365
Ballina	85+	1	F	550
Ballina	85+	1	M	258
Balranald	0-4		F	13
Balranald	0-4		M	5
Balranald	0-4	0	F	64
Balranald	0-4	0	M	52
Balranald	5-14		F	18
Balranald	5-14		M	31
Balranald	5-14	0	F	115
Balranald	5-14	0	M	129
Balranald	5-14	1	F	3
Balranald	5-14	1	M	5
Balranald	15-19		F	13
Balranald	15-19		M	5
Balranald	15-19	0	F	46
Balranald	15-19	0	M	51
Balranald	15-19	1	F	3
Balranald	20-24		F	5
Balranald	20-24		M	5
Balranald	20-24	0	F	33
Balranald	20-24	0	M	57
Balranald	25-34		F	25
Balranald	25-34		M	17
Balranald	25-34	0	F	124
Balranald	25-34	0	M	107
Balranald	25-34	1	M	3
Balranald	35-44		F	14
Balranald	35-44		M	14
Balranald	35-44	0	F	88
Balranald	35-44	0	M	84
Balranald	35-44	1	M	5
Balranald	45-54		F	23
Balranald	45-54		M	23
Balranald	45-54	0	F	122
Balranald	45-54	0	M	107
Balranald	45-54	1	F	3
Balranald	45-54	1	M	7
Balranald	55-64		F	26
Balranald	55-64		M	23
Balranald	55-64	0	F	131
Balranald	55-64	0	M	145
Balranald	55-64	1	F	9
Balranald	55-64	1	M	7
Balranald	65-74		F	21
Balranald	65-74		M	24
Balranald	65-74	0	F	105
Balranald	65-74	0	M	115
Balranald	65-74	1	F	10
Balranald	65-74	1	M	9
Balranald	75-84		F	13
Balranald	75-84		M	9
Balranald	75-84	0	F	32
Balranald	75-84	0	M	33
Balranald	75-84	1	F	16
Balranald	75-84	1	M	12
Balranald	85+		F	3
Balranald	85+		M	3
Balranald	85+	0	F	12
Balranald	85+	0	M	8
Balranald	85+	1	F	12
Balranald	85+	1	M	9
Bathurst Regional	0-4		F	59
Bathurst Regional	0-4		M	68
Bathurst Regional	0-4	0	F	1124
Bathurst Regional	0-4	0	M	1183
Bathurst Regional	0-4	1	F	13
Bathurst Regional	0-4	1	M	28
Bathurst Regional	5-14		F	143
Bathurst Regional	5-14		M	152
Bathurst Regional	5-14	0	F	2528
Bathurst Regional	5-14	0	M	2551
Bathurst Regional	5-14	1	F	103
Bathurst Regional	5-14	1	M	216
Bathurst Regional	15-19		F	67
Bathurst Regional	15-19		M	99
Bathurst Regional	15-19	0	F	1267
Bathurst Regional	15-19	0	M	1333
Bathurst Regional	15-19	1	F	55
Bathurst Regional	15-19	1	M	75
Bathurst Regional	20-24		F	74
Bathurst Regional	20-24		M	199
Bathurst Regional	20-24	0	F	1259
Bathurst Regional	20-24	0	M	1245
Bathurst Regional	20-24	1	F	31
Bathurst Regional	20-24	1	M	66
Bathurst Regional	25-34		F	135
Bathurst Regional	25-34		M	461
Bathurst Regional	25-34	0	F	2545
Bathurst Regional	25-34	0	M	2393
Bathurst Regional	25-34	1	F	65
Bathurst Regional	25-34	1	M	84
Bathurst Regional	35-44		F	114
Bathurst Regional	35-44		M	401
Bathurst Regional	35-44	0	F	2303
Bathurst Regional	35-44	0	M	2161
Bathurst Regional	35-44	1	F	79
Bathurst Regional	35-44	1	M	70
Bathurst Regional	45-54		F	159
Bathurst Regional	45-54		M	263
Bathurst Regional	45-54	0	F	2488
Bathurst Regional	45-54	0	M	2253
Bathurst Regional	45-54	1	F	114
Bathurst Regional	45-54	1	M	107
Bathurst Regional	55-64		F	132
Bathurst Regional	55-64		M	197
Bathurst Regional	55-64	0	F	2453
Bathurst Regional	55-64	0	M	2270
Bathurst Regional	55-64	1	F	133
Bathurst Regional	55-64	1	M	151
Bathurst Regional	65-74		F	114
Bathurst Regional	65-74		M	139
Bathurst Regional	65-74	0	F	1977
Bathurst Regional	65-74	0	M	1898
Bathurst Regional	65-74	1	F	178
Bathurst Regional	65-74	1	M	193
Bathurst Regional	75-84		F	60
Bathurst Regional	75-84		M	72
Bathurst Regional	75-84	0	F	976
Bathurst Regional	75-84	0	M	930
Bathurst Regional	75-84	1	F	274
Bathurst Regional	75-84	1	M	213
Bathurst Regional	85+		F	51
Bathurst Regional	85+		M	25
Bathurst Regional	85+	0	F	248
Bathurst Regional	85+	0	M	175
Bathurst Regional	85+	1	F	388
Bathurst Regional	85+	1	M	170
Bayside (NSW)	0-4		F	285
Bayside (NSW)	0-4		M	305
Bayside (NSW)	0-4	0	F	4530
Bayside (NSW)	0-4	0	M	4772
Bayside (NSW)	0-4	1	F	30
Bayside (NSW)	0-4	1	M	59
Bayside (NSW)	5-14		F	451
Bayside (NSW)	5-14		M	495
Bayside (NSW)	5-14	0	F	7458
Bayside (NSW)	5-14	0	M	7613
