LGA_NAME16	Landlord	Rent.min	occupied_private_dwellings_being_rented
Albury		5250	8
Albury		7875	11
Albury		10500	4
Albury		11812	6
Albury		14437	6
Albury	(Other)	3937	4
Albury	(Other)	5250	11
Albury	(Other)	7875	10
Albury	(Other)	10500	14
Albury	(Other)	11812	42
Albury	(Other)	14437	23
Albury	(Other)	18375	8
Albury	(Other)	23625	6
Albury	(Other)	28875	7
Albury	Co-op/church group etc	52	5
Albury	Co-op/church group etc	3937	13
Albury	Co-op/church group etc	5250	31
Albury	Co-op/church group etc	7875	74
Albury	Co-op/church group etc	10500	15
Albury	Co-op/church group etc	11812	19
Albury	Co-op/church group etc	14437	8
Albury	Co-op/church group etc	18375	11
Albury	Co-op/church group etc	23625	3
Albury	Person not in same household	52	5
Albury	Person not in same household	3937	9
Albury	Person not in same household	5250	71
Albury	Person not in same household	7875	121
Albury	Person not in same household	10500	126
Albury	Person not in same household	11812	192
Albury	Person not in same household	14437	229
Albury	Person not in same household	18375	147
Albury	Person not in same household	23625	35
Albury	Person not in same household	28875	5
Albury	Real estate agent	52	13
Albury	Real estate agent	3937	10
Albury	Real estate agent	5250	100
Albury	Real estate agent	7875	759
Albury	Real estate agent	10500	480
Albury	Real estate agent	11812	967
Albury	Real estate agent	14437	1463
Albury	Real estate agent	18375	1149
Albury	Real estate agent	23625	274
Albury	Real estate agent	28875	60
Albury	Real estate agent	34125	16
Albury	Real estate agent	39375	4
Albury	Real estate agent	49875	5
Albury	State or territory housing authority	52	15
Albury	State or territory housing authority	3937	59
Albury	State or territory housing authority	5250	251
Albury	State or territory housing authority	7875	140
Albury	State or territory housing authority	10500	45
Albury	State or territory housing authority	11812	81
Albury	State or territory housing authority	14437	37
Albury	State or territory housing authority	18375	11
Albury	State or territory housing authority	28875	3
Armidale Regional		7875	8
Armidale Regional	(Other)	52	10
Armidale Regional	(Other)	3937	3
Armidale Regional	(Other)	5250	18
Armidale Regional	(Other)	7875	12
Armidale Regional	(Other)	10500	12
Armidale Regional	(Other)	11812	15
Armidale Regional	(Other)	14437	14
Armidale Regional	(Other)	18375	10
Armidale Regional	Co-op/church group etc	52	5
Armidale Regional	Co-op/church group etc	5250	19
Armidale Regional	Co-op/church group etc	7875	60
Armidale Regional	Co-op/church group etc	10500	37
Armidale Regional	Co-op/church group etc	11812	38
Armidale Regional	Co-op/church group etc	14437	23
Armidale Regional	Co-op/church group etc	18375	8
Armidale Regional	Co-op/church group etc	34125	5
Armidale Regional	Person not in same household	52	9
Armidale Regional	Person not in same household	3937	7
Armidale Regional	Person not in same household	5250	28
Armidale Regional	Person not in same household	7875	65
Armidale Regional	Person not in same household	10500	73
Armidale Regional	Person not in same household	11812	100
Armidale Regional	Person not in same household	14437	119
Armidale Regional	Person not in same household	18375	111
Armidale Regional	Person not in same household	23625	14
Armidale Regional	Person not in same household	28875	7
Armidale Regional	Real estate agent	3937	6
Armidale Regional	Real estate agent	5250	35
Armidale Regional	Real estate agent	7875	139
Armidale Regional	Real estate agent	10500	205
Armidale Regional	Real estate agent	11812	459
Armidale Regional	Real estate agent	14437	688
Armidale Regional	Real estate agent	18375	688
Armidale Regional	Real estate agent	23625	155
Armidale Regional	Real estate agent	28875	31
Armidale Regional	Real estate agent	34125	8
Armidale Regional	Real estate agent	49875	3
Armidale Regional	State or territory housing authority	52	3
Armidale Regional	State or territory housing authority	3937	12
Armidale Regional	State or territory housing authority	5250	32
Armidale Regional	State or territory housing authority	7875	88
Armidale Regional	State or territory housing authority	10500	35
Armidale Regional	State or territory housing authority	11812	68
Armidale Regional	State or territory housing authority	14437	53
Armidale Regional	State or territory housing authority	18375	13
Ballina		5250	6
Ballina		7875	3
Ballina		10500	3
Ballina		11812	3
Ballina		18375	5
Ballina		23625	4
Ballina	(Other)	52	5
Ballina	(Other)	3937	3
Ballina	(Other)	5250	21
Ballina	(Other)	7875	28
Ballina	(Other)	10500	27
Ballina	(Other)	11812	37
Ballina	(Other)	14437	46
Ballina	(Other)	18375	21
Ballina	(Other)	23625	10
Ballina	(Other)	28875	3
Ballina	(Other)	39375	6
Ballina	Co-op/church group etc	52	3
Ballina	Co-op/church group etc	3937	3
Ballina	Co-op/church group etc	5250	26
Ballina	Co-op/church group etc	7875	37
Ballina	Co-op/church group etc	10500	12
Ballina	Co-op/church group etc	11812	20
Ballina	Co-op/church group etc	14437	15
Ballina	Co-op/church group etc	18375	9
Ballina	Co-op/church group etc	23625	11
Ballina	Co-op/church group etc	28875	5
Ballina	Co-op/church group etc	39375	3
Ballina	Person not in same household	3937	3
Ballina	Person not in same household	5250	28
Ballina	Person not in same household	7875	33
Ballina	Person not in same household	10500	43
Ballina	Person not in same household	11812	84
Ballina	Person not in same household	14437	196
Ballina	Person not in same household	18375	266
Ballina	Person not in same household	23625	183
Ballina	Person not in same household	28875	129
Ballina	Person not in same household	34125	55
Ballina	Person not in same household	39375	33
Ballina	Person not in same household	44625	9
Ballina	Person not in same household	49875	13
Ballina	Real estate agent	52	5
Ballina	Real estate agent	5250	9
Ballina	Real estate agent	7875	14
Ballina	Real estate agent	10500	11
Ballina	Real estate agent	11812	60
Ballina	Real estate agent	14437	292
Ballina	Real estate agent	18375	735
Ballina	Real estate agent	23625	685
Ballina	Real estate agent	28875	527
Ballina	Real estate agent	34125	305
Ballina	Real estate agent	39375	78
Ballina	Real estate agent	44625	37
Ballina	Real estate agent	49875	23
Ballina	State or territory housing authority	52	9
Ballina	State or territory housing authority	3937	12
Ballina	State or territory housing authority	5250	248
Ballina	State or territory housing authority	7875	72
Ballina	State or territory housing authority	10500	36
Ballina	State or territory housing authority	11812	43
Ballina	State or territory housing authority	14437	35
Ballina	State or territory housing authority	18375	25
Ballina	State or territory housing authority	23625	12
Balranald	(Other)	52	3
Balranald	(Other)	3937	4
Balranald	(Other)	5250	5
Balranald	(Other)	7875	5
Balranald	(Other)	10500	11
Balranald	(Other)	11812	5
Balranald	Co-op/church group etc	52	3
Balranald	Co-op/church group etc	7875	3
Balranald	Co-op/church group etc	11812	4
Balranald	Person not in same household	5250	3
Balranald	Person not in same household	7875	9
Balranald	Person not in same household	10500	13
Balranald	Person not in same household	11812	21
Balranald	Person not in same household	14437	8
Balranald	Person not in same household	18375	3
Balranald	Real estate agent	7875	14
Balranald	Real estate agent	10500	7
Balranald	Real estate agent	11812	6
Balranald	Real estate agent	14437	9
Balranald	Real estate agent	18375	4
Balranald	State or territory housing authority	52	6
Balranald	State or territory housing authority	5250	4
Balranald	State or territory housing authority	7875	9
Balranald	State or territory housing authority	10500	3
Balranald	State or territory housing authority	11812	5
Balranald	State or territory housing authority	14437	3
Bathurst Regional		11812	5
Bathurst Regional		18375	4
Bathurst Regional	(Other)	5250	7
Bathurst Regional	(Other)	7875	11
Bathurst Regional	(Other)	10500	8
Bathurst Regional	(Other)	11812	8
Bathurst Regional	(Other)	14437	21
Bathurst Regional	(Other)	18375	10
Bathurst Regional	(Other)	23625	9
Bathurst Regional	Co-op/church group etc	52	12
Bathurst Regional	Co-op/church group etc	3937	10
Bathurst Regional	Co-op/church group etc	5250	23
Bathurst Regional	Co-op/church group etc	7875	14
Bathurst Regional	Co-op/church group etc	10500	14
Bathurst Regional	Co-op/church group etc	11812	14
Bathurst Regional	Co-op/church group etc	14437	25
Bathurst Regional	Co-op/church group etc	18375	9
Bathurst Regional	Person not in same household	52	5
Bathurst Regional	Person not in same household	3937	3
Bathurst Regional	Person not in same household	5250	40
Bathurst Regional	Person not in same household	7875	58
Bathurst Regional	Person not in same household	10500	86
Bathurst Regional	Person not in same household	11812	112
Bathurst Regional	Person not in same household	14437	218
Bathurst Regional	Person not in same household	18375	141
Bathurst Regional	Person not in same household	23625	43
Bathurst Regional	Person not in same household	28875	10
Bathurst Regional	Person not in same household	34125	4
Bathurst Regional	Real estate agent	52	4
Bathurst Regional	Real estate agent	5250	32
Bathurst Regional	Real estate agent	7875	138
Bathurst Regional	Real estate agent	10500	139
Bathurst Regional	Real estate agent	11812	374
Bathurst Regional	Real estate agent	14437	957
Bathurst Regional	Real estate agent	18375	1158
Bathurst Regional	Real estate agent	23625	409
Bathurst Regional	Real estate agent	28875	37
Bathurst Regional	Real estate agent	34125	3
Bathurst Regional	Real estate agent	39375	6
Bathurst Regional	State or territory housing authority	52	19
Bathurst Regional	State or territory housing authority	3937	30
Bathurst Regional	State or territory housing authority	5250	152
Bathurst Regional	State or territory housing authority	7875	78
Bathurst Regional	State or territory housing authority	10500	69
Bathurst Regional	State or territory housing authority	11812	33
Bathurst Regional	State or territory housing authority	14437	55
Bathurst Regional	State or territory housing authority	18375	20
Bayside (NSW)		5250	4
Bayside (NSW)		7875	4
Bayside (NSW)		10500	3
Bayside (NSW)		14437	4
Bayside (NSW)		18375	18
Bayside (NSW)		23625	3
Bayside (NSW)		28875	14
Bayside (NSW)		34125	3
Bayside (NSW)	(Other)	52	3
Bayside (NSW)	(Other)	3937	5
Bayside (NSW)	(Other)	5250	20
Bayside (NSW)	(Other)	7875	27
Bayside (NSW)	(Other)	10500	12
Bayside (NSW)	(Other)	11812	69
Bayside (NSW)	(Other)	14437	49
Bayside (NSW)	(Other)	18375	102
Bayside (NSW)	(Other)	23625	114
Bayside (NSW)	(Other)	28875	72
Bayside (NSW)	(Other)	34125	51
Bayside (NSW)	(Other)	39375	41
Bayside (NSW)	(Other)	44625	12
Bayside (NSW)	(Other)	49875	12
Bayside (NSW)	Co-op/church group etc	52	17
Bayside (NSW)	Co-op/church group etc	3937	19
Bayside (NSW)	Co-op/church group etc	5250	61
Bayside (NSW)	Co-op/church group etc	7875	94
Bayside (NSW)	Co-op/church group etc	10500	38
Bayside (NSW)	Co-op/church group etc	11812	34
Bayside (NSW)	Co-op/church group etc	14437	45
Bayside (NSW)	Co-op/church group etc	18375	30
Bayside (NSW)	Co-op/church group etc	23625	26
Bayside (NSW)	Co-op/church group etc	28875	17
Bayside (NSW)	Co-op/church group etc	34125	12
Bayside (NSW)	Co-op/church group etc	39375	3
Bayside (NSW)	Person not in same household	52	9
Bayside (NSW)	Person not in same household	3937	8
Bayside (NSW)	Person not in same household	5250	47
Bayside (NSW)	Person not in same household	7875	95
Bayside (NSW)	Person not in same household	10500	97
