LGA_NAME16	HomeCensusNight	Sex	persons
Albury	0	F	1084
Albury	0	M	1236
Albury	1	F	27919
Albury	1	M	25854
Armidale Regional	0	F	821
Armidale Regional	0	M	726
Armidale Regional	1	F	14298
Armidale Regional	1	M	13278
Ballina	0	F	917
Ballina	0	M	932
Ballina	1	F	23100
Ballina	1	M	21342
Balranald	0	F	46
Balranald	0	M	79
Balranald	1	F	1050
Balranald	1	M	1036
Bathurst Regional	0	F	842
Bathurst Regional	0	M	925
Bathurst Regional	1	F	20865
Bathurst Regional	1	M	20936
Bayside (NSW)	0	F	1945
Bayside (NSW)	0	M	2134
Bayside (NSW)	1	F	85911
Bayside (NSW)	1	M	85192
Bega Valley	0	F	994
Bega Valley	0	M	1053
Bega Valley	1	F	17317
Bega Valley	1	M	16575
Bellingen	0	F	314
Bellingen	0	M	337
Bellingen	1	F	6514
Bellingen	1	M	6090
Berrigan	0	F	255
Berrigan	0	M	281
Berrigan	1	F	4146
Berrigan	1	M	3978
Blacktown	0	F	2958
Blacktown	0	M	3303
Blacktown	1	F	195947
Blacktown	1	M	194572
Bland	0	F	144
Bland	0	M	135
Bland	1	F	2620
Bland	1	M	2660
Blayney	0	F	148
Blayney	0	M	196
Blayney	1	F	3623
Blayney	1	M	3530
Blue Mountains	0	F	1160
Blue Mountains	0	M	1159
Blue Mountains	1	F	39094
Blue Mountains	1	M	36711
Bogan	0	F	49
Bogan	0	M	84
Bogan	1	F	1178
Bogan	1	M	1155
Bourke	0	F	70
Bourke	0	M	85
Bourke	1	F	1106
Bourke	1	M	1075
Brewarrina	0	F	38
Brewarrina	0	M	41
Brewarrina	1	F	641
Brewarrina	1	M	637
Broken Hill	0	F	464
Broken Hill	0	M	502
Broken Hill	1	F	8561
Broken Hill	1	M	8064
Burwood	0	F	497
Burwood	0	M	421
Burwood	1	F	20066
Burwood	1	M	19238
Byron	0	F	905
Byron	0	M	910
Byron	1	F	17893
Byron	1	M	16406
Cabonne	0	F	245
Cabonne	0	M	345
Cabonne	1	F	6670
Cabonne	1	M	6507
Camden	0	F	1024
Camden	0	M	1143
Camden	1	F	59710
Camden	1	M	57445
Campbelltown (NSW)	0	F	1898
Campbelltown (NSW)	0	M	1942
Campbelltown (NSW)	1	F	87971
Campbelltown (NSW)	1	M	84710
Canada Bay	0	F	1063
Canada Bay	0	M	1096
Canada Bay	1	F	45152
Canada Bay	1	M	41866
Canterbury-Bankstown	0	F	3854
Canterbury-Bankstown	0	M	4008
Canterbury-Bankstown	1	F	181145
Canterbury-Bankstown	1	M	181996
Carrathool	0	F	74
Carrathool	0	M	96
Carrathool	1	F	1263
Carrathool	1	M	1431
Central Coast (NSW)	0	F	4913
Central Coast (NSW)	0	M	5388
Central Coast (NSW)	1	F	173704
Central Coast (NSW)	1	M	162592
Central Darling	0	F	61
Central Darling	0	M	58
Central Darling	1	F	795
Central Darling	1	M	816
Cessnock	0	F	1090
Cessnock	0	M	1227
Cessnock	1	F	30511
Cessnock	1	M	30804
Clarence Valley	0	F	1117
Clarence Valley	0	M	1403
Clarence Valley	1	F	25945
Clarence Valley	1	M	25658
Cobar	0	F	127
Cobar	0	M	150
Cobar	1	F	1869
Cobar	1	M	1909
Coffs Harbour	0	F	1555
Coffs Harbour	0	M	1742
Coffs Harbour	1	F	39192
Coffs Harbour	1	M	36266
Coolamon	0	F	83
Coolamon	0	M	103
Coolamon	1	F	2143
Coolamon	1	M	2062
Coonamble	0	F	86
Coonamble	0	M	91
Coonamble	1	F	1772
Coonamble	1	M	1771
Cootamundra-Gundagai Regional	0	F	254
Cootamundra-Gundagai Regional	0	M	313
Cootamundra-Gundagai Regional	1	F	5476
Cootamundra-Gundagai Regional	1	M	5363
Cowra	0	F	234
Cowra	0	M	298
Cowra	1	F	6170
Cowra	1	M	6016
Cumberland	0	F	1883
Cumberland	0	M	2145
Cumberland	1	F	112053
Cumberland	1	M	119355
Dubbo Regional	0	F	1088
Dubbo Regional	0	M	1666
Dubbo Regional	1	F	26693
Dubbo Regional	1	M	25474
Dungog	0	F	147
Dungog	0	M	187
Dungog	1	F	4631
Dungog	1	M	4573
Edward River	0	F	189
Edward River	0	M	235
Edward River	1	F	4092
Edward River	1	M	3935
Eurobodalla	0	F	996
