LGA_NAME16	medianTotalFamilyIncome
Albury	99268
Armidale Regional	95888
Ballina	96096
Balranald	92612
Bathurst Regional	105352
Bayside (NSW)	116636
Bega Valley	78052
Bellingen	76908
Berrigan	75920
Blacktown	117052
Bland	94172
Blayney	102648
Blue Mountains	116220
Bogan	100412
Bourke	98748
Brewarrina	64064
Broken Hill	84396
Burwood	109252
Byron	100152
Cabonne	103168
Camden	129324
Campbelltown (NSW)	100204
Canada Bay	149240
Canterbury-Bankstown	92872
Carrathool	94328
Central Coast (NSW)	101608
Central Darling	58656
Cessnock	94536
Clarence Valley	72696
Cobar	117520
Coffs Harbour	87620
Coolamon	87932
Coonamble	79716
Cootamundra-Gundagai Regional	78936
Cowra	75244
Cumberland	94016
Dubbo Regional	102388
Dungog	96512
Edward River	88868
Eurobodalla	74672
Fairfield	77064
Federation	82784
Forbes	87932
Georges River	114868
Gilgandra	71968
Glen Innes Severn	68848
Goulburn Mulwaree	100828
Greater Hume Shire	95316
Griffith	104312
Gunnedah	104052
Gwydir	68016
Hawkesbury	118144
Hay	84344
Hilltops	80704
Hornsby	146900
Hunters Hill	214032
Inner West	164060
Inverell	75140
Junee	93392
Kempsey	70044
Kiama	114504
Ku-ring-gai	179244
Kyogle	68172
Lachlan	81952
Lake Macquarie	106600
Lane Cove	188188
Leeton	94380
Lismore	89388
Lithgow	86216
Liverpool	104052
Liverpool Plains	76908
Lockhart	85072
Maitland	108576
Mid-Coast	69732
Mid-Western Regional	102232
Moree Plains	99788
Mosman	234104
Murray River	82836
Murrumbidgee	93080
Muswellbrook	104988
Nambucca Valley	68068
Narrabri	101088
Narrandera	79248
Narromine	89492
Newcastle	117728
North Sydney	194636
Northern Beaches	162812
Oberon	97188
Orange	110916
Parkes	93080
Parramatta	119496
Penrith	113776
Port Macquarie-Hastings	81952
Port Stephens	89128
Queanbeyan-Palerang Regional	145652
Randwick	156468
Richmond Valley	74412
Ryde	130988
Shellharbour	102804
Shoalhaven	79924
Singleton	120380
Snowy Monaro Regional	108784
Snowy Valleys	87516
Strathfield	119652
Sutherland Shire	143416
Sydney	158964
Tamworth Regional	94692
Temora	84396
Tenterfield	62712
The Hills Shire	155480
Tweed	86476
Upper Hunter Shire	99528
Upper Lachlan Shire	99112
Uralla	88816
Wagga Wagga	107120
Walcha	82316
Walgett	70824
Warren	90636
Warrumbungle Shire	72124
Waverley	192868
