LGA_NAME21	BornAust	persons
Albury	0	6990
Albury	1	45847
Armidale Regional	0	4330
Armidale Regional	1	21868
Ballina	0	5890
Ballina	1	37700
Balranald	0	190
Balranald	1	1718
Bathurst Regional	0	4359
Bathurst Regional	1	36910
Bayside (NSW)	0	84286
Bayside (NSW)	1	81762
Bega Valley	0	4371
Bega Valley	1	28894
Bellingen	0	1665
Bellingen	1	10517
Berrigan	0	702
Berrigan	1	7114
Blacktown	0	176115
Blacktown	1	199909
Bland	0	314
Bland	1	4678
Blayney	0	468
Blayney	1	6525
Blue Mountains	0	13617
Blue Mountains	1	61900
Bogan	0	139
Bogan	1	2118
Bourke	0	107
Bourke	1	1785
Brewarrina	0	56
Brewarrina	1	1069
Broken Hill	0	907
Broken Hill	1	15119
Burwood	0	23216
Burwood	1	14891
Byron	0	7928
Byron	1	24450
Cabonne	0	810
Cabonne	1	11776
Camden	0	27386
Camden	1	88462
Campbelltown (NSW)	0	61869
Campbelltown (NSW)	1	105084
Canada Bay	0	35761
Canada Bay	1	49943
Canterbury-Bankstown	0	165497
Canterbury-Bankstown	1	182532
Carrathool	0	402
Carrathool	1	2103
Central Coast (NSW)	0	55682
Central Coast (NSW)	1	273712
Central Darling	0	63
Central Darling	1	1291
Cessnock	0	4589
Cessnock	1	55921
Clarence Valley	0	4466
Clarence Valley	1	45642
Cobar	0	302
Cobar	1	3113
Coffs Harbour	0	12260
Coffs Harbour	1	61784
Coolamon	0	202
Coolamon	1	3878
Coonamble	0	124
Coonamble	1	3038
Cootamundra-Gundagai Regional	0	780
Cootamundra-Gundagai Regional	1	9605
Cowra	0	902
Cowra	1	10740
Cumberland	0	125309
Cumberland	1	93550
Dubbo Regional	0	5285
Dubbo Regional	1	44736
Dungog	0	521
Dungog	1	8492
Edward River	0	486
Edward River	1	7093
Eurobodalla	0	5578
Eurobodalla	1	31607
Fairfield	0	116655
Fairfield	1	80400
Federation	0	936
Federation	1	10932
Forbes	0	398
Forbes	1	8068
Georges River	0	70099
Georges River	1	76519
Gilgandra	0	142
Gilgandra	1	3616
Glen Innes Severn	0	670
Glen Innes Severn	1	7287
Goulburn Mulwaree	0	3507
Goulburn Mulwaree	1	26387
Greater Hume Shire	0	678
Greater Hume Shire	1	9443
Griffith	0	6080
Griffith	1	18844
Gunnedah	0	681
