LGA_NAME16	FamilyHousehold	UsualResidents.min	occupied_private_dwellings
Albury	0	1	7002
Albury	0	2	633
Albury	0	3	129
Albury	0	4	43
Albury	0	5	16
Albury	0	6	4
Albury	1	2	6998
Albury	1	3	2907
Albury	1	4	2742
Albury	1	5	1201
Albury	1	6	508
Armidale Regional	0	1	3399
Armidale Regional	0	2	312
Armidale Regional	0	3	86
Armidale Regional	0	4	45
Armidale Regional	0	6	5
Armidale Regional	1	2	3449
Armidale Regional	1	3	1288
Armidale Regional	1	4	1209
Armidale Regional	1	5	545
Armidale Regional	1	6	313
Ballina	0	1	5155
Ballina	0	2	531
Ballina	0	3	94
Ballina	0	4	34
Ballina	0	5	9
Ballina	0	6	5
Ballina	1	2	6462
Ballina	1	3	2440
Ballina	1	4	2237
Ballina	1	5	915
Ballina	1	6	396
Balranald	0	1	208
Balranald	0	2	18
Balranald	0	3	6
Balranald	1	2	253
Balranald	1	3	89
Balranald	1	4	75
Balranald	1	5	55
Balranald	1	6	39
Bathurst Regional	0	1	4406
Bathurst Regional	0	2	407
Bathurst Regional	0	3	93
Bathurst Regional	0	4	25
Bathurst Regional	0	5	11
Bathurst Regional	1	2	5151
Bathurst Regional	1	3	2221
Bathurst Regional	1	4	2144
Bathurst Regional	1	5	999
Bathurst Regional	1	6	484
Bayside (NSW)	0	1	16347
Bayside (NSW)	0	2	2796
Bayside (NSW)	0	3	898
Bayside (NSW)	0	4	333
Bayside (NSW)	0	5	105
Bayside (NSW)	0	6	68
Bayside (NSW)	1	2	18692
Bayside (NSW)	1	3	10728
Bayside (NSW)	1	4	9218
Bayside (NSW)	1	5	3617
Bayside (NSW)	1	6	2021
Bega Valley	0	1	4511
Bega Valley	0	2	339
Bega Valley	0	3	35
Bega Valley	0	4	7
Bega Valley	1	2	5749
Bega Valley	1	3	1628
Bega Valley	1	4	1410
Bega Valley	1	5	618
Bega Valley	1	6	329
Bellingen	0	1	1502
Bellingen	0	2	179
Bellingen	0	3	20
Bellingen	0	4	6
Bellingen	1	2	1858
Bellingen	1	3	665
Bellingen	1	4	577
Bellingen	1	5	263
Bellingen	1	6	116
Berrigan	0	1	1065
Berrigan	0	2	69
Berrigan	0	3	5
Berrigan	1	2	1321
Berrigan	1	3	369
Berrigan	1	4	311
Berrigan	1	5	162
Berrigan	1	6	72
Blacktown	0	1	19260
Blacktown	0	2	2160
Blacktown	0	3	595
Blacktown	0	4	269
Blacktown	0	5	115
Blacktown	0	6	64
Blacktown	1	2	27966
Blacktown	1	3	24094
Blacktown	1	4	27329
Blacktown	1	5	11656
Blacktown	1	6	7829
Bland	0	1	676
Bland	0	2	29
Bland	0	3	8
Bland	1	2	745
Bland	1	3	277
Bland	1	4	221
Bland	1	5	130
Bland	1	6	65
Blayney	0	1	708
Blayney	0	2	42
Blayney	0	3	4
Blayney	1	2	968
Blayney	1	3	404
Blayney	1	4	342
Blayney	1	5	202
Blayney	1	6	97
Blue Mountains	0	1	8142
Blue Mountains	0	2	632
Blue Mountains	0	3	78
Blue Mountains	0	4	29
Blue Mountains	0	5	4
Blue Mountains	1	2	10399
Blue Mountains	1	3	4386
Blue Mountains	1	4	4308
Blue Mountains	1	5	1800
Blue Mountains	1	6	737
Bogan	0	1	278
Bogan	0	2	22
Bogan	1	2	296
Bogan	1	3	121
Bogan	1	4	110
Bogan	1	5	62
Bogan	1	6	38
Bourke	0	1	243
Bourke	0	2	9
Bourke	0	3	6
Bourke	1	2	214
Bourke	1	3	118
Bourke	1	4	85
Bourke	1	5	56
Bourke	1	6	35
Brewarrina	0	1	177
Brewarrina	0	2	13
Brewarrina	1	2	140
Brewarrina	1	3	48
Brewarrina	1	4	43
Brewarrina	1	5	21
Brewarrina	1	6	30
Broken Hill	0	1	2713
Broken Hill	0	2	145
Broken Hill	0	3	16
Broken Hill	1	2	2368
Broken Hill	1	3	921
Broken Hill	1	4	731
Broken Hill	1	5	279
Broken Hill	1	6	134
Burwood	0	1	3214
Burwood	0	2	765
Burwood	0	3	402
Burwood	0	4	221
Burwood	0	5	90
Burwood	0	6	52
Burwood	1	2	3668
Burwood	1	3	2384
Burwood	1	4	2049
Burwood	1	5	797
Burwood	1	6	508
Byron	0	1	3439
Byron	0	2	653
Byron	0	3	287
Byron	0	4	132
Byron	0	5	58
Byron	0	6	22
Byron	1	2	3754
Byron	1	3	1902
Byron	1	4	1645
Byron	1	5	662
Byron	1	6	329
Cabonne	0	1	1188
Cabonne	0	2	69
Cabonne	0	3	4
Cabonne	1	2	1778
Cabonne	1	3	666
Cabonne	1	4	621
Cabonne	1	5	396
Cabonne	1	6	190
Camden	0	1	5160
Camden	0	2	455
Camden	0	3	90
Camden	0	4	35
Camden	0	5	8
Camden	0	6	6
Camden	1	2	9511
Camden	1	3	7010
Camden	1	4	8633
Camden	1	5	4195
Camden	1	6	2070
Campbelltown (NSW)	0	1	11367
Campbelltown (NSW)	0	2	1125
Campbelltown (NSW)	0	3	164
Campbelltown (NSW)	0	4	47
Campbelltown (NSW)	0	5	21
Campbelltown (NSW)	0	6	15
Campbelltown (NSW)	1	2	14966
Campbelltown (NSW)	1	3	10783
Campbelltown (NSW)	1	4	10464
Campbelltown (NSW)	1	5	4884
Campbelltown (NSW)	1	6	3537
Canada Bay	0	1	8514
Canada Bay	0	2	1079
Canada Bay	0	3	305
Canada Bay	0	4	110
Canada Bay	0	5	42
Canada Bay	0	6	15
Canada Bay	1	2	11244
Canada Bay	1	3	5651
Canada Bay	1	4	5196
Canada Bay	1	5	1773
Canada Bay	1	6	583
Canterbury-Bankstown	0	1	24868
Canterbury-Bankstown	0	2	2647
Canterbury-Bankstown	0	3	842
Canterbury-Bankstown	0	4	454
Canterbury-Bankstown	0	5	183
Canterbury-Bankstown	0	6	154
Canterbury-Bankstown	1	2	28381
Canterbury-Bankstown	1	3	19858
Canterbury-Bankstown	1	4	20060
Canterbury-Bankstown	1	5	10933
Canterbury-Bankstown	1	6	8649
Carrathool	0	1	277
Carrathool	0	2	18
Carrathool	0	3	8
Carrathool	1	2	312
Carrathool	1	3	127
Carrathool	1	4	126
Carrathool	1	5	73
Carrathool	1	6	25
Central Coast (NSW)	0	1	35866
Central Coast (NSW)	0	2	3184
Central Coast (NSW)	0	3	468
Central Coast (NSW)	0	4	147
Central Coast (NSW)	0	5	38
Central Coast (NSW)	0	6	19
Central Coast (NSW)	1	2	41981
Central Coast (NSW)	1	3	19184
Central Coast (NSW)	1	4	18913
Central Coast (NSW)	1	5	8031
Central Coast (NSW)	1	6	3896
Central Darling	0	1	236
Central Darling	0	2	8
Central Darling	1	2	172
Central Darling	1	3	61
Central Darling	1	4	49
Central Darling	1	5	24
Central Darling	1	6	33
Cessnock	0	1	5497
Cessnock	0	2	480
Cessnock	0	3	64
Cessnock	0	4	10
Cessnock	0	5	3
Cessnock	0	6	6
Cessnock	1	2	7120
Cessnock	1	3	3628
Cessnock	1	4	3326
Cessnock	1	5	1568
Cessnock	1	6	847
Clarence Valley	0	1	6054
Clarence Valley	0	2	623
Clarence Valley	0	3	52
Clarence Valley	0	4	14
Clarence Valley	0	6	4
Clarence Valley	1	2	7846
Clarence Valley	1	3	2610
Clarence Valley	1	4	2149
Clarence Valley	1	5	1001
Clarence Valley	1	6	585
Cobar	0	1	472
Cobar	0	2	28
Cobar	0	3	3
Cobar	1	2	446
Cobar	1	3	168
Cobar	1	4	171
Cobar	1	5	79
Cobar	1	6	48
Coffs Harbour	0	1	8195
Coffs Harbour	0	2	822
Coffs Harbour	0	3	147
Coffs Harbour	0	4	48
Coffs Harbour	0	5	16
Coffs Harbour	0	6	18
Coffs Harbour	1	2	10054
Coffs Harbour	1	3	4088
Coffs Harbour	1	4	3716
Coffs Harbour	1	5	1686
Coffs Harbour	1	6	989
