LGA_NAME16	Age	Sex	persons
Albury	0-4	F	1732
Albury	0-4	M	1837
Albury	5-14	F	3429
Albury	5-14	M	3576
Albury	15-19	F	1681
Albury	15-19	M	1669
Albury	20-24	F	1765
Albury	20-24	M	1695
Albury	25-34	F	3726
Albury	25-34	M	3588
Albury	35-44	F	3557
Albury	35-44	M	3327
Albury	45-54	F	3484
Albury	45-54	M	3228
Albury	55-64	F	3584
Albury	55-64	M	3255
Albury	65-74	F	3176
Albury	65-74	M	2867
Albury	75-84	F	1994
Albury	75-84	M	1545
Albury	85+	F	881
Albury	85+	M	504
Armidale Regional	0-4	F	748
Armidale Regional	0-4	M	819
Armidale Regional	5-14	F	1857
Armidale Regional	5-14	M	1810
Armidale Regional	15-19	F	1263
Armidale Regional	15-19	M	1072
Armidale Regional	20-24	F	1184
Armidale Regional	20-24	M	1142
Armidale Regional	25-34	F	1926
Armidale Regional	25-34	M	1820
Armidale Regional	35-44	F	1621
Armidale Regional	35-44	M	1560
Armidale Regional	45-54	F	1698
Armidale Regional	45-54	M	1510
Armidale Regional	55-64	F	1822
Armidale Regional	55-64	M	1751
Armidale Regional	65-74	F	1488
Armidale Regional	65-74	M	1392
Armidale Regional	75-84	F	1060
Armidale Regional	75-84	M	861
Armidale Regional	85+	F	451
Armidale Regional	85+	M	265
Ballina	0-4	F	1061
Ballina	0-4	M	1144
Ballina	5-14	F	2537
Ballina	5-14	M	2800
Ballina	15-19	F	1151
Ballina	15-19	M	1272
Ballina	20-24	F	902
Ballina	20-24	M	978
Ballina	25-34	F	2270
Ballina	25-34	M	1991
Ballina	35-44	F	2727
Ballina	35-44	M	2519
Ballina	45-54	F	3129
Ballina	45-54	M	2773
Ballina	55-64	F	3422
Ballina	55-64	M	3083
Ballina	65-74	F	3527
Ballina	65-74	M	3194
Ballina	75-84	F	2140
Ballina	75-84	M	1829
Ballina	85+	F	1145
Ballina	85+	M	691
Balranald	0-4	F	77
Balranald	0-4	M	58
Balranald	5-14	F	134
Balranald	5-14	M	167
Balranald	15-19	F	59
Balranald	15-19	M	64
Balranald	20-24	F	38
Balranald	20-24	M	63
Balranald	25-34	F	141
Balranald	25-34	M	128
Balranald	35-44	F	104
Balranald	35-44	M	106
Balranald	45-54	F	148
Balranald	45-54	M	136
Balranald	55-64	F	162
Balranald	55-64	M	172
Balranald	65-74	F	136
Balranald	65-74	M	149
Balranald	75-84	F	63
Balranald	75-84	M	50
Balranald	85+	F	31
Balranald	85+	M	20
Bathurst Regional	0-4	F	1201
Bathurst Regional	0-4	M	1281
Bathurst Regional	5-14	F	2771
Bathurst Regional	5-14	M	2920
Bathurst Regional	15-19	F	1387
Bathurst Regional	15-19	M	1509
Bathurst Regional	20-24	F	1366
Bathurst Regional	20-24	M	1516
Bathurst Regional	25-34	F	2749
Bathurst Regional	25-34	M	2938
Bathurst Regional	35-44	F	2498
Bathurst Regional	35-44	M	2634
Bathurst Regional	45-54	F	2755
Bathurst Regional	45-54	M	2627
Bathurst Regional	55-64	F	2720
Bathurst Regional	55-64	M	2620
Bathurst Regional	65-74	F	2266
Bathurst Regional	65-74	M	2232
Bathurst Regional	75-84	F	1311
Bathurst Regional	75-84	M	1213
Bathurst Regional	85+	F	680
Bathurst Regional	85+	M	372
Bayside (NSW)	0-4	F	4847
Bayside (NSW)	0-4	M	5143
Bayside (NSW)	5-14	F	8046
Bayside (NSW)	5-14	M	8458
Bayside (NSW)	15-19	F	3689
