LGA_NAME21	HomeCensusNight	persons
Albury	0	2325
Albury	1	53772
Armidale Regional	0	1550
Armidale Regional	1	27578
Ballina	0	1854
Ballina	1	44440
Balranald	0	122
Balranald	1	2084
Bathurst Regional	0	1766
Bathurst Regional	1	41804
Bayside (NSW)	0	4085
Bayside (NSW)	1	171102
Bega Valley	0	2051
Bega Valley	1	33889
Bellingen	0	652
Bellingen	1	12605
Berrigan	0	541
Berrigan	1	8126
Blacktown	0	6262
Blacktown	1	390518
Bland	0	272
Bland	1	5276
Blayney	0	343
Blayney	1	7153
Blue Mountains	0	2324
Blue Mountains	1	75800
Bogan	0	133
Bogan	1	2330
Bourke	0	158
Bourke	1	2183
Brewarrina	0	79
Brewarrina	1	1273
Broken Hill	0	961
Broken Hill	1	16632
Burwood	0	920
Burwood	1	39303
Byron	0	1818
Byron	1	34297
Cabonne	0	594
Cabonne	1	13174
Camden	0	2165
Camden	1	117156
Campbelltown (NSW)	0	3837
Campbelltown (NSW)	1	172679
Canada Bay	0	2158
Canada Bay	1	87020
Canterbury-Bankstown	0	7866
Canterbury-Bankstown	1	363142
Carrathool	0	171
Carrathool	1	2698
Central Coast (NSW)	0	10303
Central Coast (NSW)	1	336294
Central Darling	0	116
Central Darling	1	1612
Cessnock	0	2320
Cessnock	1	61312
Clarence Valley	0	2517
Clarence Valley	1	51599
Cobar	0	280
Cobar	1	3776
Coffs Harbour	0	3297
Coffs Harbour	1	75458
Coolamon	0	190
Coolamon	1	4196
Coonamble	0	184
Coonamble	1	3550
Cootamundra-Gundagai Regional	0	566
Cootamundra-Gundagai Regional	1	10842
Cowra	0	535
Cowra	1	12188
Cumberland	0	4033
Cumberland	1	231403
Dubbo Regional	0	2752
Dubbo Regional	1	52167
Dungog	0	338
Dungog	1	9206
Edward River	0	427
Edward River	1	8027
Eurobodalla	0	2113
Eurobodalla	1	38477
Fairfield	0	4457
Fairfield	1	204021
Federation	0	727
Federation	1	12168
Forbes	0	469
Forbes	1	8849
Georges River	0	3218
Georges River	1	149053
Gilgandra	0	204
Gilgandra	1	4094
Glen Innes Severn	0	444
Glen Innes Severn	1	8486
Goulburn Mulwaree	0	1213
Goulburn Mulwaree	1	30833
