LGA_NAME21	Age	MaritalStatus	Registered	adults
Albury	15-19	Married	0	64
Albury	15-19	Never married		2953
Albury	20-24	Married	0	661
Albury	20-24	Married	1	75
Albury	20-24	Never married		2335
Albury	25-34	Married	0	1717
Albury	25-34	Married	1	2177
Albury	25-34	Never married		2775
Albury	35-44	Married	0	937
Albury	35-44	Married	1	3537
Albury	35-44	Never married		1834
Albury	45-54	Married	0	707
Albury	45-54	Married	1	3453
Albury	45-54	Never married		2047
Albury	55-64	Married	0	546
Albury	55-64	Married	1	3553
Albury	55-64	Never married		2128
Albury	65-74	Married	0	254
Albury	65-74	Married	1	3201
Albury	65-74	Never married		1871
Albury	75-84	Married	0	93
Albury	75-84	Married	1	1660
Albury	75-84	Never married		1306
Albury	85+	Married	0	4
Albury	85+	Married	1	335
Albury	85+	Never married		642
Armidale Regional	15-19	Married	0	31
Armidale Regional	15-19	Married	1	3
Armidale Regional	15-19	Never married		1536
Armidale Regional	20-24	Married	0	339
Armidale Regional	20-24	Married	1	74
Armidale Regional	20-24	Never married		1077
Armidale Regional	25-34	Married	0	753
Armidale Regional	25-34	Married	1	1038
Armidale Regional	25-34	Never married		1326
Armidale Regional	35-44	Married	0	382
Armidale Regional	35-44	Married	1	1577
Armidale Regional	35-44	Never married		858
Armidale Regional	45-54	Married	0	342
Armidale Regional	45-54	Married	1	1615
Armidale Regional	45-54	Never married		903
Armidale Regional	55-64	Married	0	299
Armidale Regional	55-64	Married	1	1791
Armidale Regional	55-64	Never married		1082
Armidale Regional	65-74	Married	0	131
Armidale Regional	65-74	Married	1	1540
Armidale Regional	65-74	Never married		850
Armidale Regional	75-84	Married	0	42
Armidale Regional	75-84	Married	1	911
Armidale Regional	75-84	Never married		666
Armidale Regional	85+	Married	1	194
Armidale Regional	85+	Never married		336
Ballina	15-19	Married	0	36
Ballina	15-19	Never married		2232
Ballina	20-24	Married	0	273
Ballina	20-24	Married	1	47
Ballina	20-24	Never married		1366
Ballina	25-34	Married	0	1152
Ballina	25-34	Married	1	1098
Ballina	25-34	Never married		1628
Ballina	35-44	Married	0	942
Ballina	35-44	Married	1	2535
Ballina	35-44	Never married		1366
Ballina	45-54	Married	0	785
Ballina	45-54	Married	1	2964
Ballina	45-54	Never married		1718
Ballina	55-64	Married	0	655
Ballina	55-64	Married	1	3286
Ballina	55-64	Never married		2025
Ballina	65-74	Married	0	392
Ballina	65-74	Married	1	3763
Ballina	65-74	Never married		1950
Ballina	75-84	Married	0	119
Ballina	75-84	Married	1	2093
Ballina	75-84	Never married		1382
Ballina	85+	Married	0	17
Ballina	85+	Married	1	479
Ballina	85+	Never married		804
Balranald	15-19	Never married		92
Balranald	20-24	Married	0	19
Balranald	20-24	Married	1	11
Balranald	20-24	Never married		52
Balranald	25-34	Married	0	54
Balranald	25-34	Married	1	88
Balranald	25-34	Never married		77
Balranald	35-44	Married	0	25
Balranald	35-44	Married	1	89
Balranald	35-44	Never married		53
Balranald	45-54	Married	0	32
Balranald	45-54	Married	1	143
Balranald	45-54	Never married		59
Balranald	55-64	Married	0	25
Balranald	55-64	Married	1	172
Balranald	55-64	Never married		78
Balranald	65-74	Married	0	20
Balranald	65-74	Married	1	138
Balranald	65-74	Never married		70
Balranald	75-84	Married	1	43
Balranald	75-84	Never married		38
Balranald	85+	Married	1	10
Balranald	85+	Never married		22
