LGA_NAME21	OnlyEnglishSpokenHome	Sex	persons
Albury	0	F	2437
Albury	0	M	2379
Albury	1	F	25032
Albury	1	M	23099
Armidale Regional	0	F	1548
Armidale Regional	0	M	1447
Armidale Regional	1	F	11999
Armidale Regional	1	M	11198
Ballina	0	F	1235
Ballina	0	M	960
Ballina	1	F	21460
Ballina	1	M	20090
Balranald	0	F	94
Balranald	0	M	113
Balranald	1	F	843
Balranald	1	M	852
Bathurst Regional	0	F	1220
Bathurst Regional	0	M	1154
Bathurst Regional	1	F	19432
Bathurst Regional	1	M	18745
Bayside (NSW)	0	F	46560
Bayside (NSW)	0	M	43595
Bayside (NSW)	1	F	35845
Bayside (NSW)	1	M	38115
Bega Valley	0	F	680
Bega Valley	0	M	520
Bega Valley	1	F	16448
Bega Valley	1	M	15883
Bellingen	0	F	281
Bellingen	0	M	204
Bellingen	1	F	6043
Bellingen	1	M	5726
Berrigan	0	F	135
Berrigan	0	M	123
Berrigan	1	F	3837
Berrigan	1	M	3722
Blacktown	0	F	93533
Blacktown	0	M	90057
Blacktown	1	F	93829
Blacktown	1	M	94962
Bland	0	F	83
Bland	0	M	67
Bland	1	F	2438
Bland	1	M	2460
Blayney	0	F	70
Blayney	0	M	54
Blayney	1	F	3476
Blayney	1	M	3427
Blue Mountains	0	F	2803
Blue Mountains	0	M	2258
Blue Mountains	1	F	36072
Blue Mountains	1	M	34324
Bogan	0	F	50
Bogan	0	M	41
Bogan	1	F	1089
Bogan	1	M	1092
Bourke	0	F	40
Bourke	0	M	50
Bourke	1	F	928
Bourke	1	M	913
Brewarrina	0	F	24
Brewarrina	0	M	20
Brewarrina	1	F	546
Brewarrina	1	M	557
Broken Hill	0	F	334
Broken Hill	0	M	264
Broken Hill	1	F	7938
Broken Hill	1	M	7548
Burwood	0	F	13274
Burwood	0	M	12003
Burwood	1	F	6105
Burwood	1	M	6538
Byron	0	F	1873
Byron	0	M	1593
Byron	1	F	15051
Byron	1	M	13942
Cabonne	0	F	161
Cabonne	0	M	123
Cabonne	1	F	6264
Cabonne	1	M	6233
Camden	0	F	13938
Camden	0	M	12857
Camden	1	F	44675
Camden	1	M	43676
Campbelltown (NSW)	0	F	32579
Campbelltown (NSW)	0	M	30639
Campbelltown (NSW)	1	F	51418
Campbelltown (NSW)	1	M	50618
Canada Bay	0	F	18987
Canada Bay	0	M	16252
Canada Bay	1	F	25238
Canada Bay	1	M	24852
Canterbury-Bankstown	0	F	110572
Canterbury-Bankstown	0	M	108536
Canterbury-Bankstown	1	F	61377
Canterbury-Bankstown	1	M	63870
Carrathool	0	F	122
Carrathool	0	M	161
Carrathool	1	F	1069
Carrathool	1	M	1176
Central Coast (NSW)	0	F	13281
Central Coast (NSW)	0	M	11364
Central Coast (NSW)	1	F	156001
Central Coast (NSW)	1	M	148011
Central Darling	0	F	13
Central Darling	0	M	12
Central Darling	1	F	661
Central Darling	1	M	675
Cessnock	0	F	976
Cessnock	0	M	778
Cessnock	1	F	29124
Cessnock	1	M	28235
Clarence Valley	0	F	849
Clarence Valley	0	M	648
Clarence Valley	1	F	24371
Clarence Valley	1	M	23681
Cobar	0	F	92
Cobar	0	M	90
Cobar	1	F	1615
Cobar	1	M	1664
Coffs Harbour	0	F	3792
Coffs Harbour	0	M	3439
Coffs Harbour	1	F	34550
Coffs Harbour	1	M	32240
Coolamon	0	F	24
Coolamon	0	M	37
Coolamon	1	F	2074
Coolamon	1	M	1998
Coonamble	0	F	44
Coonamble	0	M	37
Coonamble	1	F	1555
Coonamble	1	M	1569
Cootamundra-Gundagai Regional	0	F	168
Cootamundra-Gundagai Regional	0	M	189
Cootamundra-Gundagai Regional	1	F	5139
Cootamundra-Gundagai Regional	1	M	5022
Cowra	0	F	233
Cowra	0	M	239
Cowra	1	F	5681
Cowra	1	M	5555
Cumberland	0	F	74579
Cumberland	0	M	78916
Cumberland	1	F	30350
Cumberland	1	M	32384
Dubbo Regional	0	F	2089
Dubbo Regional	0	M	2067
Dubbo Regional	1	F	23296
Dubbo Regional	1	M	21893
Dungog	0	F	52
Dungog	0	M	38
Dungog	1	F	4511
Dungog	1	M	4517
Edward River	0	F	137
Edward River	0	M	108
Edward River	1	F	3769
Edward River	1	M	3660
Eurobodalla	0	F	873
Eurobodalla	0	M	742
Eurobodalla	1	F	18311
Eurobodalla	1	M	17630
Fairfield	0	F	75184
Fairfield	0	M	70109
Fairfield	1	F	23065
Fairfield	1	M	25690
Federation	0	F	151
Federation	0	M	145
Federation	1	F	5877
Federation	1	M	5805
Forbes	0	F	113
Forbes	0	M	87
Forbes	1	F	4221
Forbes	1	M	4132
Georges River	0	F	41928
Georges River	0	M	39098
Georges River	1	F	31571
Georges River	1	M	32531
Gilgandra	0	F	37
Gilgandra	0	M	27
Gilgandra	1	F	1887
Gilgandra	1	M	1838
Glen Innes Severn	0	F	127
Glen Innes Severn	0	M	78
Glen Innes Severn	1	F	3949
Glen Innes Severn	1	M	3772
Goulburn Mulwaree	0	F	987
Goulburn Mulwaree	0	M	1011
Goulburn Mulwaree	1	F	13882
Goulburn Mulwaree	1	M	13630
Greater Hume Shire	0	F	119
Greater Hume Shire	0	M	116
Greater Hume Shire	1	F	4934
Greater Hume Shire	1	M	5078
Griffith	0	F	3083
Griffith	0	M	3190
Griffith	1	F	9379
Griffith	1	M	9290
Gunnedah	0	F	207
Gunnedah	0	M	211
Gunnedah	1	F	5734
Gunnedah	1	M	5662
Gwydir	0	F	25
Gwydir	0	M	21
Gwydir	1	F	2218
Gwydir	1	M	2201
Hawkesbury	0	F	2471
Hawkesbury	0	M	2295
Hawkesbury	1	F	29797
Hawkesbury	1	M	29601
Hay	0	F	71
Hay	0	M	48
Hay	1	F	1211
Hay	1	M	1215
Hilltops	0	F	497
Hilltops	0	M	509
Hilltops	1	F	8609
Hilltops	1	M	8232
Hornsby	0	F	28594
Hornsby	0	M	25613
Hornsby	1	F	46409
Hornsby	1	M	46541
