LGA_NAME16	Age	persons
Albury	0-4	3568
Albury	5-14	7003
Albury	15-19	3350
Albury	20-24	3463
Albury	25-34	7316
Albury	35-44	6881
Albury	45-54	6711
Albury	55-64	6839
Albury	65-74	6036
Albury	75-84	3539
Albury	85+	1385
Armidale Regional	0-4	1571
Armidale Regional	5-14	3671
Armidale Regional	15-19	2335
Armidale Regional	20-24	2325
Armidale Regional	25-34	3750
Armidale Regional	35-44	3182
Armidale Regional	45-54	3208
Armidale Regional	55-64	3574
Armidale Regional	65-74	2885
Armidale Regional	75-84	1918
Armidale Regional	85+	713
Ballina	0-4	2205
Ballina	5-14	5336
Ballina	15-19	2423
Ballina	20-24	1882
Ballina	25-34	4262
Ballina	35-44	5248
Ballina	45-54	5901
Ballina	55-64	6505
Ballina	65-74	6722
Ballina	75-84	3968
Ballina	85+	1834
Balranald	0-4	135
Balranald	5-14	302
Balranald	15-19	117
Balranald	20-24	102
Balranald	25-34	274
Balranald	35-44	212
Balranald	45-54	289
Balranald	55-64	333
Balranald	65-74	289
Balranald	75-84	117
Balranald	85+	47
Bathurst Regional	0-4	2479
Bathurst Regional	5-14	5692
Bathurst Regional	15-19	2898
Bathurst Regional	20-24	2880
Bathurst Regional	25-34	5680
Bathurst Regional	35-44	5124
Bathurst Regional	45-54	5383
Bathurst Regional	55-64	5338
Bathurst Regional	65-74	4497
Bathurst Regional	75-84	2528
Bathurst Regional	85+	1052
Bayside (NSW)	0-4	9986
Bayside (NSW)	5-14	16501
Bayside (NSW)	15-19	7773
Bayside (NSW)	20-24	13717
Bayside (NSW)	25-34	36536
Bayside (NSW)	35-44	26551
Bayside (NSW)	45-54	20624
Bayside (NSW)	55-64	17495
Bayside (NSW)	65-74	13485
Bayside (NSW)	75-84	8707
Bayside (NSW)	85+	3802
Bega Valley	0-4	1507
Bega Valley	5-14	3916
Bega Valley	15-19	1760
Bega Valley	20-24	1284
Bega Valley	25-34	3033
Bega Valley	35-44	3344
Bega Valley	45-54	4348
Bega Valley	55-64	6337
Bega Valley	65-74	6219
Bega Valley	75-84	3104
Bega Valley	85+	1089
Bellingen	0-4	542
Bellingen	5-14	1672
Bellingen	15-19	708
Bellingen	20-24	400
Bellingen	25-34	1044
Bellingen	35-44	1300
Bellingen	45-54	1770
Bellingen	55-64	2263
Bellingen	65-74	2110
Bellingen	75-84	1054
Bellingen	85+	395
Berrigan	0-4	378
Berrigan	5-14	958
Berrigan	15-19	444
Berrigan	20-24	286
Berrigan	25-34	732
Berrigan	35-44	793
Berrigan	45-54	968
Berrigan	55-64	1277
Berrigan	65-74	1595
Berrigan	75-84	899
Berrigan	85+	334
Blacktown	0-4	29907
Blacktown	5-14	60217
Blacktown	15-19	24375
Blacktown	20-24	26427
Blacktown	25-34	59261
Blacktown	35-44	67391
Blacktown	45-54	47563
Blacktown	55-64	37873
Blacktown	65-74	27022
Blacktown	75-84	12432
Blacktown	85+	4304
Bland	0-4	349
Bland	5-14	737
Bland	15-19	291
Bland	20-24	251
Bland	25-34	582
Bland	35-44	627
Bland	45-54	642
Bland	55-64	791
Bland	65-74	681
Bland	75-84	411
Bland	85+	176
Blayney	0-4	448
Blayney	5-14	1073
Blayney	15-19	462
Blayney	20-24	314
Blayney	25-34	794
Blayney	35-44	777
Blayney	45-54	1009
Blayney	55-64	1106
Blayney	65-74	877
Blayney	75-84	477
Blayney	85+	165
Blue Mountains	0-4	3889
Blue Mountains	5-14	9744
Blue Mountains	15-19	4665
Blue Mountains	20-24	3421
Blue Mountains	25-34	7126
Blue Mountains	35-44	9583
Blue Mountains	45-54	10957
Blue Mountains	55-64	11205
Blue Mountains	65-74	10517
Blue Mountains	75-84	5258
Blue Mountains	85+	1763
Bogan	0-4	156
Bogan	5-14	317
Bogan	15-19	147
Bogan	20-24	140
Bogan	25-34	320
Bogan	35-44	224
Bogan	45-54	336
Bogan	55-64	321
Bogan	65-74	225
Bogan	75-84	208
Bogan	85+	71
Bourke	0-4	178
Bourke	5-14	342
Bourke	15-19	134
Bourke	20-24	134
Bourke	25-34	311
Bourke	35-44	273
Bourke	45-54	303
Bourke	55-64	315
Bourke	65-74	211
Bourke	75-84	106
Bourke	85+	34
Brewarrina	0-4	88
Brewarrina	5-14	186
Brewarrina	15-19	80
Brewarrina	20-24	76
Brewarrina	25-34	205
Brewarrina	35-44	127
Brewarrina	45-54	169
Brewarrina	55-64	209
Brewarrina	65-74	132
Brewarrina	75-84	51
Brewarrina	85+	17
Broken Hill	0-4	972
Broken Hill	5-14	2030
Broken Hill	15-19	971
Broken Hill	20-24	896
Broken Hill	25-34	2182
Broken Hill	35-44	1883
Broken Hill	45-54	2010
Broken Hill	55-64	2570
Broken Hill	65-74	2214
Broken Hill	75-84	1272
Broken Hill	85+	590
Burwood	0-4	1532
Burwood	5-14	3271
Burwood	15-19	1829
Burwood	20-24	5006
Burwood	25-34	8805
Burwood	35-44	5002
Burwood	45-54	4503
Burwood	55-64	4109
Burwood	65-74	3028
Burwood	75-84	1960
Burwood	85+	1177
Byron	0-4	1733
Byron	5-14	4079
Byron	15-19	1695
Byron	20-24	1483
Byron	25-34	4871
Byron	35-44	5150
Byron	45-54	5197
Byron	55-64	5197
Byron	65-74	4488
Byron	75-84	1634
Byron	85+	584
Cabonne	0-4	751
Cabonne	5-14	2043
Cabonne	15-19	876
Cabonne	20-24	628
Cabonne	25-34	1139
Cabonne	35-44	1539
Cabonne	45-54	1832
Cabonne	55-64	1987
Cabonne	65-74	1677
Cabonne	75-84	960
Cabonne	85+	331
Camden	0-4	11190
Camden	5-14	18901
Camden	15-19	7498
Camden	20-24	6987
Camden	25-34	19454
Camden	35-44	18834
Camden	45-54	14279
Camden	55-64	10328
Camden	65-74	7203
Camden	75-84	3432
Camden	85+	1220
Campbelltown (NSW)	0-4	13106
Campbelltown (NSW)	5-14	25759
Campbelltown (NSW)	15-19	10930
Campbelltown (NSW)	20-24	11285
Campbelltown (NSW)	25-34	25608
Campbelltown (NSW)	35-44	26597
Campbelltown (NSW)	45-54	20283
Campbelltown (NSW)	55-64	19501
Campbelltown (NSW)	65-74	14817
Campbelltown (NSW)	75-84	6689
Campbelltown (NSW)	85+	1953
Canada Bay	0-4	4851
Canada Bay	5-14	9248
Canada Bay	15-19	4102
Canada Bay	20-24	5395
Canada Bay	25-34	14886
Canada Bay	35-44	13677
Canada Bay	45-54	11738
Canada Bay	55-64	10252
Canada Bay	65-74	8074
Canada Bay	75-84	4743
Canada Bay	85+	2219
Canterbury-Bankstown	0-4	24664
Canterbury-Bankstown	5-14	48817
Canterbury-Bankstown	15-19	22662
Canterbury-Bankstown	20-24	25124
Canterbury-Bankstown	25-34	55449
Canterbury-Bankstown	35-44	51070
Canterbury-Bankstown	45-54	45671
Canterbury-Bankstown	55-64	41923
Canterbury-Bankstown	65-74	29760
Canterbury-Bankstown	75-84	17504
Canterbury-Bankstown	85+	8374
Carrathool	0-4	210
Carrathool	5-14	354
Carrathool	15-19	141
Carrathool	20-24	160
Carrathool	25-34	472
Carrathool	35-44	337
Carrathool	45-54	371
Carrathool	55-64	390
Carrathool	65-74	251
Carrathool	75-84	126
Carrathool	85+	56
Central Coast (NSW)	0-4	19421
Central Coast (NSW)	5-14	42931
Central Coast (NSW)	15-19	20276
Central Coast (NSW)	20-24	18486
Central Coast (NSW)	25-34	38119
Central Coast (NSW)	35-44	41358
Central Coast (NSW)	45-54	44183
Central Coast (NSW)	55-64	44882
Central Coast (NSW)	65-74	40693
Central Coast (NSW)	75-84	25702
Central Coast (NSW)	85+	10545
Central Darling	0-4	88
Central Darling	5-14	212
Central Darling	15-19	107
Central Darling	20-24	106
Central Darling	25-34	217
