LGA_NAME16	CountryOfBirth	Sex	persons
Albury		F	2233
Albury		M	2205
Albury	AFG	M	3
Albury	AUS	F	23845
Albury	AUS	M	22000
Albury	BGD	F	32
Albury	BGD	M	32
Albury	BIH	F	4
Albury	BIH	M	9
Albury	BRA	F	4
Albury	BRA	M	5
Albury	CAN	F	33
Albury	CAN	M	32
Albury	CHL	F	10
Albury	CHL	M	7
Albury	CHN	F	92
Albury	CHN	M	52
Albury	DEU	F	134
Albury	DEU	M	124
Albury	EGY	F	4
Albury	EGY	M	9
Albury	FJI	F	24
Albury	FJI	M	26
Albury	FRA	F	9
Albury	FRA	M	8
Albury	GBR	F	644
Albury	GBR	M	638
Albury	GRC	F	23
Albury	GRC	M	25
Albury	HKG	F	18
Albury	HKG	M	11
Albury	HRV	F	28
Albury	HRV	M	21
Albury	IDN	F	28
Albury	IDN	M	13
Albury	IND	F	450
Albury	IND	M	612
Albury	IRL	F	21
Albury	IRL	M	33
Albury	IRN	F	12
Albury	IRN	M	12
Albury	IRQ	M	5
Albury	ITA	F	33
Albury	ITA	M	52
Albury	JPN	F	11
Albury	JPN	M	8
Albury	KHM	F	3
Albury	KOR	F	25
Albury	KOR	M	20
Albury	LBN	F	10
Albury	LBN	M	13
Albury	LKA	F	39
Albury	LKA	M	47
Albury	MKD	M	4
Albury	MLT	F	8
Albury	MLT	M	9
Albury	MMR	M	3
Albury	MUS	F	8
Albury	MUS	M	10
Albury	MYS	F	32
Albury	MYS	M	25
Albury	NLD	F	101
Albury	NLD	M	93
Albury	NPL	F	169
Albury	NPL	M	177
Albury	NZL	F	288
Albury	NZL	M	293
Albury	PAK	F	26
Albury	PAK	M	44
Albury	PHL	F	261
Albury	PHL	M	151
Albury	PNG	F	17
Albury	PNG	M	19
Albury	POL	F	22
Albury	POL	M	10
Albury	SGP	F	22
Albury	SGP	M	14
Albury	THA	F	72
Albury	THA	M	17
Albury	TWN	F	10
Albury	TWN	M	3
Albury	USA	F	69
Albury	USA	M	53
Albury	VNM	F	43
Albury	VNM	M	28
Albury	WSM	M	7
Albury	ZAF	F	85
Albury	ZAF	M	87
Albury	ZWE	F	17
Albury	ZWE	M	16
Armidale Regional		F	1843
Armidale Regional		M	1684
Armidale Regional	AFG	F	3
Armidale Regional	AUS	F	11283
Armidale Regional	AUS	M	10590
Armidale Regional	BGD	F	47
Armidale Regional	BGD	M	57
Armidale Regional	BRA	F	11
Armidale Regional	BRA	M	14
Armidale Regional	CAN	F	34
Armidale Regional	CAN	M	36
Armidale Regional	CHL	F	4
Armidale Regional	CHL	M	8
Armidale Regional	CHN	F	89
Armidale Regional	CHN	M	54
Armidale Regional	DEU	F	45
Armidale Regional	DEU	M	43
