LGA_NAME21	CoupleFamily	HasChild	HasDependentStudent	HasNonDependentChild	persons_in_families
Albury					466
Albury	0	0	0	1	1776
Albury	0	0	1	0	476
Albury	0	0	1	1	255
Albury	0	1	0	0	3200
Albury	0	1	0	1	413
Albury	0	1	1	0	732
Albury	0	1	1	1	162
Albury	1	0	0	1	2952
Albury	1	0	1	0	1277
Albury	1	0	1	1	1000
Albury	1	1	0	0	12806
Albury	1	1	0	1	752
Albury	1	1	1	0	2518
Albury	1	1	1	1	572
Armidale Regional					221
Armidale Regional	0	0	0	1	766
Armidale Regional	0	0	1	0	240
Armidale Regional	0	0	1	1	121
Armidale Regional	0	1	0	0	1425
Armidale Regional	0	1	0	1	132
Armidale Regional	0	1	1	0	382
Armidale Regional	0	1	1	1	103
Armidale Regional	1	0	0	1	1174
Armidale Regional	1	0	1	0	643
Armidale Regional	1	0	1	1	384
Armidale Regional	1	1	0	0	5681
Armidale Regional	1	1	0	1	358
Armidale Regional	1	1	1	0	1503
Armidale Regional	1	1	1	1	397
Ballina					338
Ballina	0	0	0	1	1766
Ballina	0	0	1	0	431
Ballina	0	0	1	1	181
Ballina	0	1	0	0	2084
Ballina	0	1	0	1	226
Ballina	0	1	1	0	487
Ballina	0	1	1	1	135
Ballina	1	0	0	1	2947
Ballina	1	0	1	0	1152
Ballina	1	0	1	1	719
Ballina	1	1	0	0	9669
Ballina	1	1	0	1	631
Ballina	1	1	1	0	1919
Ballina	1	1	1	1	368
Balranald					9
Balranald	0	0	0	1	50
Balranald	0	0	1	0	12
Balranald	0	0	1	1	4
Balranald	0	1	0	0	88
Balranald	0	1	0	1	3
Balranald	0	1	1	0	22
Balranald	0	1	1	1	11
Balranald	1	0	0	1	118
Balranald	1	0	1	0	31
Balranald	1	0	1	1	37
Balranald	1	1	0	0	452
Balranald	1	1	0	1	24
Balranald	1	1	1	0	104
Balranald	1	1	1	1	32
Bathurst Regional					344
Bathurst Regional	0	0	0	1	1436
Bathurst Regional	0	0	1	0	353
Bathurst Regional	0	0	1	1	224
Bathurst Regional	0	1	0	0	2380
Bathurst Regional	0	1	0	1	336
Bathurst Regional	0	1	1	0	574
Bathurst Regional	0	1	1	1	151
Bathurst Regional	1	0	0	1	2350
Bathurst Regional	1	0	1	0	1151
Bathurst Regional	1	0	1	1	868
Bathurst Regional	1	1	0	0	9620
Bathurst Regional	1	1	0	1	736
Bathurst Regional	1	1	1	0	2146
Bathurst Regional	1	1	1	1	550
Bayside (NSW)					2586
Bayside (NSW)	0	0	0	1	7224
Bayside (NSW)	0	0	1	0	1822
Bayside (NSW)	0	0	1	1	1003
Bayside (NSW)	0	1	0	0	5063
Bayside (NSW)	0	1	0	1	613
Bayside (NSW)	0	1	1	0	1203
Bayside (NSW)	0	1	1	1	278
Bayside (NSW)	1	0	0	1	13236
Bayside (NSW)	1	0	1	0	5727
Bayside (NSW)	1	0	1	1	4589
Bayside (NSW)	1	1	0	0	41621
Bayside (NSW)	1	1	0	1	1689
Bayside (NSW)	1	1	1	0	7287
Bayside (NSW)	1	1	1	1	1585
Bega Valley					186
Bega Valley	0	0	0	1	1198
Bega Valley	0	0	1	0	239
Bega Valley	0	0	1	1	101
Bega Valley	0	1	0	0	1464
Bega Valley	0	1	0	1	153
Bega Valley	0	1	1	0	316
Bega Valley	0	1	1	1	100
Bega Valley	1	0	0	1	1977
Bega Valley	1	0	1	0	626
Bega Valley	1	0	1	1	399
Bega Valley	1	1	0	0	6413
Bega Valley	1	1	0	1	652
Bega Valley	1	1	1	0	1531
Bega Valley	1	1	1	1	259
Bellingen					73
Bellingen	0	0	0	1	487
Bellingen	0	0	1	0	115
Bellingen	0	0	1	1	70
Bellingen	0	1	0	0	674
Bellingen	0	1	0	1	71
Bellingen	0	1	1	0	217
Bellingen	0	1	1	1	57
Bellingen	1	0	0	1	728
Bellingen	1	0	1	0	269
Bellingen	1	0	1	1	143
Bellingen	1	1	0	0	2514
Bellingen	1	1	0	1	228
Bellingen	1	1	1	0	525
Bellingen	1	1	1	1	82
Berrigan					58
Berrigan	0	0	0	1	208
Berrigan	0	0	1	0	53
Berrigan	0	0	1	1	18
Berrigan	0	1	0	0	301
Berrigan	0	1	0	1	44
Berrigan	0	1	1	0	98
Berrigan	0	1	1	1	5
Berrigan	1	0	0	1	462
Berrigan	1	0	1	0	110
Berrigan	1	0	1	1	107
Berrigan	1	1	0	0	1519
Berrigan	1	1	0	1	106
Berrigan	1	1	1	0	457
Berrigan	1	1	1	1	85
Blacktown					3747
Blacktown	0	0	0	1	15957
Blacktown	0	0	1	0	3155
Blacktown	0	0	1	1	2774
Blacktown	0	1	0	0	17288
Blacktown	0	1	0	1	2678
Blacktown	0	1	1	0	4415
Blacktown	0	1	1	1	1897
Blacktown	1	0	0	1	33730
Blacktown	1	0	1	0	15521
Blacktown	1	0	1	1	13732
Blacktown	1	1	0	0	127589
Blacktown	1	1	0	1	7369
