LGA_NAME16	DwellingStructure	DwellingSubtype	NumberBedrooms.min	occupied_private_dwellings
Albury				18
Albury			2	3
Albury			3	12
Albury			4	7
Albury		1 storey		84
Albury		1 storey	0	11
Albury		1 storey	1	418
Albury		1 storey	2	2372
Albury		1 storey	3	516
Albury		1 storey	4	36
Albury		1 storey	5	4
Albury		1 storey	6	6
Albury		2 storeys or more		8
Albury		2 storeys or more	1	126
Albury		2 storeys or more	2	180
Albury		2 storeys or more	3	96
Albury		2 storeys or more	4	13
Albury		2 storeys or more	5	3
Albury	(Other)			5
Albury	(Other)		0	12
Albury	(Other)		1	17
Albury	(Other)		2	23
Albury	(Other)		3	16
Albury	(Other)		4	3
Albury	Flat/apartment	1 or 2 storey block		8
Albury	Flat/apartment	1 or 2 storey block	1	87
Albury	Flat/apartment	1 or 2 storey block	2	98
Albury	Flat/apartment	1 or 2 storey block	3	21
Albury	Flat/apartment	3 storey block	0	4
Albury	Flat/apartment	3 storey block	1	8
Albury	Flat/apartment	3 storey block	2	64
Albury	Flat/apartment	4-8 storey block	2	22
Albury	Flat/apartment	4-8 storey block	3	4
Albury	Flat/apartment	Attached to a house	4	4
Albury	Separate house			218
Albury	Separate house		0	19
Albury	Separate house		1	131
Albury	Separate house		2	1882
Albury	Separate house		3	8344
Albury	Separate house		4	6231
Albury	Separate house		5	877
Albury	Separate house		6	159
Armidale Regional				10
Armidale Regional			1	6
Armidale Regional			2	6
Armidale Regional			3	7
Armidale Regional			4	8
Armidale Regional		1 storey		28
Armidale Regional		1 storey	0	6
Armidale Regional		1 storey	1	140
Armidale Regional		1 storey	2	573
Armidale Regional		1 storey	3	177
Armidale Regional		1 storey	4	14
Armidale Regional		1 storey	5	5
Armidale Regional		2 storeys or more		6
Armidale Regional		2 storeys or more	1	31
Armidale Regional		2 storeys or more	2	78
Armidale Regional		2 storeys or more	3	46
Armidale Regional		2 storeys or more	4	10
Armidale Regional	(Other)			21
Armidale Regional	(Other)		0	3
Armidale Regional	(Other)		1	8
