LGA_NAME21	AgeStudent	Sex	students
Albury	0-4	F	499
Albury	0-4	M	511
Albury	5-14	F	3196
Albury	5-14	M	3333
Albury	15-19	F	1250
Albury	15-19	M	1137
Albury	20-24	F	635
Albury	20-24	M	445
Albury	25+	F	1422
Albury	25+	M	782
Armidale Regional	0-4	F	228
Armidale Regional	0-4	M	263
Armidale Regional	5-14	F	1644
Armidale Regional	5-14	M	1609
Armidale Regional	15-19	F	820
Armidale Regional	15-19	M	700
Armidale Regional	20-24	F	595
Armidale Regional	20-24	M	455
Armidale Regional	25+	F	955
Armidale Regional	25+	M	650
Ballina	0-4	F	325
Ballina	0-4	M	387
Ballina	5-14	F	2365
Ballina	5-14	M	2623
Ballina	15-19	F	867
Ballina	15-19	M	909
Ballina	20-24	F	314
Ballina	20-24	M	247
Ballina	25+	F	1011
Ballina	25+	M	532
Balranald	0-4	F	20
Balranald	0-4	M	20
Balranald	5-14	F	116
Balranald	5-14	M	139
Balranald	15-19	F	38
Balranald	15-19	M	40
Balranald	20-24	F	15
Balranald	20-24	M	3
Balranald	25+	F	24
Balranald	25+	M	10
Bathurst Regional	0-4	F	397
Bathurst Regional	0-4	M	411
Bathurst Regional	5-14	F	2589
Bathurst Regional	5-14	M	2737
Bathurst Regional	15-19	F	1065
Bathurst Regional	15-19	M	1071
Bathurst Regional	20-24	F	537
Bathurst Regional	20-24	M	411
Bathurst Regional	25+	F	1000
Bathurst Regional	25+	M	539
Bayside (NSW)	0-4	F	1381
Bayside (NSW)	0-4	M	1432
Bayside (NSW)	5-14	F	7518
Bayside (NSW)	5-14	M	7874
Bayside (NSW)	15-19	F	3177
Bayside (NSW)	15-19	M	3281
Bayside (NSW)	20-24	F	3412
Bayside (NSW)	20-24	M	3717
Bayside (NSW)	25+	F	6471
Bayside (NSW)	25+	M	5253
Bega Valley	0-4	F	208
Bega Valley	0-4	M	210
Bega Valley	5-14	F	1745
Bega Valley	5-14	M	1844
Bega Valley	15-19	F	591
Bega Valley	15-19	M	624
Bega Valley	20-24	F	159
Bega Valley	20-24	M	95
Bega Valley	25+	F	648
Bega Valley	25+	M	292
Bellingen	0-4	F	82
Bellingen	0-4	M	90
Bellingen	5-14	F	729
Bellingen	5-14	M	767
Bellingen	15-19	F	253
Bellingen	15-19	M	245
Bellingen	20-24	F	63
Bellingen	20-24	M	43
Bellingen	25+	F	333
Bellingen	25+	M	135
Berrigan	0-4	F	57
Berrigan	0-4	M	58
Berrigan	5-14	F	435
Berrigan	5-14	M	419
Berrigan	15-19	F	144
Berrigan	15-19	M	158
Berrigan	20-24	F	45
Berrigan	20-24	M	19
Berrigan	25+	F	139
Berrigan	25+	M	51
Blacktown	0-4	F	3916
Blacktown	0-4	M	4141
Blacktown	5-14	F	27180
Blacktown	5-14	M	28495
Blacktown	15-19	F	9517
Blacktown	15-19	M	9685
Blacktown	20-24	F	5566
Blacktown	20-24	M	5373
Blacktown	25+	F	9807
Blacktown	25+	M	6591
Bland	0-4	F	47
Bland	0-4	M	47
Bland	5-14	F	316
Bland	5-14	M	342
Bland	15-19	F	99
Bland	15-19	M	83
Bland	20-24	F	34
Bland	20-24	M	15
Bland	25+	F	86
Bland	25+	M	30
Blayney	0-4	F	73
Blayney	0-4	M	74
Blayney	5-14	F	498
Blayney	5-14	M	498
Blayney	15-19	F	160
Blayney	15-19	M	171
Blayney	20-24	F	54
Blayney	20-24	M	32
Blayney	25+	F	163
Blayney	25+	M	66
Blue Mountains	0-4	F	663
Blue Mountains	0-4	M	659
Blue Mountains	5-14	F	4561
Blue Mountains	5-14	M	4754
Blue Mountains	15-19	F	1810
Blue Mountains	15-19	M	1986
Blue Mountains	20-24	F	736
Blue Mountains	20-24	M	725
Blue Mountains	25+	F	2199
Blue Mountains	25+	M	1149
Bogan	0-4	F	24
Bogan	0-4	M	24
Bogan	5-14	F	148
Bogan	5-14	M	150
Bogan	15-19	F	58
Bogan	15-19	M	46
Bogan	20-24	F	6
Bogan	20-24	M	17
Bogan	25+	F	49
Bogan	25+	M	13
Bourke	0-4	F	12
Bourke	0-4	M	28
Bourke	5-14	F	118
Bourke	5-14	M	123
Bourke	15-19	F	27
Bourke	15-19	M	30
Bourke	20-24	F	14
Bourke	20-24	M	11
Bourke	25+	F	46
Bourke	25+	M	13
Brewarrina	0-4	F	9
Brewarrina	0-4	M	13
Brewarrina	5-14	F	71
Brewarrina	5-14	M	89
Brewarrina	15-19	F	22
Brewarrina	15-19	M	23
Brewarrina	20-24	F	6
Brewarrina	20-24	M	6
Brewarrina	25+	F	18
Brewarrina	25+	M	5
Broken Hill	0-4	F	132
Broken Hill	0-4	M	130
Broken Hill	5-14	F	895
Broken Hill	5-14	M	899
Broken Hill	15-19	F	273
Broken Hill	15-19	M	263
Broken Hill	20-24	F	69
Broken Hill	20-24	M	68
Broken Hill	25+	F	397
Broken Hill	25+	M	191
Burwood	0-4	F	233
Burwood	0-4	M	217
Burwood	5-14	F	1605
Burwood	5-14	M	1484
Burwood	15-19	F	896
Burwood	15-19	M	768
Burwood	20-24	F	1553
Burwood	20-24	M	1686
Burwood	25+	F	1731
Burwood	25+	M	1417
Byron	0-4	F	241
Byron	0-4	M	228
Byron	5-14	F	1760
Byron	5-14	M	1799
Byron	15-19	F	589
Byron	15-19	M	586
Byron	20-24	F	211
Byron	20-24	M	144
Byron	25+	F	1199
Byron	25+	M	581
Cabonne	0-4	F	110
Cabonne	0-4	M	103
Cabonne	5-14	F	900
Cabonne	5-14	M	976
Cabonne	15-19	F	312
Cabonne	15-19	M	313
Cabonne	20-24	F	94
Cabonne	20-24	M	76
Cabonne	25+	F	221
Cabonne	25+	M	99
Camden	0-4	F	1576
Camden	0-4	M	1656
Camden	5-14	F	8815
Camden	5-14	M	9173
Camden	15-19	F	2984
Camden	15-19	M	2906
Camden	20-24	F	1344
Camden	20-24	M	1097
Camden	25+	F	2613
Camden	25+	M	1411
Campbelltown (NSW)	0-4	F	1583
Campbelltown (NSW)	0-4	M	1762
Campbelltown (NSW)	5-14	F	11512
Campbelltown (NSW)	5-14	M	11994
Campbelltown (NSW)	15-19	F	4082
Campbelltown (NSW)	15-19	M	4023
Campbelltown (NSW)	20-24	F	2055
Campbelltown (NSW)	20-24	M	1857
Campbelltown (NSW)	25+	F	4165
Campbelltown (NSW)	25+	M	2551
Canada Bay	0-4	F	721
Canada Bay	0-4	M	817
Canada Bay	5-14	F	4403
Canada Bay	5-14	M	4436
Canada Bay	15-19	F	1875
Canada Bay	15-19	M	1805
Canada Bay	20-24	F	1416
Canada Bay	20-24	M	1468
Canada Bay	25+	F	2647
Canada Bay	25+	M	1858
Canterbury-Bankstown	0-4	F	3118
Canterbury-Bankstown	0-4	M	3370
Canterbury-Bankstown	5-14	F	21492
Canterbury-Bankstown	5-14	M	22841
Canterbury-Bankstown	15-19	F	9113
Canterbury-Bankstown	15-19	M	9373
Canterbury-Bankstown	20-24	F	5702
Canterbury-Bankstown	20-24	M	5930
Canterbury-Bankstown	25+	F	9044
Canterbury-Bankstown	25+	M	7760
Carrathool	0-4	F	32
Carrathool	0-4	M	18
Carrathool	5-14	F	160
Carrathool	5-14	M	160
Carrathool	15-19	F	48
Carrathool	15-19	M	47
Carrathool	20-24	F	15
Carrathool	20-24	M	7
Carrathool	25+	F	54
Carrathool	25+	M	22
Central Coast (NSW)	0-4	F	3093
