LGA_NAME16	BornAust	Sex	persons
Albury	0	F	3567
Albury	0	M	3429
Albury	1	F	23845
Albury	1	M	22000
Armidale Regional	0	F	2279
Armidale Regional	0	M	2051
Armidale Regional	1	F	11283
Armidale Regional	1	M	10590
Ballina	0	F	3188
Ballina	0	M	2699
Ballina	1	F	19424
Ballina	1	M	18278
Balranald	0	F	95
Balranald	0	M	91
Balranald	1	F	841
Balranald	1	M	873
Bathurst Regional	0	F	2171
Bathurst Regional	0	M	2189
Bathurst Regional	1	F	18426
Bathurst Regional	1	M	18478
Bayside (NSW)	0	F	43176
Bayside (NSW)	0	M	41109
Bayside (NSW)	1	F	40276
Bayside (NSW)	1	M	41486
Bega Valley	0	F	2353
Bega Valley	0	M	2018
Bega Valley	1	F	14624
Bega Valley	1	M	14270
Bellingen	0	F	879
Bellingen	0	M	787
Bellingen	1	F	5412
Bellingen	1	M	5113
Berrigan	0	F	371
Berrigan	0	M	326
Berrigan	1	F	3599
Berrigan	1	M	3519
Blacktown	0	F	89523
Blacktown	0	M	86590
Blacktown	1	F	99129
Blacktown	1	M	100782
Bland	0	F	159
Bland	0	M	153
Bland	1	F	2329
Bland	1	M	2353
Blayney	0	F	240
Blayney	0	M	224
Blayney	1	F	3286
Blayney	1	M	3241
Blue Mountains	0	F	7161
Blue Mountains	0	M	6460
Blue Mountains	1	F	31753
Blue Mountains	1	M	30150
Bogan	0	F	79
Bogan	0	M	61
Bogan	1	F	1058
Bogan	1	M	1059
Bourke	0	F	54
Bourke	0	M	55
Bourke	1	F	892
Bourke	1	M	887
Brewarrina	0	F	27
Brewarrina	0	M	30
Brewarrina	1	F	539
Brewarrina	1	M	536
Broken Hill	0	F	493
Broken Hill	0	M	407
Broken Hill	1	F	7726
Broken Hill	1	M	7393
Burwood	0	F	12023
Burwood	0	M	11194
Burwood	1	F	7458
Burwood	1	M	7435
Byron	0	F	4220
Byron	0	M	3712
Byron	1	F	12670
Byron	1	M	11776
Cabonne	0	F	415
Cabonne	0	M	397
Cabonne	1	F	5918
Cabonne	1	M	5861
Camden	0	F	14049
Camden	0	M	13339
Camden	1	F	44947
Camden	1	M	43513
Campbelltown (NSW)	0	F	31989
Campbelltown (NSW)	0	M	29875
Campbelltown (NSW)	1	F	53001
Campbelltown (NSW)	1	M	52088
Canada Bay	0	F	19013
Canada Bay	0	M	16747
Canada Bay	1	F	25439
Canada Bay	1	M	24499
Canterbury-Bankstown	0	F	82970
Canterbury-Bankstown	0	M	82524
Canterbury-Bankstown	1	F	90841
Canterbury-Bankstown	1	M	91696
Carrathool	0	F	173
Carrathool	0	M	224
Carrathool	1	F	996
Carrathool	1	M	1104
Central Coast (NSW)	0	F	29342
Central Coast (NSW)	0	M	26344
Central Coast (NSW)	1	F	140344
Central Coast (NSW)	1	M	133374
Central Darling	0	F	32
Central Darling	0	M	32
Central Darling	1	F	643
Central Darling	1	M	654
Cessnock	0	F	2307
Cessnock	0	M	2282
Cessnock	1	F	27753
Cessnock	1	M	28168
Clarence Valley	0	F	2367
Clarence Valley	0	M	2097
Clarence Valley	1	F	22727
Clarence Valley	1	M	22915
Cobar	0	F	155
Cobar	0	M	139
Cobar	1	F	1519
Cobar	1	M	1592
Coffs Harbour	0	F	6560
Coffs Harbour	0	M	5698
Coffs Harbour	1	F	31789
Coffs Harbour	1	M	29991
Coolamon	0	F	104
Coolamon	0	M	99
Coolamon	1	F	1972
Coolamon	1	M	1903
Coonamble	0	F	69
Coonamble	0	M	56
Coonamble	1	F	1497
Coonamble	1	M	1542
Cootamundra-Gundagai Regional	0	F	384
Cootamundra-Gundagai Regional	0	M	397
Cootamundra-Gundagai Regional	1	F	4852
Cootamundra-Gundagai Regional	1	M	4755
Cowra	0	F	465
Cowra	0	M	438
Cowra	1	F	5412
Cowra	1	M	5328
Cumberland	0	F	59980
Cumberland	0	M	65331
Cumberland	1	F	46376
Cumberland	1	M	47181
Dubbo Regional	0	F	2607
Dubbo Regional	0	M	2683
Dubbo Regional	1	F	22779
Dubbo Regional	1	M	21948
Dungog	0	F	273
Dungog	0	M	249
Dungog	1	F	4237
Dungog	1	M	4257
Edward River	0	F	253
Edward River	0	M	230
Edward River	1	F	3604
Edward River	1	M	3483
Eurobodalla	0	F	2935
Eurobodalla	0	M	2646
Eurobodalla	1	F	16066
Eurobodalla	1	M	15541
Fairfield	0	F	61262
Fairfield	0	M	55397
Fairfield	1	F	38737
Fairfield	1	M	41662
Federation	0	F	506
Federation	0	M	427
Federation	1	F	5463
Federation	1	M	5467
Forbes	0	F	234
Forbes	0	M	165
Forbes	1	F	4057
Forbes	1	M	4012
Georges River	0	F	36444
Georges River	0	M	33649
Georges River	1	F	37971
Georges River	1	M	38551
Gilgandra	0	F	89
Gilgandra	0	M	50
Gilgandra	1	F	1821
Gilgandra	1	M	1798
Glen Innes Severn	0	F	342
Glen Innes Severn	0	M	327
Glen Innes Severn	1	F	3688
Glen Innes Severn	1	M	3602
Goulburn Mulwaree	0	F	1718
Goulburn Mulwaree	0	M	1792
Goulburn Mulwaree	1	F	13152
Goulburn Mulwaree	1	M	13234
Greater Hume Shire	0	F	348
Greater Hume Shire	0	M	332
Greater Hume Shire	1	F	4650
Greater Hume Shire	1	M	4792
Griffith	0	F	2991
Griffith	0	M	3091
Griffith	1	F	9471
Griffith	1	M	9379
Gunnedah	0	F	371
Gunnedah	0	M	309
Gunnedah	1	F	5542
Gunnedah	1	M	5530
Gwydir	0	F	118
Gwydir	0	M	84
Gwydir	1	F	2105
Gwydir	1	M	2116
Hawkesbury	0	F	4600
Hawkesbury	0	M	4327
Hawkesbury	1	F	27726
Hawkesbury	1	M	27609
Hay	0	F	97
Hay	0	M	99
Hay	1	F	1163
Hay	1	M	1142
Hilltops	0	F	772
Hilltops	0	M	682
Hilltops	1	F	8243
Hilltops	1	M	7964
Hornsby	0	F	32522
Hornsby	0	M	29181
Hornsby	1	F	43225
Hornsby	1	M	43495
Hunters Hill	0	F	2033
Hunters Hill	0	M	1800
Hunters Hill	1	F	4694
Hunters Hill	1	M	4550
Inner West	0	F	31604
Inner West	0	M	29390
Inner West	1	F	58486
Inner West	1	M	55880
Inverell	0	F	655
Inverell	0	M	618
Inverell	1	F	7511
Inverell	1	M	7236
Junee	0	F	193
Junee	0	M	354
Junee	1	F	2380
Junee	1	M	3069
Kempsey	0	F	1235
Kempsey	0	M	1166
Kempsey	1	F	12681
Kempsey	1	M	12910
Kiama	0	F	1802
Kiama	0	M	1548
Kiama	1	F	9581
Kiama	1	M	9191
Ku-ring-gai	0	F	28197
Ku-ring-gai	0	M	24646
Ku-ring-gai	1	F	34627
Ku-ring-gai	1	M	33956
Kyogle	0	F	498
Kyogle	0	M	443
Kyogle	1	F	3746
Kyogle	1	M	3706
Lachlan	0	F	146
Lachlan	0	M	154
Lachlan	1	F	2489
Lachlan	1	M	2524
Lake Macquarie	0	F	12215
Lake Macquarie	0	M	10890
Lake Macquarie	1	F	93319
Lake Macquarie	1	M	89514
Lane Cove	0	F	8027
Lane Cove	0	M	7227
Lane Cove	1	F	11410
Lane Cove	1	M	11491
Leeton	0	F	638
Leeton	0	M	601
Leeton	1	F	4674
Leeton	1	M	4550
Lismore	0	F	2410
Lismore	0	M	2183
Lismore	1	F	18418
Lismore	1	M	17830
Lithgow	0	F	1061
Lithgow	0	M	1037
Lithgow	1	F	8478
Lithgow	1	M	8638
Liverpool	0	F	51941
Liverpool	0	M	48960
Liverpool	1	F	58955
Liverpool	1	M	60539
Liverpool Plains	0	F	193
Liverpool Plains	0	M	163
Liverpool Plains	1	F	3124
Liverpool Plains	1	M	3155
Lockhart	0	F	78
Lockhart	0	M	76
Lockhart	1	F	1458
Lockhart	1	M	1425
Maitland	0	F	4360
Maitland	0	M	3934
Maitland	1	F	40232
Maitland	1	M	38212
Mid-Coast	0	F	5112
Mid-Coast	0	M	4663
Mid-Coast	1	F	40611
Mid-Coast	1	M	38746
Mid-Western Regional	0	F	1103
Mid-Western Regional	0	M	985
Mid-Western Regional	1	F	10668
Mid-Western Regional	1	M	10900
Moree Plains	0	F	362
Moree Plains	0	M	352
Moree Plains	1	F	4661
Moree Plains	1	M	4671
Mosman	0	F	5491
Mosman	0	M	4519
Mosman	1	F	9339
Mosman	1	M	8083
Murray River	0	F	507
Murray River	0	M	449
Murray River	1	F	5393
Murray River	1	M	5376
Murrumbidgee	0	F	106
Murrumbidgee	0	M	111
Murrumbidgee	1	F	1334
Murrumbidgee	1	M	1443
Muswellbrook	0	F	682
Muswellbrook	0	M	705
Muswellbrook	1	F	6762
Muswellbrook	1	M	7105
Nambucca Valley	0	F	1117
Nambucca Valley	0	M	923
Nambucca Valley	1	F	8424
Nambucca Valley	1	M	8090
Narrabri	0	F	290
Narrabri	0	M	276
Narrabri	1	F	5323
Narrabri	1	M	5343
Narrandera	0	F	164
Narrandera	0	M	156
Narrandera	1	F	2438
Narrandera	1	M	2366
Narromine	0	F	125
Narromine	0	M	130
Narromine	1	F	2560
Narromine	1	M	2628
Newcastle	0	F	12746
Newcastle	0	M	12263
Newcastle	1	F	69534
Newcastle	1	M	66946
North Sydney	0	F	14879
North Sydney	0	M	12653
North Sydney	1	F	20146
North Sydney	1	M	18499
Northern Beaches	0	F	41698
Northern Beaches	0	M	37981
Northern Beaches	1	F	88827
Northern Beaches	1	M	87047
Oberon	0	F	246
Oberon	0	M	322
Oberon	1	F	2076
Oberon	1	M	2216
Orange	0	F	2389
Orange	0	M	2241
Orange	1	F	18676
Orange	1	M	17727
Parkes	0	F	422
Parkes	0	M	386
Parkes	1	F	6223
Parkes	1	M	6172
Parramatta	0	F	69278
Parramatta	0	M	67564
Parramatta	1	F	53358
Parramatta	1	M	55451
Penrith	0	F	26140
Penrith	0	M	24655
Penrith	1	F	77973
Penrith	1	M	77181
Port Macquarie-Hastings	0	F	5638
Port Macquarie-Hastings	0	M	5032
Port Macquarie-Hastings	1	F	37360
Port Macquarie-Hastings	1	M	34370
Port Stephens	0	F	4731
Port Stephens	0	M	4329
Port Stephens	1	F	31623
Port Stephens	1	M	30775
Queanbeyan-Palerang Regional	0	F	5815
Queanbeyan-Palerang Regional	0	M	5803
Queanbeyan-Palerang Regional	1	F	24088
Queanbeyan-Palerang Regional	1	M	24463
Randwick	0	F	28020
Randwick	0	M	25164
Randwick	1	F	37746
Randwick	1	M	37018
Richmond Valley	0	F	776
Richmond Valley	0	M	645
Richmond Valley	1	F	9975
Richmond Valley	1	M	9735
Ryde	0	F	33455
Ryde	0	M	29880
Ryde	1	F	30332
Ryde	1	M	30959
Shellharbour	0	F	6513
Shellharbour	0	M	5770
Shellharbour	1	F	30736
Shellharbour	1	M	29810
Shoalhaven	0	F	7593
Shoalhaven	0	M	7035
Shoalhaven	1	F	43691
Shoalhaven	1	M	43094
Singleton	0	F	1052
Singleton	0	M	1020
Singleton	1	F	10227
Singleton	1	M	10765
Snowy Monaro Regional	0	F	1501
Snowy Monaro Regional	0	M	1457
Snowy Monaro Regional	1	F	8228
Snowy Monaro Regional	1	M	8856
Snowy Valleys	0	F	673
Snowy Valleys	0	M	690
Snowy Valleys	1	F	6104
Snowy Valleys	1	M	6174
Strathfield	0	F	13228
Strathfield	0	M	13631
Strathfield	1	F	8005
Strathfield	1	M	8513
Sutherland Shire	0	F	23619
Sutherland Shire	0	M	20773
Sutherland Shire	1	F	90838
Sutherland Shire	1	M	88523
Sydney	0	F	50759
Sydney	0	M	52172
Sydney	1	F	43878
Sydney	1	M	50601
Tamworth Regional	0	F	2667
Tamworth Regional	0	M	2622
Tamworth Regional	1	F	27173
Tamworth Regional	1	M	26000
Temora	0	F	169
Temora	0	M	150
Temora	1	F	2735
Temora	1	M	2629
Tenterfield	0	F	289
Tenterfield	0	M	301
Tenterfield	1	F	2818
Tenterfield	1	M	2680
The Hills Shire	0	F	40131
The Hills Shire	0	M	37303
The Hills Shire	1	F	55014
The Hills Shire	1	M	55345
Tweed	0	F	8044
Tweed	0	M	6975
Tweed	1	F	39134
Tweed	1	M	36502
Upper Hunter Shire	0	F	656
Upper Hunter Shire	0	M	655
Upper Hunter Shire	1	F	5988
Upper Hunter Shire	1	M	5956
Upper Lachlan Shire	0	F	318
Upper Lachlan Shire	0	M	332
Upper Lachlan Shire	1	F	3528
Upper Lachlan Shire	1	M	3580
Uralla	0	F	234
Uralla	0	M	189
Uralla	1	F	2629
Uralla	1	M	2470
Wagga Wagga	0	F	3802
Wagga Wagga	0	M	3881
Wagga Wagga	1	F	29044
Wagga Wagga	1	M	27085
Walcha	0	F	85
Walcha	0	M	79
Walcha	1	F	1261
Walcha	1	M	1273
Walgett	0	F	224
Walgett	0	M	218
Walgett	1	F	1650
Walgett	1	M	1753
Warren	0	F	75
Warren	0	M	60
Warren	1	F	1042
Warren	1	M	1067
Warrumbungle Shire	0	F	280
Warrumbungle Shire	0	M	264
Warrumbungle Shire	1	F	3668
Warrumbungle Shire	1	M	3690
Waverley	0	F	15167
Waverley	0	M	13410
Waverley	1	F	18278
Waverley	1	M	18045
Weddin	0	F	106
Weddin	0	M	94
Weddin	1	F	1501
Weddin	1	M	1588
Wentworth	0	F	241
Wentworth	0	M	224
Wentworth	1	F	2883
Wentworth	1	M	3080
Willoughby	0	F	19167
Willoughby	0	M	16006
Willoughby	1	F	18859
Willoughby	1	M	19321
Wingecarribee	0	F	4902
Wingecarribee	0	M	4577
Wingecarribee	1	F	21059
Wingecarribee	1	M	19397
Wollondilly	0	F	3099
Wollondilly	0	M	2900
Wollondilly	1	F	22543
Wollondilly	1	M	22869
Wollongong	0	F	23476
Wollongong	0	M	21610
Wollongong	1	F	81082
Wollongong	1	M	79566
Woollahra	0	F	9865
Woollahra	0	M	8522
Woollahra	1	F	17488
Woollahra	1	M	15311
Yass Valley	0	F	980
Yass Valley	0	M	904
Yass Valley	1	F	7395
Yass Valley	1	M	7146
Unincorporated NSW	0	F	57
Unincorporated NSW	0	M	50
Unincorporated NSW	1	F	385
Unincorporated NSW	1	M	441
No usual address (NSW)	0	F	936
No usual address (NSW)	0	M	971
No usual address (NSW)	1	F	2601
No usual address (NSW)	1	M	3314
Alpine	0	F	990
Alpine	0	M	886
Alpine	1	F	5162
Alpine	1	M	5171
Ararat	0	F	576
Ararat	0	M	762
Ararat	1	F	4641
Ararat	1	M	5083
Ballarat	0	F	6685
Ballarat	0	M	6185
Ballarat	1	F	49457
Ballarat	1	M	45759
Banyule	0	F	16241
Banyule	0	M	14677
Banyule	1	F	46675
Banyule	1	M	44755
Bass Coast	0	F	3192
Bass Coast	0	M	2986
Bass Coast	1	F	16162
Bass Coast	1	M	15355
Baw Baw	0	F	3665
Baw Baw	0	M	3283
Baw Baw	1	F	24173
Baw Baw	1	M	23015
