LGA_NAME21	medianTotalHouseholdIncome
Kingston (SA)	61568
Light	92612
Lower Eyre Peninsula	80964
Loxton Waikerie	60788
Maralinga Tjarutja	68224
Marion	80964
Mid Murray	47736
Mitcham	103792
Mount Barker	91156
Mount Gambier	64064
Mount Remarkable	58188
Murray Bridge	57668
Naracoorte Lucindale	74620
Northern Areas	59644
Norwood Payneham and St Peters	86528
Onkaparinga	73320
Orroroo Carrieton	56004
Peterborough	37284
Playford	65676
Port Adelaide Enfield	76232
Port Augusta	66300
Port Lincoln	64636
Port Pirie	55276
Prospect	104260
Renmark Paringa	63752
Robe	63440
Roxby Downs	163280
Salisbury	70512
Southern Mallee	68224
Streaky Bay	57668
Tatiara	76440
Tea Tree Gully	85020
Coorong	56368
Tumby Bay	59228
Unley	103948
Victor Harbor	50960
Wakefield	59176
Walkerville	106704
Wattle Range	61360
West Torrens	82524
Whyalla	61776
Wudinna	71708
Yankalilla	54704
Yorke Peninsula	49920
Unincorporated SA	57460
No usual address (SA)	
Migratory - Offshore - Shipping (SA)	
Albany	70200
Armadale	92248
Ashburton	152724
Augusta Margaret River	79508
Bassendean	90376
Bayswater	90428
Belmont	85332
Beverley	54756
Boddington	91520
Boyup Brook	65780
Bridgetown-Greenbushes	63336
Brookton	66768
Broome	108732
Broomehill-Tambellup	71032
Bruce Rock	66768
Bunbury	68952
Busselton	75868
Cambridge	154128
Canning	95576
Capel	101348
Carnamah	64168
Carnarvon	72852
Chapman Valley	106392
Chittering	106288
Christmas Island	109668
Claremont	117104
Cockburn	103740
Cocos Islands	130988
Collie	64168
Coolgardie	98436
Coorow	53560
Corrigin	72748
Cottesloe	171756
Cranbrook	66924
Cuballing	64272
Cue	35464
Cunderdin	77792
Dalwallinu	94224
Dandaragan	67860
Dardanup	90792
Denmark	58968
Derby-West Kimberley	68900
Donnybrook-Balingup	69264
Dowerin	62244
Dumbleyung	65520
Dundas	43004
East Fremantle	118976
East Pilbara	130312
Esperance	79092
Exmouth	102908
Fremantle	98124
Gingin	69212
Gnowangerup	77064
Goomalling	63284
Gosnells	86112
Greater Geraldton	79872
Halls Creek	57096
Harvey	92976
Irwin	60736
Jerramungup	73892
Joondalup	112580
Kalamunda	97032
Kalgoorlie-Boulder	120848
Karratha	164216
Katanning	69836
Kellerberrin	56056
Kent	92768
Kojonup	75192
Kondinin	67236
Koorda	69732
Kulin	94640
Kwinana	89232
Lake Grace	89180
Laverton	50232
Leonora	101452
Mandurah	66196
Manjimup	62972
Meekatharra	64636
Melville	108992
Menzies	65520
Merredin	71760
Mingenew	76336
Moora	75140
Morawa	75036
Mosman Park	110864
Mount Magnet	62608
Mount Marshall	72592
Mukinbudin	80444
Mundaring	99164
Murchison	85748
Murray	71136
Nannup	56888
Narembeen	77116
Narrogin	68120
Nedlands	167752
Ngaanyatjarraku	63856
Northam	68432
Northampton	57720
Nungarin	56524
Peppermint Grove	237380
Perenjori	85904
Perth	100412
Pingelly	51792
Plantagenet	61412
Port Hedland	148980
Quairading	58708
Ravensthorpe	86060
Rockingham	89648
