LGA_NAME21	Age5yr	Indigenous	Sex	persons
Albury	0-4		F	96
Albury	0-4		M	113
Albury	0-4	0	F	1492
Albury	0-4	0	M	1559
Albury	0-4	1	F	145
Albury	0-4	1	M	162
Albury	5-9		F	104
Albury	5-9		M	111
Albury	5-9	0	F	1554
Albury	5-9	0	M	1608
Albury	5-9	1	F	115
Albury	5-9	1	M	152
Albury	10-14		F	76
Albury	10-14		M	99
Albury	10-14	0	F	1438
Albury	10-14	0	M	1510
Albury	10-14	1	F	133
Albury	10-14	1	M	100
Albury	15-19		F	82
Albury	15-19		M	105
Albury	15-19	0	F	1483
Albury	15-19	0	M	1459
Albury	15-19	1	F	114
Albury	15-19	1	M	106
Albury	20-24		F	90
Albury	20-24		M	97
Albury	20-24	0	F	1571
Albury	20-24	0	M	1492
Albury	20-24	1	F	113
Albury	20-24	1	M	104
Albury	25-29		F	99
Albury	25-29		M	115
Albury	25-29	0	F	1658
Albury	25-29	0	M	1735
Albury	25-29	1	F	84
Albury	25-29	1	M	67
Albury	30-34		F	95
Albury	30-34		M	91
Albury	30-34	0	F	1724
Albury	30-34	0	M	1524
Albury	30-34	1	F	68
Albury	30-34	1	M	51
Albury	35-39		F	104
Albury	35-39		M	113
Albury	35-39	0	F	1657
Albury	35-39	0	M	1556
Albury	35-39	1	F	68
Albury	35-39	1	M	46
Albury	40-44		F	69
Albury	40-44		M	89
Albury	40-44	0	F	1607
Albury	40-44	0	M	1494
Albury	40-44	1	F	54
Albury	40-44	1	M	38
Albury	45-49		F	72
Albury	45-49		M	88
Albury	45-49	0	F	1613
Albury	45-49	0	M	1431
Albury	45-49	1	F	52
Albury	45-49	1	M	33
Albury	50-54		F	76
Albury	50-54		M	95
Albury	50-54	0	F	1624
Albury	50-54	0	M	1543
Albury	50-54	1	F	56
Albury	50-54	1	M	43
Albury	55-59		F	87
Albury	55-59		M	93
Albury	55-59	0	F	1617
Albury	55-59	0	M	1487
Albury	55-59	1	F	41
Albury	55-59	1	M	25
Albury	60-64		F	72
Albury	60-64		M	82
Albury	60-64	0	F	1741
Albury	60-64	0	M	1538
Albury	60-64	1	F	30
Albury	60-64	1	M	29
Albury	65+		F	287
Albury	65+		M	225
Albury	65+	0	F	5711
Albury	65+	0	M	4635
Albury	65+	1	F	53
Albury	65+	1	M	53
Armidale Regional	0-4		F	51
Armidale Regional	0-4		M	70
Armidale Regional	0-4	0	F	569
Armidale Regional	0-4	0	M	609
Armidale Regional	0-4	1	F	128
Armidale Regional	0-4	1	M	141
Armidale Regional	5-9		F	66
Armidale Regional	5-9		M	68
Armidale Regional	5-9	0	F	660
Armidale Regional	5-9	0	M	684
Armidale Regional	5-9	1	F	130
Armidale Regional	5-9	1	M	145
Armidale Regional	10-14		F	108
Armidale Regional	10-14		M	85
Armidale Regional	10-14	0	F	759
Armidale Regional	10-14	0	M	709
Armidale Regional	10-14	1	F	135
Armidale Regional	10-14	1	M	113
Armidale Regional	15-19		F	212
Armidale Regional	15-19		M	154
Armidale Regional	15-19	0	F	897
Armidale Regional	15-19	0	M	804
Armidale Regional	15-19	1	F	150
Armidale Regional	15-19	1	M	111
Armidale Regional	20-24		F	195
Armidale Regional	20-24		M	174
Armidale Regional	20-24	0	F	890
Armidale Regional	20-24	0	M	894
Armidale Regional	20-24	1	F	101
Armidale Regional	20-24	1	M	72
Armidale Regional	25-29		F	95
Armidale Regional	25-29		M	105
Armidale Regional	25-29	0	F	816
Armidale Regional	25-29	0	M	765
Armidale Regional	25-29	1	F	100
Armidale Regional	25-29	1	M	70
Armidale Regional	30-34		F	83
Armidale Regional	30-34		M	78
Armidale Regional	30-34	0	F	774
