LGA_NAME16	MaxSchoolingCompleted	Sex	persons
Albury	Did not go to school	F	213
Albury	Did not go to school	M	193
Albury	Year 8	F	972
Albury	Year 8	M	950
Albury	Year 9	F	1566
Albury	Year 9	M	1668
Albury	Year 10	F	5558
Albury	Year 10	M	5511
Albury	Year 11	F	2519
Albury	Year 11	M	2479
Albury	Year 12	F	11482
Albury	Year 12	M	9419
Armidale Regional	Did not go to school	F	116
Armidale Regional	Did not go to school	M	85
Armidale Regional	Year 8	F	442
Armidale Regional	Year 8	M	512
Armidale Regional	Year 9	F	715
Armidale Regional	Year 9	M	722
Armidale Regional	Year 10	F	2318
Armidale Regional	Year 10	M	2383
Armidale Regional	Year 11	F	726
Armidale Regional	Year 11	M	738
Armidale Regional	Year 12	F	6767
Armidale Regional	Year 12	M	5734
Ballina	Did not go to school	F	53
Ballina	Did not go to school	M	55
Ballina	Year 8	F	712
Ballina	Year 8	M	754
Ballina	Year 9	F	1414
Ballina	Year 9	M	1360
Ballina	Year 10	F	5440
Ballina	Year 10	M	5030
Ballina	Year 11	F	1413
Ballina	Year 11	M	1392
Ballina	Year 12	F	10015
Ballina	Year 12	M	8494
Balranald	Did not go to school	F	7
Balranald	Did not go to school	M	5
Balranald	Year 8	F	63
Balranald	Year 8	M	83
Balranald	Year 9	F	58
Balranald	Year 9	M	91
Balranald	Year 10	F	173
Balranald	Year 10	M	218
Balranald	Year 11	F	99
Balranald	Year 11	M	102
Balranald	Year 12	F	329
Balranald	Year 12	M	247
Bathurst Regional	Did not go to school	F	64
Bathurst Regional	Did not go to school	M	58
Bathurst Regional	Year 8	F	625
Bathurst Regional	Year 8	M	734
Bathurst Regional	Year 9	F	1286
Bathurst Regional	Year 9	M	1264
Bathurst Regional	Year 10	F	4491
Bathurst Regional	Year 10	M	4960
Bathurst Regional	Year 11	F	1233
Bathurst Regional	Year 11	M	1300
Bathurst Regional	Year 12	F	8963
Bathurst Regional	Year 12	M	7380
Bayside (NSW)	Did not go to school	F	1469
Bayside (NSW)	Did not go to school	M	1033
Bayside (NSW)	Year 8	F	3544
Bayside (NSW)	Year 8	M	2684
Bayside (NSW)	Year 9	F	2340
Bayside (NSW)	Year 9	M	2256
Bayside (NSW)	Year 10	F	8861
Bayside (NSW)	Year 10	M	9360
Bayside (NSW)	Year 11	F	3146
Bayside (NSW)	Year 11	M	3704
Bayside (NSW)	Year 12	F	50568
Bayside (NSW)	Year 12	M	49508
Bega Valley	Did not go to school	F	32
Bega Valley	Did not go to school	M	44
Bega Valley	Year 8	F	620
Bega Valley	Year 8	M	744
Bega Valley	Year 9	F	1043
Bega Valley	Year 9	M	1194
Bega Valley	Year 10	F	4049
Bega Valley	Year 10	M	4293
Bega Valley	Year 11	F	1497
Bega Valley	Year 11	M	1417
Bega Valley	Year 12	F	7243
Bega Valley	Year 12	M	5895
Bellingen	Did not go to school	F	15
Bellingen	Did not go to school	M	23
Bellingen	Year 8	F	210
Bellingen	Year 8	M	220
Bellingen	Year 9	F	432
Bellingen	Year 9	M	468
Bellingen	Year 10	F	1393
Bellingen	Year 10	M	1495
Bellingen	Year 11	F	372
Bellingen	Year 11	M	414
Bellingen	Year 12	F	2858
Bellingen	Year 12	M	2202
Berrigan	Did not go to school	F	8
Berrigan	Did not go to school	M	3
Berrigan	Year 8	F	206
Berrigan	Year 8	M	285
Berrigan	Year 9	F	341
Berrigan	Year 9	M	415
Berrigan	Year 10	F	877
Berrigan	Year 10	M	974
Berrigan	Year 11	F	502
Berrigan	Year 11	M	498
Berrigan	Year 12	F	1327
Berrigan	Year 12	M	997
Blacktown	Did not go to school	F	2315
Blacktown	Did not go to school	M	1610
Blacktown	Year 8	F	6200
Blacktown	Year 8	M	5197
Blacktown	Year 9	F	7337
Blacktown	Year 9	M	7297
Blacktown	Year 10	F	24956
Blacktown	Year 10	M	26035
Blacktown	Year 11	F	7723
Blacktown	Year 11	M	8320
Blacktown	Year 12	F	96597
Blacktown	Year 12	M	92260
Bland	Did not go to school	F	4
Bland	Did not go to school	M	9
Bland	Year 8	F	98
Bland	Year 8	M	136
Bland	Year 9	F	183
Bland	Year 9	M	246
Bland	Year 10	F	672
Bland	Year 10	M	834
Bland	Year 11	F	182
Bland	Year 11	M	155
Bland	Year 12	F	862
Bland	Year 12	M	610
Blayney	Did not go to school	F	7
Blayney	Did not go to school	M	11
Blayney	Year 8	F	133
Blayney	Year 8	M	152
Blayney	Year 9	F	212
Blayney	Year 9	M	284
Blayney	Year 10	F	877
Blayney	Year 10	M	1045
Blayney	Year 11	F	224
Blayney	Year 11	M	196
Blayney	Year 12	F	1365
Blayney	Year 12	M	1015
Blue Mountains	Did not go to school	F	82
Blue Mountains	Did not go to school	M	78
Blue Mountains	Year 8	F	663
Blue Mountains	Year 8	M	711
Blue Mountains	Year 9	F	1640
Blue Mountains	Year 9	M	1633
Blue Mountains	Year 10	F	7288
Blue Mountains	Year 10	M	7178
Blue Mountains	Year 11	F	1954
Blue Mountains	Year 11	M	2060
Blue Mountains	Year 12	F	20599
Blue Mountains	Year 12	M	18066
Bogan	Did not go to school	F	6
Bogan	Did not go to school	M	4
Bogan	Year 8	F	35
Bogan	Year 8	M	69
Bogan	Year 9	F	75
Bogan	Year 9	M	96
Bogan	Year 10	F	284
Bogan	Year 10	M	359
Bogan	Year 11	F	75
Bogan	Year 11	M	76
Bogan	Year 12	F	399
Bogan	Year 12	M	288
Bourke	Did not go to school	F	3
Bourke	Did not go to school	M	8
Bourke	Year 8	F	54
Bourke	Year 8	M	71
Bourke	Year 9	F	74
Bourke	Year 9	M	70
Bourke	Year 10	F	183
Bourke	Year 10	M	219
Bourke	Year 11	F	55
Bourke	Year 11	M	72
Bourke	Year 12	F	362
Bourke	Year 12	M	271
Brewarrina	Did not go to school	F	6
Brewarrina	Did not go to school	M	6
Brewarrina	Year 8	F	40
Brewarrina	Year 8	M	47
Brewarrina	Year 9	F	50
Brewarrina	Year 9	M	71
Brewarrina	Year 10	F	149
Brewarrina	Year 10	M	132
Brewarrina	Year 11	F	58
Brewarrina	Year 11	M	28
Brewarrina	Year 12	F	153
Brewarrina	Year 12	M	135
Broken Hill	Did not go to school	F	15
Broken Hill	Did not go to school	M	33
Broken Hill	Year 8	F	604
Broken Hill	Year 8	M	616
Broken Hill	Year 9	F	874
Broken Hill	Year 9	M	776
Broken Hill	Year 10	F	2414
Broken Hill	Year 10	M	2449
Broken Hill	Year 11	F	577
Broken Hill	Year 11	M	636
Broken Hill	Year 12	F	2310
Broken Hill	Year 12	M	1837
Burwood	Did not go to school	F	431
Burwood	Did not go to school	M	363
Burwood	Year 8	F	832
Burwood	Year 8	M	621
Burwood	Year 9	F	529
Burwood	Year 9	M	486
Burwood	Year 10	F	1478
Burwood	Year 10	M	1383
Burwood	Year 11	F	563
Burwood	Year 11	M	619
Burwood	Year 12	F	13037
Burwood	Year 12	M	12626
Byron	Did not go to school	F	23
Byron	Did not go to school	M	30
Byron	Year 8	F	256
Byron	Year 8	M	316
Byron	Year 9	F	537
Byron	Year 9	M	562
Byron	Year 10	F	2619
Byron	Year 10	M	2626
Byron	Year 11	F	941
