LGA_NAME21	medianMortgageRepayment
Loxton Waikerie	12996
Maralinga Tjarutja	
Marion	20388
Mid Murray	12996
Mitcham	23772
Mount Barker	19224
Mount Gambier	13524
Mount Remarkable	11028
Murray Bridge	13524
Naracoorte Lucindale	12996
Northern Areas	9672
Norwood Payneham and St Peters	24000
Onkaparinga	17388
Orroroo Carrieton	7800
Peterborough	7020
Playford	15600
Port Adelaide Enfield	19200
Port Augusta	13836
Port Lincoln	15600
Port Pirie	11436
Prospect	23364
Renmark Paringa	12996
Robe	14400
Roxby Downs	18204
Salisbury	15600
Southern Mallee	8064
Streaky Bay	12996
Tatiara	10404
Tea Tree Gully	18204
Coorong	10560
Tumby Bay	13656
Unley	26004
Victor Harbor	15600
Wakefield	11016
Walkerville	26004
Wattle Range	11436
West Torrens	20796
Whyalla	12996
Wudinna	9360
Yankalilla	15600
Yorke Peninsula	11964
Unincorporated SA	7500
No usual address (SA)	
Migratory - Offshore - Shipping (SA)	
Albany	18204
Armadale	21000
Ashburton	19356
Augusta Margaret River	20796
Bassendean	21612
Bayswater	22560
Belmont	20796
Beverley	13920
Boddington	20280
Boyup Brook	14544
Bridgetown-Greenbushes	16896
Brookton	15600
Broome	26004
Broomehill-Tambellup	9372
Bruce Rock	8976
Bunbury	17760
Busselton	21060
Cambridge	36000
Canning	21936
Capel	20796
Carnamah	10404
Carnarvon	15600
Chapman Valley	24000
Chittering	25200
Christmas Island	15600
Claremont	36000
Cockburn	23400
Cocos Islands	23664
Collie	15600
Coolgardie	11700
Coorow	14400
Corrigin	10404
Cottesloe	46020
Cranbrook	12996
Cuballing	13524
Cue	8700
Cunderdin	14400
Dalwallinu	12996
Dandaragan	18720
Dardanup	20280
Denmark	18204
Derby-West Kimberley	19548
Donnybrook-Balingup	18744
Dowerin	8244
Dumbleyung	6180
Dundas	7200
East Fremantle	31200
East Pilbara	12996
Esperance	18720
Exmouth	25236
Fremantle	26004
Gingin	20400
Gnowangerup	9360
Goomalling	12000
Gosnells	20796
Greater Geraldton	18228
Halls Creek	19200
Harvey	20796
Irwin	18444
Jerramungup	12048
Joondalup	24960
Kalamunda	22884
Kalgoorlie-Boulder	19200
Karratha	24000
Katanning	12660
Kellerberrin	10404
Kent	2760
Kojonup	12876
Kondinin	7800
Koorda	8976
Kulin	6552
Kwinana	20688
Lake Grace	12000
Laverton	4956
Leonora	8196
Mandurah	20796
Manjimup	15600
Meekatharra	7800
Melville	26400
Menzies	4764
Merredin	12936
Mingenew	8748
Moora	12000
Morawa	6000
Mosman Park	36000
Mount Magnet	6504
Mount Marshall	7800
Mukinbudin	9336
Mundaring	23400
Murchison	21600
Murray	21000
Nannup	16800
Narembeen	8640
Narrogin	14292
Nedlands	42000
Ngaanyatjarraku	
Northam	16716
Northampton	15600
Nungarin	12000
Peppermint Grove	50004
Perenjori	9360
Perth	23088
Pingelly	10404
Plantagenet	15336
Port Hedland	18204
Quairading	9600
Ravensthorpe	12348
Rockingham	20796
Sandstone	18204
Serpentine-Jarrahdale	23664
Shark Bay	16644
South Perth	26400
Stirling	23604
Subiaco	30468
Swan	22104
Tammin	6756
Three Springs	7800
Toodyay	18768
Trayning	6372
Upper Gascoyne	9912
Victoria Park	24000
Victoria Plains	6444
Vincent	26364
Wagin	10500
Wandering	19200
Wanneroo	22800
Waroona	19500
West Arthur	10980
Westonia	4800
Wickepin	10404
Williams	15420
Wiluna	
Wongan-Ballidu	11916
Woodanilling	13776
Wyalkatchem	7800
Wyndham-East Kimberley	24000
Yalgoo	2676
Yilgarn	9480
York	16848
No usual address (WA)	
Migratory - Offshore - Shipping (WA)	20796
Break O'Day	12996
Brighton	16704
Burnie	13548
Central Coast (Tas.)	15600
Central Highlands (Tas.)	10800
Circular Head	12996
Clarence	18492
Derwent Valley	14820
Devonport	14400
Dorset	12996
Flinders (Tas.)	10404
George Town	12996
Glamorgan-Spring Bay	13236
Glenorchy	16044
Hobart	21600
Huon Valley	15600
Kentish	14976
King Island	12996
Kingborough	19500
Latrobe (Tas.)	15864
Launceston	15600
Meander Valley	15864
Northern Midlands	15600
Sorell	16800
Southern Midlands	15600
Tasman	12996
Waratah-Wynyard	14400
West Coast	7800
West Tamar	16368
No usual address (Tas.)	
Migratory - Offshore - Shipping (Tas.)	
Alice Springs	21600
Barkly	13044
Belyuen	
Central Desert	5976
Coomalie	18204
Darwin	24000
Darwin Waterfront Precinct	22884
East Arnhem	11964
Katherine	19500
Litchfield	27036
MacDonnell	9096
Palmerston	24444
Roper Gulf	15480
Tiwi Islands	10140
Victoria Daly	14040
Wagait	19164
West Arnhem	5856
West Daly	
Unincorporated NT	21420
No usual address (NT)	
Migratory - Offshore - Shipping (NT)	
Unincorporated ACT	24960
No usual address (ACT)	
Migratory - Offshore - Shipping (ACT)	
Unincorp. Other Territories	15600
No usual address (OT)	
Migratory - Offshore - Shipping (OT)	
