LGA_NAME21	PrivateDwelling	Sex	persons
Albury	0	F	2135
Albury	0	M	1967
Albury	1	F	26778
Albury	1	M	24950
Armidale Regional	0	F	2184
Armidale Regional	0	M	1866
Armidale Regional	1	F	12814
Armidale Regional	1	M	12089
Ballina	0	F	1696
Ballina	0	M	1483
Ballina	1	F	22312
Ballina	1	M	20797
Balranald	0	F	205
Balranald	0	M	268
Balranald	1	F	911
Balranald	1	M	916
Bathurst Regional	0	F	1717
Bathurst Regional	0	M	2736
Bathurst Regional	1	F	19949
Bathurst Regional	1	M	19287
Bayside (NSW)	0	F	5086
Bayside (NSW)	0	M	5391
Bayside (NSW)	1	F	82714
Bayside (NSW)	1	M	81849
Bega Valley	0	F	1732
Bega Valley	0	M	1874
Bega Valley	1	F	16688
Bega Valley	1	M	15958
Bellingen	0	F	721
Bellingen	0	M	679
Bellingen	1	F	6237
Bellingen	1	M	5843
Berrigan	0	F	502
Berrigan	0	M	486
Berrigan	1	F	3808
Berrigan	1	M	3688
Blacktown	0	F	10408
Blacktown	0	M	11244
Blacktown	1	F	188405
Blacktown	1	M	186285
Bland	0	F	317
Bland	0	M	519
Bland	1	F	2461
Bland	1	M	2484
Blayney	0	F	248
Blayney	0	M	296
Blayney	1	F	3482
Blayney	1	M	3397
Blue Mountains	0	F	1778
Blue Mountains	0	M	1634
Blue Mountains	1	F	38377
Blue Mountains	1	M	36109
Bogan	0	F	121
Bogan	0	M	198
Bogan	1	F	1130
Bogan	1	M	1122
Bourke	0	F	275
Bourke	0	M	302
Bourke	1	F	968
Bourke	1	M	966
Brewarrina	0	F	159
Brewarrina	0	M	152
Brewarrina	1	F	552
Brewarrina	1	M	560
Broken Hill	0	F	1033
Broken Hill	0	M	994
Broken Hill	1	F	8090
Broken Hill	1	M	7646
Burwood	0	F	1273
Burwood	0	M	1182
Burwood	1	F	19223
Burwood	1	M	18432
Byron	0	F	2462
Byron	0	M	2412
Byron	1	F	16595
Byron	1	M	15096
Cabonne	0	F	587
Cabonne	0	M	566
Cabonne	1	F	6327
Cabonne	1	M	6233
Camden	0	F	1961
Camden	0	M	1682
Camden	1	F	58636
Camden	1	M	56613
Campbelltown (NSW)	0	F	4969
Campbelltown (NSW)	0	M	4549
Campbelltown (NSW)	1	F	84685
Campbelltown (NSW)	1	M	81889
Canada Bay	0	F	2205
Canada Bay	0	M	1992
Canada Bay	1	F	44009
Canada Bay	1	M	40886
Canterbury-Bankstown	0	F	11294
Canterbury-Bankstown	0	M	11801
Canterbury-Bankstown	1	F	172709
Canterbury-Bankstown	1	M	173232
Carrathool	0	F	234
Carrathool	0	M	369
Carrathool	1	F	1135
Carrathool	1	M	1267
Central Coast (NSW)	0	F	10620
Central Coast (NSW)	0	M	9238
Central Coast (NSW)	1	F	167893
Central Coast (NSW)	1	M	158003
Central Darling	0	F	273
Central Darling	0	M	355
Central Darling	1	F	674
Central Darling	1	M	688
Cessnock	0	F	1750
Cessnock	0	M	3193
Cessnock	1	F	29810
Cessnock	1	M	28709
Clarence Valley	0	F	2743
Clarence Valley	0	M	3634
Clarence Valley	1	F	24746
Clarence Valley	1	M	23800
Cobar	0	F	427
Cobar	0	M	688
Cobar	1	F	1632
Cobar	1	M	1671
Coffs Harbour	0	F	3400
Coffs Harbour	0	M	3200
Coffs Harbour	1	F	37840
Coffs Harbour	1	M	35158
Coolamon	0	F	138
Coolamon	0	M	140
Coolamon	1	F	2049
Coolamon	1	M	1982
Coonamble	0	F	346
Coonamble	0	M	365
Coonamble	1	F	1567
Coonamble	1	M	1572
Cootamundra-Gundagai Regional	0	F	535
Cootamundra-Gundagai Regional	0	M	639
Cootamundra-Gundagai Regional	1	F	5192
Cootamundra-Gundagai Regional	1	M	5049
Cowra	0	F	619
Cowra	0	M	620
Cowra	1	F	5821
Cowra	1	M	5717
Cumberland	0	F	7350
Cumberland	0	M	8306
Cumberland	1	F	106247
Cumberland	1	M	112813
Dubbo Regional	0	F	2840
Dubbo Regional	0	M	3329
Dubbo Regional	1	F	25069
Dubbo Regional	1	M	23583
Dungog	0	F	269
Dungog	0	M	272
Dungog	1	F	4537
Dungog	1	M	4487
Edward River	0	F	470
Edward River	0	M	473
Edward River	1	F	3788
Edward River	1	M	3653
Eurobodalla	0	F	2334
Eurobodalla	0	M	2274
Eurobodalla	1	F	18690
Eurobodalla	1	M	17912
Fairfield	0	F	5649
Fairfield	0	M	5449
Fairfield	1	F	99409
Fairfield	1	M	96918
Federation	0	F	518
Federation	0	M	542
Federation	1	F	5823
Federation	1	M	5714
Forbes	0	F	514
Forbes	0	M	530
Forbes	1	F	4278
Forbes	1	M	4135
Georges River	0	F	3746
Georges River	0	M	3185
Georges River	1	F	73358
Georges River	1	M	71645
Gilgandra	0	F	312
Gilgandra	0	M	336
Gilgandra	1	F	1877
Gilgandra	1	M	1815
Glen Innes Severn	0	F	498
Glen Innes Severn	0	M	624
Glen Innes Severn	1	F	3985
Glen Innes Severn	1	M	3784
Goulburn Mulwaree	0	F	1486
Goulburn Mulwaree	0	M	2168
Goulburn Mulwaree	1	F	14574
Goulburn Mulwaree	1	M	14245
Greater Hume Shire	0	F	511
Greater Hume Shire	0	M	539
Greater Hume Shire	1	F	4935
Greater Hume Shire	1	M	5041
Griffith	0	F	1151
Griffith	0	M	1363
Griffith	1	F	12414
Griffith	1	M	12384
Gunnedah	0	F	607
Gunnedah	0	M	688
Gunnedah	1	F	5902
Gunnedah	1	M	5852
Gwydir	0	F	286
Gwydir	0	M	289
Gwydir	1	F	2205
Gwydir	1	M	2166
Hawkesbury	0	F	1772
Hawkesbury	0	M	1747
Hawkesbury	1	F	31953
Hawkesbury	1	M	31563
Hay	0	F	198
Hay	0	M	221
Hay	1	F	1244
Hay	1	M	1221
Hilltops	0	F	816
Hilltops	0	M	862
Hilltops	1	F	8932
Hilltops	1	M	8606
Hornsby	0	F	2963
Hornsby	0	M	2234
Hornsby	1	F	74095
Hornsby	1	M	71570
Hunters Hill	0	F	593
Hunters Hill	0	M	389
Hunters Hill	1	F	6295
Hunters Hill	1	M	5994
Inner West	0	F	4909
Inner West	0	M	5487
Inner West	1	F	87332
Inner West	1	M	82390
Inverell	0	F	1041
Inverell	0	M	1078
Inverell	1	F	8024
Inverell	1	M	7758
Junee	0	F	205
Junee	0	M	1127
Junee	1	F	2545
Junee	1	M	2592
Kempsey	0	F	1736
Kempsey	0	M	2327
Kempsey	1	F	13853
Kempsey	1	M	13355
Kiama	0	F	743
Kiama	0	M	692
Kiama	1	F	11034
Kiama	1	M	10457
Ku-ring-gai	0	F	2248
Ku-ring-gai	0	M	1597
Ku-ring-gai	1	F	61669
Ku-ring-gai	1	M	57680
Kyogle	0	F	500
Kyogle	0	M	514
Kyogle	1	F	4220
Kyogle	1	M	4138
Lachlan	0	F	426
Lachlan	0	M	419
Lachlan	1	F	2593
Lachlan	1	M	2662
Lake Macquarie	0	F	4936
Lake Macquarie	0	M	4210
Lake Macquarie	1	F	103628
