LGA_NAME16	Age	ProvidedUnpaidChildcare	ForOwnChild	ForOtherChild	Sex	adults
Albury	15-19				F	111
Albury	15-19				M	134
Albury	15-19	0			F	1407
Albury	15-19	0			M	1478
Albury	15-19	1	0	1	F	146
Albury	15-19	1	0	1	M	52
Albury	15-19	1	1	0	F	15
Albury	15-19	1	1	0	M	5
Albury	15-19	1	1	1	F	3
Albury	20-24				F	107
Albury	20-24				M	109
Albury	20-24	0			F	1347
Albury	20-24	0			M	1453
Albury	20-24	1	0	1	F	118
Albury	20-24	1	0	1	M	54
Albury	20-24	1	1	0	F	178
Albury	20-24	1	1	0	M	79
Albury	20-24	1	1	1	F	9
Albury	25-34				F	228
Albury	25-34				M	238
Albury	25-34	0			F	1789
Albury	25-34	0			M	2237
Albury	25-34	1	0	1	F	169
Albury	25-34	1	0	1	M	105
Albury	25-34	1	1	0	F	1469
Albury	25-34	1	1	0	M	970
Albury	25-34	1	1	1	F	80
Albury	25-34	1	1	1	M	26
Albury	35-44				F	206
Albury	35-44				M	217
Albury	35-44	0			F	958
Albury	35-44	0			M	1210
Albury	35-44	1	0	1	F	135
Albury	35-44	1	0	1	M	73
Albury	35-44	1	1	0	F	2131
Albury	35-44	1	1	0	M	1756
Albury	35-44	1	1	1	F	132
Albury	35-44	1	1	1	M	73
Albury	45-54				F	158
Albury	45-54				M	215
Albury	45-54	0			F	2022
Albury	45-54	0			M	1930
Albury	45-54	1	0	1	F	295
Albury	45-54	1	0	1	M	106
Albury	45-54	1	1	0	F	965
Albury	45-54	1	1	0	M	947
Albury	45-54	1	1	1	F	47
Albury	45-54	1	1	1	M	26
Albury	55-64				F	177
Albury	55-64				M	178
Albury	55-64	0			F	2624
Albury	55-64	0			M	2621
Albury	55-64	1	0	1	F	699
Albury	55-64	1	0	1	M	275
Albury	55-64	1	1	0	F	84
Albury	55-64	1	1	0	M	180
Albury	55-64	1	1	1	F	7
Albury	55-64	1	1	1	M	3
Albury	65-74				F	158
Albury	65-74				M	151
Albury	65-74	0			F	2428
Albury	65-74	0			M	2339
Albury	65-74	1	0	1	F	567
Albury	65-74	1	0	1	M	348
Albury	65-74	1	1	0	F	17
Albury	65-74	1	1	0	M	27
Albury	65-74	1	1	1	F	6
Albury	75-84				F	172
Albury	75-84				M	108
Albury	75-84	0			F	1708
Albury	75-84	0			M	1353
Albury	75-84	1	0	1	F	103
Albury	75-84	1	0	1	M	93
Albury	75-84	1	1	0	F	5
Albury	85+				F	90
Albury	85+				M	58
Albury	85+	0			F	779
Albury	85+	0			M	441
Albury	85+	1	0	1	F	10
Albury	85+	1	0	1	M	3
Albury	85+	1	1	0	F	4
Armidale Regional	15-19				F	236
Armidale Regional	15-19				M	175
Armidale Regional	15-19	0			F	932
