LGA_NAME21	CountryOfBirth	YearOfArrival.max	persons_born_overseas
Albury			28
Albury		1951	27
Albury		1960	80
Albury		1970	106
Albury		1980	131
Albury		1990	84
Albury		2000	59
Albury		2010	251
Albury		2015	282
Albury		2016	41
Albury		2017	40
Albury		2018	74
Albury		2019	112
Albury		2020	25
Albury		2021	8
Albury	AFG	2010	3
Albury	BGD	2000	3
Albury	BGD	2010	23
Albury	BGD	2015	30
Albury	BGD	2016	3
Albury	BGD	2017	4
Albury	BGD	2020	6
Albury	BGD	2021	3
Albury	CAN	1970	6
Albury	CAN	1980	9
Albury	CAN	2000	13
Albury	CAN	2010	16
Albury	CAN	2015	9
Albury	CAN	2017	7
Albury	CAN	2018	3
Albury	CHN	1980	3
Albury	CHN	1990	4
Albury	CHN	2000	15
Albury	CHN	2010	31
Albury	CHN	2015	31
Albury	CHN	2016	20
Albury	CHN	2017	7
Albury	CHN	2018	9
Albury	CHN	2019	16
Albury	CHN	2020	3
Albury	DEU		6
Albury	DEU	1951	41
Albury	DEU	1960	102
Albury	DEU	1970	45
Albury	DEU	1980	13
Albury	DEU	1990	23
Albury	DEU	2000	7
Albury	DEU	2010	5
Albury	DEU	2015	9
Albury	DEU	2017	3
Albury	DEU	2020	7
Albury	EGY	1960	3
Albury	EGY	1980	3
Albury	EGY	2015	4
Albury	FJI	1970	4
Albury	FJI	1990	12
Albury	FJI	2000	5
Albury	FJI	2010	8
Albury	FJI	2015	4
Albury	FJI	2017	3
Albury	GBR		46
Albury	GBR	1951	44
Albury	GBR	1960	133
Albury	GBR	1970	357
Albury	GBR	1980	202
Albury	GBR	1990	156
Albury	GBR	2000	66
Albury	GBR	2010	186
Albury	GBR	2015	43
Albury	GBR	2016	4
Albury	GBR	2017	10
Albury	GBR	2018	27
Albury	GBR	2019	10
Albury	GBR	2020	11
Albury	GBR	2021	7
Albury	GRC	1951	5
Albury	GRC	1960	22
Albury	GRC	1970	14
Albury	GRC	1980	3
Albury	GRC	1990	8
Albury	GRC	2010	5
Albury	HKG	1970	3
Albury	HKG	1990	6
Albury	HKG	2010	3
Albury	HKG	2015	4
Albury	HKG	2016	3
Albury	HRV	1960	8
Albury	HRV	1970	27
Albury	HRV	1980	10
Albury	HRV	2000	7
Albury	IDN	2000	4
Albury	IDN	2010	6
Albury	IDN	2015	12
Albury	IDN	2016	3
Albury	IND		10
Albury	IND	1951	4
Albury	IND	1970	8
Albury	IND	1980	9
Albury	IND	1990	11
Albury	IND	2000	17
Albury	IND	2010	280
Albury	IND	2015	298
Albury	IND	2016	102
Albury	IND	2017	120
Albury	IND	2018	92
Albury	IND	2019	75
Albury	IND	2020	30
Albury	IND	2021	7
Albury	IRL		5
Albury	IRL	1960	3
Albury	IRL	1970	12
Albury	IRL	1980	3
Albury	IRL	1990	8
Albury	IRL	2000	3
Albury	IRL	2010	11
Albury	IRL	2015	9
Albury	IRN	1990	7
Albury	IRN	2000	6
Albury	IRN	2010	10
Albury	IRN	2015	6
Albury	IRQ	2015	5
Albury	ITA		6
Albury	ITA	1951	4
Albury	ITA	1960	30
Albury	ITA	1970	18
Albury	ITA	1980	5
Albury	ITA	2010	4
Albury	ITA	2015	8
Albury	ITA	2018	10
Albury	ITA	2019	4
Albury	JPN	2010	10
Albury	JPN	2015	3
Albury	KOR	1990	3
Albury	KOR	2000	4
Albury	KOR	2010	15
Albury	KOR	2015	11
Albury	KOR	2016	3
Albury	KOR	2017	10
Albury	KOR	2018	3
Albury	LBN	1970	3
Albury	LBN	2010	5
Albury	LKA	1960	4
Albury	LKA	1980	4
