LGA_NAME21	Age	IncomeTotPersonal.max	Sex	adults
Albury	15-19		F	105
Albury	15-19		M	133
Albury	15-19	0	F	489
Albury	15-19	0	M	575
Albury	15-19	7875	F	429
Albury	15-19	7875	M	327
Albury	15-19	15750	F	269
Albury	15-19	15750	M	173
Albury	15-19	21000	F	106
Albury	15-19	21000	M	63
Albury	15-19	26250	F	79
Albury	15-19	26250	M	100
Albury	15-19	34125	F	98
Albury	15-19	34125	M	124
Albury	15-19	42000	F	49
Albury	15-19	42000	M	96
Albury	15-19	52500	F	30
Albury	15-19	52500	M	58
Albury	15-19	65625	F	14
Albury	15-19	65625	M	22
Albury	15-19	78750	F	9
Albury	15-19	78750	M	10
Albury	20-24		F	113
Albury	20-24		M	110
Albury	20-24	0	F	66
Albury	20-24	0	M	77
Albury	20-24	7875	F	48
Albury	20-24	7875	M	40
Albury	20-24	15750	F	136
Albury	20-24	15750	M	101
Albury	20-24	21000	F	134
Albury	20-24	21000	M	99
Albury	20-24	26250	F	153
Albury	20-24	26250	M	95
Albury	20-24	34125	F	216
Albury	20-24	34125	M	153
Albury	20-24	42000	F	300
Albury	20-24	42000	M	283
Albury	20-24	52500	F	274
Albury	20-24	52500	M	283
Albury	20-24	65625	F	152
Albury	20-24	65625	M	239
Albury	20-24	78750	F	92
Albury	20-24	78750	M	117
Albury	20-24	91875	F	30
Albury	20-24	91875	M	41
Albury	20-24	105000	F	15
Albury	20-24	105000	M	14
Albury	20-24	157500	F	10
Albury	20-24	157500	M	15
Albury	20-24	Inf	F	3
Albury	20-24	Inf	M	9
Albury	25-34		F	233
Albury	25-34		M	251
Albury	25-34	0	F	164
Albury	25-34	0	M	74
Albury	25-34	7875	F	45
Albury	25-34	7875	M	9
Albury	25-34	15750	F	107
Albury	25-34	15750	M	76
Albury	25-34	21000	F	175
Albury	25-34	21000	M	135
Albury	25-34	26250	F	202
Albury	25-34	26250	M	112
Albury	25-34	34125	F	328
Albury	25-34	34125	M	158
Albury	25-34	42000	F	433
Albury	25-34	42000	M	236
Albury	25-34	52500	F	531
Albury	25-34	52500	M	548
Albury	25-34	65625	F	528
Albury	25-34	65625	M	612
Albury	25-34	78750	F	366
Albury	25-34	78750	M	492
Albury	25-34	91875	F	276
Albury	25-34	91875	M	348
Albury	25-34	105000	F	142
Albury	25-34	105000	M	185
Albury	25-34	157500	F	146
Albury	25-34	157500	M	283
Albury	25-34	183750	F	16
Albury	25-34	183750	M	32
Albury	25-34	Inf	F	23
Albury	25-34	Inf	M	47
Albury	35-44		F	205
Albury	35-44		M	225
Albury	35-44	0	F	174
Albury	35-44	0	M	61
Albury	35-44	7875	F	51
Albury	35-44	7875	M	20
Albury	35-44	15750	F	128
Albury	35-44	15750	M	72
Albury	35-44	21000	F	172
Albury	35-44	21000	M	117
Albury	35-44	26250	F	181
Albury	35-44	26250	M	96
Albury	35-44	34125	F	311
Albury	35-44	34125	M	112
Albury	35-44	42000	F	360
Albury	35-44	42000	M	145
Albury	35-44	52500	F	409
Albury	35-44	52500	M	311
Albury	35-44	65625	F	413
Albury	35-44	65625	M	468
Albury	35-44	78750	F	315
Albury	35-44	78750	M	403
Albury	35-44	91875	F	274
Albury	35-44	91875	M	329
Albury	35-44	105000	F	179
Albury	35-44	105000	M	288
Albury	35-44	157500	F	289
Albury	35-44	157500	M	471
Albury	35-44	183750	F	33
Albury	35-44	183750	M	80
Albury	35-44	Inf	F	62
Albury	35-44	Inf	M	127
Albury	45-54		F	185
Albury	45-54		M	231
Albury	45-54	0	F	130
Albury	45-54	0	M	61
Albury	45-54	7875	F	60
Albury	45-54	7875	M	19
Albury	45-54	15750	F	126
Albury	45-54	15750	M	75
Albury	45-54	21000	F	182
Albury	45-54	21000	M	127
Albury	45-54	26250	F	219
Albury	45-54	26250	M	134
Albury	45-54	34125	F	285
Albury	45-54	34125	M	136
Albury	45-54	42000	F	321
Albury	45-54	42000	M	156
Albury	45-54	52500	F	365
Albury	45-54	52500	M	286
Albury	45-54	65625	F	469
Albury	45-54	65625	M	404
Albury	45-54	78750	F	323
Albury	45-54	78750	M	329
Albury	45-54	91875	F	229
Albury	45-54	91875	M	325
Albury	45-54	105000	F	202
Albury	45-54	105000	M	280
Albury	45-54	157500	F	282
Albury	45-54	157500	M	425
Albury	45-54	183750	F	35
Albury	45-54	183750	M	85
Albury	45-54	Inf	F	69
Albury	45-54	Inf	M	148
Albury	55-64		F	194
