LGA_NAME21	Age	ProvidedUnpaidDisabilityAssistance	Sex	adults
Albury	15-19		F	115
Albury	15-19		M	135
Albury	15-19	0	F	1482
Albury	15-19	0	M	1465
Albury	15-19	1	F	83
Albury	15-19	1	M	66
Albury	20-24		F	114
Albury	20-24		M	117
Albury	20-24	0	F	1511
Albury	20-24	0	M	1485
Albury	20-24	1	F	136
Albury	20-24	1	M	89
Albury	25-34		F	239
Albury	25-34		M	258
Albury	25-34	0	F	3070
Albury	25-34	0	M	3089
Albury	25-34	1	F	424
Albury	25-34	1	M	244
Albury	35-44		F	214
Albury	35-44		M	233
Albury	35-44	0	F	2711
Albury	35-44	0	M	2737
Albury	35-44	1	F	628
Albury	35-44	1	M	357
Albury	45-54		F	167
Albury	45-54		M	220
Albury	45-54	0	F	2556
Albury	45-54	0	M	2542
Albury	45-54	1	F	759
Albury	45-54	1	M	467
Albury	55-64		F	183
Albury	55-64		M	184
Albury	55-64	0	F	2518
Albury	55-64	0	M	2555
Albury	55-64	1	F	888
Albury	55-64	1	M	509
Albury	65-74		F	160
Albury	65-74		M	150
Albury	65-74	0	F	2449
Albury	65-74	0	M	2367
Albury	65-74	1	F	566
Albury	65-74	1	M	345
Albury	75-84		F	188
Albury	75-84		M	106
Albury	75-84	0	F	1561
Albury	75-84	0	M	1252
Albury	75-84	1	F	242
Albury	75-84	1	M	188
Albury	85+		F	97
Albury	85+		M	55
Albury	85+	0	F	748
Albury	85+	0	M	392
Albury	85+	1	F	41
Albury	85+	1	M	55
Armidale Regional	15-19		F	237
Armidale Regional	15-19		M	172
Armidale Regional	15-19	0	F	962
Armidale Regional	15-19	0	M	839
Armidale Regional	15-19	1	F	70
Armidale Regional	15-19	1	M	63
Armidale Regional	20-24		F	203
Armidale Regional	20-24		M	189
Armidale Regional	20-24	0	F	903
Armidale Regional	20-24	0	M	893
Armidale Regional	20-24	1	F	73
Armidale Regional	20-24	1	M	57
Armidale Regional	25-34		F	204
Armidale Regional	25-34		M	207
Armidale Regional	25-34	0	F	1533
Armidale Regional	25-34	0	M	1473
Armidale Regional	25-34	1	F	190
Armidale Regional	25-34	1	M	139
Armidale Regional	35-44		F	147
Armidale Regional	35-44		M	129
Armidale Regional	35-44	0	F	1232
Armidale Regional	35-44	0	M	1262
Armidale Regional	35-44	1	F	250
Armidale Regional	35-44	1	M	166
Armidale Regional	45-54		F	132
Armidale Regional	45-54		M	116
Armidale Regional	45-54	0	F	1222
Armidale Regional	45-54	0	M	1204
Armidale Regional	45-54	1	F	344
Armidale Regional	45-54	1	M	191
Armidale Regional	55-64		F	111
Armidale Regional	55-64		M	128
Armidale Regional	55-64	0	F	1275
Armidale Regional	55-64	0	M	1324
Armidale Regional	55-64	1	F	437
Armidale Regional	55-64	1	M	292
Armidale Regional	65-74		F	115
Armidale Regional	65-74		M	102
Armidale Regional	65-74	0	F	1142
Armidale Regional	65-74	0	M	1114
Armidale Regional	65-74	1	F	230
Armidale Regional	65-74	1	M	184
Armidale Regional	75-84		F	124
Armidale Regional	75-84		M	98
Armidale Regional	75-84	0	F	820
Armidale Regional	75-84	0	M	649
