LGA_NAME21	Age	MaxSchoolingCompleted	Sex	adults
Balranald	85+	Year 9	F	3
Balranald	85+	Year 9	M	3
Balranald	85+	Year 10	F	4
Balranald	85+	Year 10	M	4
Balranald	85+	Year 12	F	5
Bathurst Regional	15-19		F	59
Bathurst Regional	15-19		M	85
Bathurst Regional	15-19	Year 8 or below	F	5
Bathurst Regional	15-19	Year 8 or below	M	12
Bathurst Regional	15-19	Year 9	F	28
Bathurst Regional	15-19	Year 9	M	33
Bathurst Regional	15-19	Year 10	F	87
Bathurst Regional	15-19	Year 10	M	159
Bathurst Regional	15-19	Year 11	F	56
Bathurst Regional	15-19	Year 11	M	104
Bathurst Regional	15-19	Year 12	F	343
Bathurst Regional	15-19	Year 12	M	260
Bathurst Regional	20-24		F	82
Bathurst Regional	20-24		M	206
Bathurst Regional	20-24	Did not go to school	M	4
Bathurst Regional	20-24	Year 8 or below	F	6
Bathurst Regional	20-24	Year 8 or below	M	6
Bathurst Regional	20-24	Year 9	F	20
Bathurst Regional	20-24	Year 9	M	39
Bathurst Regional	20-24	Year 10	F	136
Bathurst Regional	20-24	Year 10	M	199
Bathurst Regional	20-24	Year 11	F	113
Bathurst Regional	20-24	Year 11	M	163
Bathurst Regional	20-24	Year 12	F	1015
Bathurst Regional	20-24	Year 12	M	898
Bathurst Regional	25-34		F	143
Bathurst Regional	25-34		M	470
Bathurst Regional	25-34	Did not go to school	F	9
Bathurst Regional	25-34	Did not go to school	M	8
Bathurst Regional	25-34	Year 8 or below	F	19
Bathurst Regional	25-34	Year 8 or below	M	28
Bathurst Regional	25-34	Year 9	F	77
Bathurst Regional	25-34	Year 9	M	77
Bathurst Regional	25-34	Year 10	F	368
Bathurst Regional	25-34	Year 10	M	612
Bathurst Regional	25-34	Year 11	F	180
Bathurst Regional	25-34	Year 11	M	187
Bathurst Regional	25-34	Year 12	F	1959
Bathurst Regional	25-34	Year 12	M	1559
Bathurst Regional	35-44		F	125
Bathurst Regional	35-44		M	396
Bathurst Regional	35-44	Did not go to school	F	5
Bathurst Regional	35-44	Did not go to school	M	5
Bathurst Regional	35-44	Year 8 or below	F	19
Bathurst Regional	35-44	Year 8 or below	M	25
Bathurst Regional	35-44	Year 9	F	77
Bathurst Regional	35-44	Year 9	M	82
Bathurst Regional	35-44	Year 10	F	343
Bathurst Regional	35-44	Year 10	M	579
Bathurst Regional	35-44	Year 11	F	177
Bathurst Regional	35-44	Year 11	M	196
Bathurst Regional	35-44	Year 12	F	1757
Bathurst Regional	35-44	Year 12	M	1341
Bathurst Regional	45-54		F	157
Bathurst Regional	45-54		M	270
Bathurst Regional	45-54	Did not go to school	F	14
Bathurst Regional	45-54	Did not go to school	M	10
Bathurst Regional	45-54	Year 8 or below	F	36
Bathurst Regional	45-54	Year 8 or below	M	48
Bathurst Regional	45-54	Year 9	F	116
Bathurst Regional	45-54	Year 9	M	113
Bathurst Regional	45-54	Year 10	F	730
Bathurst Regional	45-54	Year 10	M	868
Bathurst Regional	45-54	Year 11	F	184
Bathurst Regional	45-54	Year 11	M	165
Bathurst Regional	45-54	Year 12	F	1525
Bathurst Regional	45-54	Year 12	M	1158
Bathurst Regional	55-64		F	132
Bathurst Regional	55-64		M	203
Bathurst Regional	55-64	Did not go to school	F	7
Bathurst Regional	55-64	Did not go to school	M	11
Bathurst Regional	55-64	Year 8 or below	F	82
Bathurst Regional	55-64	Year 8 or below	M	107
Bathurst Regional	55-64	Year 9	F	176
Bathurst Regional	55-64	Year 9	M	180
Bathurst Regional	55-64	Year 10	F	1056
Bathurst Regional	55-64	Year 10	M	1097
Bathurst Regional	55-64	Year 11	F	137
Bathurst Regional	55-64	Year 11	M	137
Bathurst Regional	55-64	Year 12	F	1125
Bathurst Regional	55-64	Year 12	M	880
Bathurst Regional	65-74		F	132
Bathurst Regional	65-74		M	153
Bathurst Regional	65-74	Did not go to school	F	14
Bathurst Regional	65-74	Did not go to school	M	10
Bathurst Regional	65-74	Year 8 or below	F	134
Bathurst Regional	65-74	Year 8 or below	M	182
Bathurst Regional	65-74	Year 9	F	261
Bathurst Regional	65-74	Year 9	M	280
Bathurst Regional	65-74	Year 10	F	868
Bathurst Regional	65-74	Year 10	M	723
Bathurst Regional	65-74	Year 11	F	95
Bathurst Regional	65-74	Year 11	M	90
Bathurst Regional	65-74	Year 12	F	759
Bathurst Regional	65-74	Year 12	M	801
Bathurst Regional	75-84		F	128
Bathurst Regional	75-84		M	121
Bathurst Regional	75-84	Did not go to school	F	10
Bathurst Regional	75-84	Did not go to school	M	9
Bathurst Regional	75-84	Year 8 or below	F	128
Bathurst Regional	75-84	Year 8 or below	M	174
Bathurst Regional	75-84	Year 9	F	197
Bathurst Regional	75-84	Year 9	M	167
Bathurst Regional	75-84	Year 10	F	477
Bathurst Regional	75-84	Year 10	M	374
Bathurst Regional	75-84	Year 11	F	55
Bathurst Regional	75-84	Year 11	M	31
Bathurst Regional	75-84	Year 12	F	326
Bathurst Regional	75-84	Year 12	M	339
Bathurst Regional	85+		F	103
Bathurst Regional	85+		M	44
Bathurst Regional	85+	Did not go to school	F	13
Bathurst Regional	85+	Did not go to school	M	4
Bathurst Regional	85+	Year 8 or below	F	137
Bathurst Regional	85+	Year 8 or below	M	70
Bathurst Regional	85+	Year 9	F	101
Bathurst Regional	85+	Year 9	M	56
Bathurst Regional	85+	Year 10	F	192
Bathurst Regional	85+	Year 10	M	92
Bathurst Regional	85+	Year 11	F	13
Bathurst Regional	85+	Year 11	M	19
Bathurst Regional	85+	Year 12	F	114
Bathurst Regional	85+	Year 12	M	84
Bayside (NSW)	15-19		F	173
Bayside (NSW)	15-19		M	208
Bayside (NSW)	15-19	Did not go to school	M	9
Bayside (NSW)	15-19	Year 8 or below	F	3
Bayside (NSW)	15-19	Year 8 or below	M	9
Bayside (NSW)	15-19	Year 9	F	14
Bayside (NSW)	15-19	Year 9	M	37
Bayside (NSW)	15-19	Year 10	F	104
Bayside (NSW)	15-19	Year 10	M	240
Bayside (NSW)	15-19	Year 11	F	83
Bayside (NSW)	15-19	Year 11	M	139
Bayside (NSW)	15-19	Year 12	F	1219
Bayside (NSW)	15-19	Year 12	M	1170
Bayside (NSW)	20-24		F	426
Bayside (NSW)	20-24		M	462
Bayside (NSW)	20-24	Did not go to school	F	18
Bayside (NSW)	20-24	Did not go to school	M	31
Bayside (NSW)	20-24	Year 8 or below	F	9
Bayside (NSW)	20-24	Year 8 or below	M	16
Bayside (NSW)	20-24	Year 9	F	25
Bayside (NSW)	20-24	Year 9	M	50
Bayside (NSW)	20-24	Year 10	F	168
Bayside (NSW)	20-24	Year 10	M	312
Bayside (NSW)	20-24	Year 11	F	234
Bayside (NSW)	20-24	Year 11	M	324
Bayside (NSW)	20-24	Year 12	F	5646
Bayside (NSW)	20-24	Year 12	M	5970
Bayside (NSW)	25-34		F	1214
Bayside (NSW)	25-34		M	1329
Bayside (NSW)	25-34	Did not go to school	F	121
Bayside (NSW)	25-34	Did not go to school	M	101
Bayside (NSW)	25-34	Year 8 or below	F	60
Bayside (NSW)	25-34	Year 8 or below	M	87
Bayside (NSW)	25-34	Year 9	F	100
Bayside (NSW)	25-34	Year 9	M	135
Bayside (NSW)	25-34	Year 10	F	638
Bayside (NSW)	25-34	Year 10	M	1104
Bayside (NSW)	25-34	Year 11	F	655
Bayside (NSW)	25-34	Year 11	M	822
Bayside (NSW)	25-34	Year 12	F	15307
Bayside (NSW)	25-34	Year 12	M	14810
Bayside (NSW)	35-44		F	715
Bayside (NSW)	35-44		M	848
Bayside (NSW)	35-44	Did not go to school	F	94
Bayside (NSW)	35-44	Did not go to school	M	95
Bayside (NSW)	35-44	Year 8 or below	F	74
Bayside (NSW)	35-44	Year 8 or below	M	107
Bayside (NSW)	35-44	Year 9	F	110
Bayside (NSW)	35-44	Year 9	M	155
Bayside (NSW)	35-44	Year 10	F	747
Bayside (NSW)	35-44	Year 10	M	1059
Bayside (NSW)	35-44	Year 11	F	342
Bayside (NSW)	35-44	Year 11	M	489
Bayside (NSW)	35-44	Year 12	F	10954
Bayside (NSW)	35-44	Year 12	M	10733
Bayside (NSW)	45-54		F	516
Bayside (NSW)	45-54		M	544
Bayside (NSW)	45-54	Did not go to school	F	115
Bayside (NSW)	45-54	Did not go to school	M	98
Bayside (NSW)	45-54	Year 8 or below	F	168
Bayside (NSW)	45-54	Year 8 or below	M	144
Bayside (NSW)	45-54	Year 9	F	187
Bayside (NSW)	45-54	Year 9	M	209
Bayside (NSW)	45-54	Year 10	F	1422
Bayside (NSW)	45-54	Year 10	M	1730
Bayside (NSW)	45-54	Year 11	F	452
Bayside (NSW)	45-54	Year 11	M	490
Bayside (NSW)	45-54	Year 12	F	7702
Bayside (NSW)	45-54	Year 12	M	6804
Bayside (NSW)	55-64		F	486
Bayside (NSW)	55-64		M	506
Bayside (NSW)	55-64	Did not go to school	F	205
Bayside (NSW)	55-64	Did not go to school	M	145
Bayside (NSW)	55-64	Year 8 or below	F	410
Bayside (NSW)	55-64	Year 8 or below	M	321
Bayside (NSW)	55-64	Year 9	F	339
Bayside (NSW)	55-64	Year 9	M	274
Bayside (NSW)	55-64	Year 10	F	2005
Bayside (NSW)	55-64	Year 10	M	1913
Bayside (NSW)	55-64	Year 11	F	340
Bayside (NSW)	55-64	Year 11	M	403
Bayside (NSW)	55-64	Year 12	F	5137
Bayside (NSW)	55-64	Year 12	M	4972
Bayside (NSW)	65-74		F	482
Bayside (NSW)	65-74		M	473
Bayside (NSW)	65-74	Did not go to school	F	318
Bayside (NSW)	65-74	Did not go to school	M	203
Bayside (NSW)	65-74	Year 8 or below	F	986
Bayside (NSW)	65-74	Year 8 or below	M	664
Bayside (NSW)	65-74	Year 9	F	514
Bayside (NSW)	65-74	Year 9	M	425
Bayside (NSW)	65-74	Year 10	F	1702
Bayside (NSW)	65-74	Year 10	M	1287
Bayside (NSW)	65-74	Year 11	F	210
Bayside (NSW)	65-74	Year 11	M	218
Bayside (NSW)	65-74	Year 12	F	2808
Bayside (NSW)	65-74	Year 12	M	3153
Bayside (NSW)	75-84		F	524
Bayside (NSW)	75-84		M	469
Bayside (NSW)	75-84	Did not go to school	F	379
Bayside (NSW)	75-84	Did not go to school	M	225
Bayside (NSW)	75-84	Year 8 or below	F	1172
Bayside (NSW)	75-84	Year 8 or below	M	835
Bayside (NSW)	75-84	Year 9	F	389
Bayside (NSW)	75-84	Year 9	M	294
Bayside (NSW)	75-84	Year 10	F	1032
Bayside (NSW)	75-84	Year 10	M	755
Bayside (NSW)	75-84	Year 11	F	117
Bayside (NSW)	75-84	Year 11	M	93
Bayside (NSW)	75-84	Year 12	F	1126
Bayside (NSW)	75-84	Year 12	M	1280
Bayside (NSW)	85+		F	491
