LGA_NAME16	CoupleFamily	HasChild	HasChildUnder15	MortgageRepayment.min	families_in_occupied_private_dwellings_being_purchased
Albury		1	1	0	4
Albury		1	1	7200	6
Albury		1	1	9600	9
Albury		1	1	14400	6
Albury		1	1	16800	10
Albury		1	1	36000	3
Albury	0	1	0	0	7
Albury	0	1	0	3600	9
Albury	0	1	0	5400	5
Albury	0	1	0	7200	26
Albury	0	1	0	9600	30
Albury	0	1	0	12000	44
Albury	0	1	0	14400	51
Albury	0	1	0	16800	36
Albury	0	1	0	19200	30
Albury	0	1	0	21600	4
Albury	0	1	0	24000	15
Albury	0	1	0	28800	6
Albury	0	1	0	31200	5
Albury	0	1	0	36000	8
Albury	0	1	0	48000	3
Albury	0	1	1	0	10
Albury	0	1	1	1800	6
Albury	0	1	1	3600	9
Albury	0	1	1	5400	10
Albury	0	1	1	7200	22
Albury	0	1	1	9600	42
Albury	0	1	1	12000	64
Albury	0	1	1	14400	51
Albury	0	1	1	16800	49
Albury	0	1	1	19200	44
Albury	0	1	1	21600	28
Albury	0	1	1	24000	30
Albury	0	1	1	26400	5
Albury	0	1	1	31200	15
Albury	0	1	1	36000	9
Albury	0	1	1	48000	3
Albury	1	0	0	0	80
Albury	1	0	0	1800	33
Albury	1	0	0	3600	46
Albury	1	0	0	5400	36
Albury	1	0	0	7200	68
Albury	1	0	0	9600	134
Albury	1	0	0	12000	160
Albury	1	0	0	14400	217
Albury	1	0	0	16800	173
Albury	1	0	0	19200	183
Albury	1	0	0	21600	95
Albury	1	0	0	24000	138
Albury	1	0	0	26400	35
Albury	1	0	0	28800	24
Albury	1	0	0	31200	70
Albury	1	0	0	36000	66
Albury	1	0	0	48000	23
Albury	1	0	0	60000	19
Albury	1	1	0	0	25
Albury	1	1	0	1800	13
Albury	1	1	0	3600	15
Albury	1	1	0	5400	13
Albury	1	1	0	7200	27
Albury	1	1	0	9600	47
Albury	1	1	0	12000	67
Albury	1	1	0	14400	110
Albury	1	1	0	16800	82
Albury	1	1	0	19200	79
Albury	1	1	0	21600	63
Albury	1	1	0	24000	83
Albury	1	1	0	26400	18
Albury	1	1	0	28800	16
Albury	1	1	0	31200	42
Albury	1	1	0	36000	38
Albury	1	1	0	48000	21
Albury	1	1	0	60000	8
Albury	1	1	1	0	42
Albury	1	1	1	1800	6
Albury	1	1	1	3600	17
Albury	1	1	1	5400	25
Albury	1	1	1	7200	59
Albury	1	1	1	9600	129
Albury	1	1	1	12000	222
Albury	1	1	1	14400	313
Albury	1	1	1	16800	279
Albury	1	1	1	19200	336
Albury	1	1	1	21600	218
Albury	1	1	1	24000	272
Albury	1	1	1	26400	86
Albury	1	1	1	28800	63
Albury	1	1	1	31200	146
Albury	1	1	1	36000	143
Albury	1	1	1	48000	64
Albury	1	1	1	60000	28
Armidale Regional	0	1	0	5400	7
Armidale Regional	0	1	0	7200	11
Armidale Regional	0	1	0	9600	20
Armidale Regional	0	1	0	12000	9
Armidale Regional	0	1	0	14400	19
Armidale Regional	0	1	0	16800	14
Armidale Regional	0	1	0	19200	11
Armidale Regional	0	1	0	21600	4
Armidale Regional	0	1	0	24000	7
Armidale Regional	0	1	0	31200	4
Armidale Regional	0	1	0	36000	6
Armidale Regional	0	1	1	0	8
Armidale Regional	0	1	1	3600	4
Armidale Regional	0	1	1	5400	5
Armidale Regional	0	1	1	7200	8
Armidale Regional	0	1	1	9600	20
Armidale Regional	0	1	1	12000	21
Armidale Regional	0	1	1	14400	27
Armidale Regional	0	1	1	16800	19
Armidale Regional	0	1	1	19200	15
Armidale Regional	0	1	1	21600	5
Armidale Regional	0	1	1	24000	10
Armidale Regional	1	0	0	0	41
Armidale Regional	1	0	0	1800	11
Armidale Regional	1	0	0	3600	17
Armidale Regional	1	0	0	5400	25
Armidale Regional	1	0	0	7200	34
Armidale Regional	1	0	0	9600	47
Armidale Regional	1	0	0	12000	58
Armidale Regional	1	0	0	14400	102
Armidale Regional	1	0	0	16800	62
Armidale Regional	1	0	0	19200	67
Armidale Regional	1	0	0	21600	40
Armidale Regional	1	0	0	24000	45
Armidale Regional	1	0	0	26400	16
Armidale Regional	1	0	0	28800	11
Armidale Regional	1	0	0	31200	39
Armidale Regional	1	0	0	36000	37
Armidale Regional	1	0	0	48000	18
Armidale Regional	1	0	0	60000	11
Armidale Regional	1	1	0	0	22
Armidale Regional	1	1	0	1800	3
Armidale Regional	1	1	0	3600	9
Armidale Regional	1	1	0	5400	9
Armidale Regional	1	1	0	7200	10
Armidale Regional	1	1	0	9600	23
Armidale Regional	1	1	0	12000	25
Armidale Regional	1	1	0	14400	31
Armidale Regional	1	1	0	16800	22
Armidale Regional	1	1	0	19200	29
Armidale Regional	1	1	0	21600	27
Armidale Regional	1	1	0	24000	38
Armidale Regional	1	1	0	26400	4
Armidale Regional	1	1	0	28800	12
Armidale Regional	1	1	0	31200	16
Armidale Regional	1	1	0	36000	15
Armidale Regional	1	1	0	48000	9
Armidale Regional	1	1	0	60000	3
Armidale Regional	1	1	1	0	30
Armidale Regional	1	1	1	1800	4
Armidale Regional	1	1	1	3600	14
Armidale Regional	1	1	1	5400	14
Armidale Regional	1	1	1	7200	25
Armidale Regional	1	1	1	9600	55
Armidale Regional	1	1	1	12000	85
Armidale Regional	1	1	1	14400	122
Armidale Regional	1	1	1	16800	115
Armidale Regional	1	1	1	19200	113
Armidale Regional	1	1	1	21600	71
Armidale Regional	1	1	1	24000	68
Armidale Regional	1	1	1	26400	40
Armidale Regional	1	1	1	28800	31
Armidale Regional	1	1	1	31200	38
Armidale Regional	1	1	1	36000	63
Armidale Regional	1	1	1	48000	34
Armidale Regional	1	1	1	60000	22
Ballina		1	1	0	6
Ballina		1	1	16800	3
Ballina		1	1	31200	3
Ballina		1	1	36000	7
Ballina	0	1	0	0	11
Ballina	0	1	0	1800	3
Ballina	0	1	0	3600	5
Ballina	0	1	0	7200	9
Ballina	0	1	0	9600	17
Ballina	0	1	0	12000	20
Ballina	0	1	0	14400	28
Ballina	0	1	0	16800	16
Ballina	0	1	0	19200	26
Ballina	0	1	0	21600	17
Ballina	0	1	0	24000	21
Ballina	0	1	0	26400	8
Ballina	0	1	0	28800	6
Ballina	0	1	0	31200	14
Ballina	0	1	0	36000	18
Ballina	0	1	0	48000	5
Ballina	0	1	0	60000	8
Ballina	0	1	1	0	11
Ballina	0	1	1	3600	3
Ballina	0	1	1	7200	4
Ballina	0	1	1	9600	16
Ballina	0	1	1	12000	18
Ballina	0	1	1	14400	26
Ballina	0	1	1	16800	29
Ballina	0	1	1	19200	26
Ballina	0	1	1	21600	14
Ballina	0	1	1	24000	31
Ballina	0	1	1	26400	17
Ballina	0	1	1	28800	10
Ballina	0	1	1	31200	25
Ballina	0	1	1	36000	31
Ballina	0	1	1	48000	5
Ballina	0	1	1	60000	8
Ballina	1	0	0	0	70
Ballina	1	0	0	1800	24
Ballina	1	0	0	3600	40
