LGA_NAME16	AgeStudent	students
Albury	0-4	1013
Albury	5-14	6525
Albury	15-19	2386
Albury	20-24	1085
Albury	25+	2198
Armidale Regional	0-4	490
Armidale Regional	5-14	3252
Armidale Regional	15-19	1530
Armidale Regional	20-24	1048
Armidale Regional	25+	1603
Ballina	0-4	709
Ballina	5-14	4986
Ballina	15-19	1770
Ballina	20-24	568
Ballina	25+	1541
Balranald	0-4	37
Balranald	5-14	254
Balranald	15-19	73
Balranald	20-24	21
Balranald	25+	39
Bathurst Regional	0-4	804
Bathurst Regional	5-14	5331
Bathurst Regional	15-19	2135
Bathurst Regional	20-24	945
Bathurst Regional	25+	1542
Bayside (NSW)	0-4	2809
Bayside (NSW)	5-14	15387
Bayside (NSW)	15-19	6454
Bayside (NSW)	20-24	7133
Bayside (NSW)	25+	11722
Bega Valley	0-4	419
Bega Valley	5-14	3587
Bega Valley	15-19	1213
Bega Valley	20-24	252
Bega Valley	25+	946
Bellingen	0-4	172
Bellingen	5-14	1497
Bellingen	15-19	494
Bellingen	20-24	105
Bellingen	25+	471
Berrigan	0-4	115
Berrigan	5-14	853
Berrigan	15-19	302
Berrigan	20-24	64
Berrigan	25+	193
Blacktown	0-4	8061
Blacktown	5-14	55669
Blacktown	15-19	19199
Blacktown	20-24	10938
Blacktown	25+	16396
Bland	0-4	93
Bland	5-14	659
Bland	15-19	190
Bland	20-24	51
Bland	25+	113
Blayney	0-4	145
Blayney	5-14	993
Blayney	15-19	332
Blayney	20-24	83
Blayney	25+	231
Blue Mountains	0-4	1317
Blue Mountains	5-14	9313
Blue Mountains	15-19	3798
Blue Mountains	20-24	1459
Blue Mountains	25+	3344
Bogan	0-4	52
Bogan	5-14	301
Bogan	15-19	102
Bogan	20-24	22
Bogan	25+	70
Bourke	0-4	43
Bourke	5-14	244
Bourke	15-19	61
Bourke	20-24	22
Bourke	25+	57
Brewarrina	0-4	18
Brewarrina	5-14	160
Brewarrina	15-19	39
Brewarrina	20-24	6
Brewarrina	25+	22
Broken Hill	0-4	266
Broken Hill	5-14	1794
Broken Hill	15-19	538
Broken Hill	20-24	132
Broken Hill	25+	590
Burwood	0-4	451
Burwood	5-14	3096
Burwood	15-19	1662
Burwood	20-24	3238
Burwood	25+	3144
Byron	0-4	474
Byron	5-14	3559
Byron	15-19	1178
Byron	20-24	363
Byron	25+	1781
Cabonne	0-4	213
Cabonne	5-14	1867
Cabonne	15-19	632
Cabonne	20-24	176
Cabonne	25+	325
Camden	0-4	3232
Camden	5-14	17989
Camden	15-19	5889
Camden	20-24	2441
Camden	25+	4022
Campbelltown (NSW)	0-4	3340
Campbelltown (NSW)	5-14	23507
Campbelltown (NSW)	15-19	8101
Campbelltown (NSW)	20-24	3909
Campbelltown (NSW)	25+	6712
Canada Bay	0-4	1540
Canada Bay	5-14	8840
Canada Bay	15-19	3684
Canada Bay	20-24	2880
Canada Bay	25+	4504
Canterbury-Bankstown	0-4	6490
Canterbury-Bankstown	5-14	44338
Canterbury-Bankstown	15-19	18492
Canterbury-Bankstown	20-24	11634
Canterbury-Bankstown	25+	16805
Carrathool	0-4	46
Carrathool	5-14	316
Carrathool	15-19	88
Carrathool	20-24	22
Carrathool	25+	75
Central Coast (NSW)	0-4	6458
Central Coast (NSW)	5-14	40307
Central Coast (NSW)	15-19	14985
Central Coast (NSW)	20-24	6147
Central Coast (NSW)	25+	11477
Central Darling	0-4	23
Central Darling	5-14	137
Central Darling	15-19	31
Central Darling	20-24	3
Central Darling	25+	36
Cessnock	0-4	1271
Cessnock	5-14	8011
Cessnock	15-19	2416
Cessnock	20-24	866
Cessnock	25+	1864
Clarence Valley	0-4	764
Clarence Valley	5-14	5554
Clarence Valley	15-19	1759
Clarence Valley	20-24	423
Clarence Valley	25+	1388
Cobar	0-4	62
Cobar	5-14	444
Cobar	15-19	118
Cobar	20-24	38
Cobar	25+	109
Coffs Harbour	0-4	1280
Coffs Harbour	5-14	9194
Coffs Harbour	15-19	3133
Coffs Harbour	20-24	1031
Coffs Harbour	25+	2887
